ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534609	GSM534610	GSM534611	GSM534612	GSM534613	GSM534614	GSM534615	GSM534616	GSM534617	GSM534618	GSM534619	GSM534620	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641	GSM534642	GSM534643	GSM534644	GSM534645	GSM534646	GSM534647	GSM534648	GSM534649	GSM534650	GSM534651	GSM534652	GSM534653	GSM534654	GSM534655	GSM534656	GSM534657	GSM534658	GSM534659	GSM534660	GSM534661	GSM534662	GSM534663	GSM534664	GSM534665	GSM534666	GSM534667	GSM534668	GSM534669	GSM534670	GSM534671	GSM534672	GSM534673	GSM534674	GSM534675	GSM534676	GSM534677	GSM534678	GSM534679	GSM534680	GSM534681	GSM534682	GSM534683	GSM534685	GSM534686	GSM534687	GSM534688	GSM534689	GSM534690	GSM534691	GSM534692	GSM534693	GSM534694	GSM534695	GSM534696	GSM534697	GSM534698	GSM534699	GSM534700	GSM534701	GSM534702	GSM534703	GSM534704	GSM534705	GSM534706	GSM534707	GSM534708	GSM534709	GSM534710	GSM534711	GSM534712	GSM534713	GSM534714	GSM534715	GSM534716	GSM534717	GSM534718	GSM534719	GSM534720	GSM534721	GSM534722
osa-miR437	-8.649406	-9.1129985	-7.33879625	-9.4794395	-9.03676275	-7.58240365	-8.5632085	-9.118385	-8.3557525	-8.994926	-9.9439035	-8.438448	-7.954366	-9.0975215	-8.172635	-8.167008	-9.786254	-8.766661	-9.6741395	-8.6969935	-8.467788	-7.8139823	-7.558616	-9.452861	-6.70643825	-5.5834385	-6.7712765	-8.261461	-9.3467905	-6.62860835	-6.6382668	-5.70899815	-9.035219	-7.3992064	-4.26711615	-5.8436265	-6.24724585	-5.2459957	-7.072814	-8.3967055	-6.1027243	-8.3769445	-9.943415	-9.956167	-8.03975465	-9.70842725	-9.8978235	-8.7039945	-9.4020525	-9.7611045	-7.995182	-9.3776905	-9.871397	-8.693896	-8.958294	-9.7131345	-7.9989845	-7.843952	-9.3106615	-7.9211495	-8.5694765	-10.1740405	-7.8252425	-9.4071335	-8.8255465	-10.0959425	-10.2416905	-8.4271035	-9.484247	-9.478232	-9.5879225	-9.432917	-9.6283685	-9.43483025	-10.3159075	-10.5731375	-9.411052	-9.95571	-9.900593	-9.519676	-10.379295	-10.2336935	-9.668609	-7.912127	-8.4548295	-8.2063355	-7.59896285	-8.4060055	-7.3852804	-8.331478	-10.327917	-9.549816	-10.1926465	-8.180776	-8.4940735	-10.171106	-8.11042075	-9.237598	-9.2617885	-10.17333	-8.9911655	-9.933543	-9.4490625	-8.9598515	-8.203802	-9.59263675	-8.8715785	-9.25279175	-8.773224	-9.5298735	-8.5069935	-9.03911	-9.4544705	-9.71051975	-9.802391	-9.7816115	-9.5226855	-9.450034	-9.0639125	-8.5440165	-8.4514925	-8.5853055	-9.0238735	-8.395776	-7.9801704	-5.0076497	-8.424747	-8.2232655	-8.070005	-7.4948395	-8.3151135	-7.94291185	-8.2346775	-8.1867115	-7.63342315	-7.7390256	-8.068517	-6.7810933	-6.940997	-7.2260861	-7.6632988	-8.0311152	-7.87548685
osa-miR169	-7.57354583	-7.41312372667	-7.32652185333	-8.58693857333	-8.46181086	-7.63768703667	-8.50526058333	-8.72637605	-8.29926585667	-8.85322213333	-9.60147741667	-8.42339418	-8.07977975	-8.88679234333	-8.08607568333	-8.1203321	-9.74518795667	-8.51059523	-9.28576838333	-8.55783748	-8.37079381	-8.19334641667	-8.04707362	-9.15433558	-6.83565937	-5.6166148	-6.62095999667	-8.82763156	-9.19573583333	-7.16048957	-7.78353235333	-6.19347944	-9.12059841667	-8.39355981333	-5.11810236333	-7.94166767667	-5.95374674667	-5.14140889333	-8.19798455	-8.28170992	-5.65646946333	-8.76711859	-10.0290230667	-9.61059026667	-7.73041829333	-9.35991566667	-9.76377913333	-8.78741246667	-9.10294276	-9.49083836667	-8.21518403333	-9.27013001667	-9.48267619333	-8.86293025	-9.19904861667	-9.70580685333	-7.94156695333	-9.48715070667	-9.23075594333	-7.88585112333	-8.24923059667	-9.85538055667	-7.93696739333	-9.38119885	-8.97323601667	-10.0618386133	-10.0822917533	-8.51506445333	-9.4411106	-9.33606448	-9.59243405	-9.43559436667	-9.68834116667	-9.5210782	-10.2519685667	-10.3069240833	-9.14312661	-9.61621046667	-9.70720401667	-9.55016169	-10.2231302833	-9.87287523333	-9.27350424333	-7.97023206667	-8.53797543333	-8.28817308333	-7.72358153333	-8.43892256333	-7.46835613	-8.20347822333	-10.2767680667	-9.55243326667	-10.24973615	-8.24569912	-8.63060298333	-9.7766894	-8.81552027333	-9.31950511667	-9.22509477333	-9.79234899333	-9.14048811667	-10.0909039667	-9.54104085	-9.12918421667	-8.22770022667	-9.51878771667	-8.91852646	-8.96886163667	-8.61118556667	-9.57336197667	-8.58102721667	-9.03660261667	-9.63318001667	-9.7420733	-9.76431123333	-9.78831336667	-9.68535858333	-9.24296503	-9.07991823333	-8.13857758	-8.43969244333	-8.59913166	-8.83493470333	-8.42009614333	-8.05328654333	-5.17215698	-8.45053835667	-8.22925276333	-8.18722338333	-7.68274632	-8.35545471667	-8.02278229667	-8.39146091667	-8.21252086667	-7.64444351333	-7.81548762	-7.84933717	-6.78821090333	-6.84104445667	-7.16243673333	-7.55671829333	-8.18056337333	-7.91574277
osa-miR168	-5.97869205	-4.7651645	-3.7961586	-6.1778842	-4.46664715	-3.55769705	-5.93570015	-3.998597	-4.02100465	-5.6467622	-3.17981865	-2.73639635	-6.7545468	-5.6189673	-5.4337245	-5.6307845	-5.62459715	-5.5022507	-3.4127007	-4.1595975	-3.90364005	-2.3789034	-2.8613873	-2.24488875	-4.21906	-5.220995	-4.0228958	-3.09277915	-2.26073265	-3.221863	-5.77283865	-3.91872955	-3.64635515	-5.3406689	-3.1273465	-3.16502	-4.705724	-4.08379565	-3.7012601	-5.66496335	-3.9193621	-3.3531556	-0.69440268	-2.5804	-2.01848505	-2.69952295	-0.217126845	-2.9934411	-3.24596545	-3.0560756	-3.4668305	-1.7278557	-2.27131605	-1.788053	-5.0689443	-3.13553765	-3.27822875	-3.5783329	-3.90192985	-3.2084112	-3.1723184	-3.5048404	-3.9725044	-5.0291009	-4.71604975	-5.4572983	-4.904606	-4.4575285	-6.2633622	-8.02995335	-5.5598445	-5.27076465	-5.1647362	-6.30591895	-4.29619935	-4.36576035	-4.1111671	-4.00200605	-4.0985601	-4.337784	-3.3052225	-3.60549835	-4.119586	-6.0204798	-2.50759365	-4.5058732	-6.17046215	-2.5319733	-5.093094	-1.6407347	-1.89592025	-2.50541785	-2.44080495	-1.5730138	-3.00722165	-2.6586027	-4.803669	-3.7545042	-5.2648301	-3.20067925	-4.67607495	-7.477159	-8.1183328	-5.47049455	-5.8414322	-5.4374663	-5.7259897	-6.25677255	-6.56344635	-6.4048021	-5.52520585	-5.6628345	-5.81730365	-5.4758845	-5.83360665	-6.10252285	-4.01927825	-4.71268605	-4.949763	-5.65440015	-5.8824652	-5.27347725	-5.14862385	-5.467092	-5.58188655	-5.18633365	-5.55606485	-5.7959805	-6.7434859	-7.21441785	-6.77843855	-5.7324443	-5.92228615	-5.78802815	-6.3659725	-6.0040832	-6.6684825	-4.9957485	-5.3568692	-5.1998811	-6.3521755	-5.9857912	-6.43741375
osa-miR530	-7.6149755	-8.1818055	-7.56611685	-8.2563765	-9.2212265	-7.75912	-8.3437235	-8.303386	-7.982204	-9.0687685	-8.9788585	-8.339943	-7.5838755	-8.15415275	-8.227505	-6.8324535	-9.168772	-8.8449745	-8.095793	-7.38501855	-8.56492	-6.29970085	-6.6011286	-9.557525	-5.83996765	-5.32943575	-5.5412673	-7.6913495	-8.3047905	-5.7464905	-5.82288265	-4.6598525	-9.2768425	-5.96574095	-3.56301835	-5.7238595	-4.52413815	-3.4726386	-7.37217975	-7.116992	-4.047686	-8.23660315	-10.11205725	-8.318442	-7.372105	-9.8695445	-9.976255	-8.94450675	-9.490241	-9.811859	-8.33892425	-8.823658	-8.75904275	-8.92124525	-7.8826015	-9.4894885	-8.2726655	-8.726178	-9.5451175	-8.149887	-8.1372227	-10.3817635	-8.063981	-9.609466	-8.262199	-10.34273	-9.722908	-8.6795315	-8.61352585	-9.3461495	-9.858316	-9.102951	-8.632112	-9.6886115	-9.5113295	-10.226477	-9.6611825	-10.1183525	-10.087905	-9.66491725	-10.2021525	-10.213191	-9.8857245	-6.34734825	-7.759011	-8.4283365	-7.491846	-7.83237785	-7.646873	-7.7599492	-10.1500695	-9.77827775	-9.61091925	-8.2733575	-8.755429	-10.371765	-8.18069815	-9.4786815	-8.7975405	-8.6138695	-9.24356875	-9.975975	-9.679863	-9.20314825	-8.18800325	-8.4059595	-9.0808605	-9.475366	-9.0234965	-8.60834065	-7.695313	-8.06853165	-9.709137	-6.88983155	-10.017332	-9.5996585	-9.734677	-8.6604263	-8.33343975	-6.63788075	-8.764158	-8.8209255	-9.038498	-7.8065657	-7.81325885	-5.2732198	-8.6470415	-8.501009	-8.09580225	-7.7458942	-8.523724	-8.201884	-7.8523241	-8.3826095	-6.54014165	-7.9591725	-8.2642855	-6.8813235	-7.17025725	-7.4125988	-7.545965	-8.21697675	-8.0447095
osa-miR535	-6.9512434	-7.7388187	-6.357611	-7.2661528	-9.101041	-7.66367215	-8.5661765	-9.188495	-8.019676	-8.869933	-9.531648	-7.0166209	-7.9196095	-7.6338133	-6.70577315	-7.24171635	-8.76474335	-7.7855057	-7.5451615	-6.874893	-8.4013715	-6.3456804	-6.0249834	-9.401312	-5.68627875	-4.686955	-5.7385232	-7.4787619	-7.4832338	-6.8984973	-4.93746715	-4.210935	-7.37669535	-5.075884	-3.0142355	-4.24925755	-4.058032	-3.41399215	-6.16338835	-6.59416925	-4.0624768	-6.2591071	-9.0475005	-7.5150159	-6.07048895	-9.61892325	-9.820008	-8.8159335	-9.383454	-9.587841	-8.236835	-8.19205615	-9.169247	-8.59985375	-8.625777	-8.813338	-8.1133865	-9.3638525	-8.915144	-8.036273	-8.677452	-9.604482	-7.9401478	-9.503093	-8.933452	-10.213515	-9.7100085	-8.0757515	-9.5835695	-7.73563915	-9.562645	-9.520431	-9.7098725	-9.547076	-9.936257	-9.9363725	-9.514468	-9.7278505	-10.0135075	-9.522446	-10.470445	-10.331475	-9.2752155	-8.01896765	-8.5535525	-8.3094185	-7.558527	-8.520246	-7.4718155	-8.4598565	-10.15983725	-9.6130415	-10.297551	-8.292055	-8.6013355	-9.499488	-9.008048	-8.2343828	-9.37649175	-10.003424	-8.20406535	-7.9547698	-8.70364615	-8.4908132	-8.2972175	-9.4726795	-8.9775415	-7.959917	-8.7913595	-8.41128485	-8.2279565	-8.581444	-8.39382475	-7.5067177	-7.25114345	-7.6211168	-6.7744	-7.633227	-8.38842715	-8.4787535	-8.3680125	-7.5004749	-7.30384625	-7.43945955	-7.73811065	-5.15172935	-7.59508025	-7.35499195	-6.509645	-6.00926135	-6.50060555	-6.80488715	-5.77655535	-5.7771275	-5.3613538	-6.0565871	-5.72860055	-6.3734657	-4.94019085	-5.6651558	-5.52390425	-5.6521648	-5.34755475
osa-miR160	-4.54335029167	-4.17244038333	-3.15205775833	-4.73935791667	-5.14467375	-3.91402835833	-5.61241354167	-4.677723925	-3.96250085	-6.08619658333	-5.53223131667	-4.61366009167	-5.74440905	-5.70470163333	-5.163572475	-5.56423208333	-5.94555613333	-5.13540405	-5.05233349167	-4.428615	-4.56782139167	-5.033089475	-5.41964484167	-4.80675805	-5.90045806667	-5.682689	-6.26652254167	-6.00562820833	-5.4244637	-6.74122123333	-6.094828625	-5.58487629167	-5.12222283333	-6.12525986667	-5.84379844167	-4.99504485833	-2.527333775	-4.624777475	-5.049006975	-4.52910508333	-4.86887514167	-5.10632410833	-3.81526103333	-3.96097845833	-3.50775966667	-4.87576620833	-3.86865415833	-4.47218555833	-5.74940009167	-5.67451248333	-3.26004503333	-4.01089415	-5.2318967	-5.06153073333	-4.07656944167	-2.93747173333	-3.10642729167	-3.04140685833	-4.19330073333	-3.37051690833	-3.98839904167	-3.10923406667	-4.292421725	-5.44228750833	-4.43538509167	-5.33959594167	-5.232848975	-4.30085935833	-5.00065114167	-5.3874249	-5.0034073	-4.92263705833	-4.70284766667	-4.62746145833	-4.47138565833	-4.68017975833	-4.13451113333	-3.99868385	-4.13261035833	-4.19289698333	-4.12470986667	-4.25658466667	-4.09962021667	-5.339285425	-4.42113204167	-4.84674425833	-5.19527256667	-4.73279130833	-4.26233186667	-4.26965253333	-5.23548120833	-4.999652575	-5.3560536	-4.31306278333	-4.92004661667	-5.62300615833	-6.023380525	-5.28428991667	-5.97193069167	-5.84743844167	-5.611975625	-5.66949565	-5.22009655833	-4.28080239167	-4.881890425	-4.66778425833	-5.12230435	-5.96600036667	-5.64255985	-5.86686203333	-6.03999704167	-5.43016228333	-6.03151275833	-5.69535758333	-5.72160475833	-5.601696	-5.26764743333	-5.86280756667	-5.98329114167	-5.84232908333	-5.66068345833	-5.37267308333	-4.45539744167	-4.33443098333	-4.29694159167	-4.53343263333	-4.755161675	-4.710049375	-5.444600425	-5.62517193333	-5.73791855833	-4.90613245	-4.97354344167	-4.84903105	-4.781881125	-4.82343193333	-4.51152279167	-3.5109148	-3.458563725	-3.756848375	-4.22938816667	-4.57810256667	-4.670558075
osa-miR162	-7.5925484	-8.586099625	-7.433461725	-8.8330275	-8.980057875	-7.6034299	-7.5737018	-8.91410825	-8.121196	-8.760431125	-9.7744345	-8.53543775	-8.06126325	-8.80098775	-6.58006495	-8.24759725	-9.128084675	-8.7287625	-9.26751475	-9.2482315	-8.218815575	-8.9380851	-8.71260525	-9.339922	-6.80937195	-5.68839505	-6.861565675	-9.07784075	-9.15524125	-7.216233475	-8.6168475	-7.301673575	-8.7913029	-8.6824685	-6.1365161	-8.5589824	-7.260528025	-7.1184099	-8.3507825	-8.427208	-7.6683022	-8.601989075	-9.3318554	-8.934913625	-8.13896925	-9.635897875	-9.463639625	-8.80982025	-8.71151075	-9.43035275	-8.130442325	-8.415865	-8.545765875	-8.64600775	-8.997688	-9.60033575	-8.0861705	-8.881814	-9.4037485	-8.02483	-8.615126375	-9.351388	-7.920813025	-9.471751875	-8.8961075	-9.98309275	-9.95566575	-8.23200375	-9.44647575	-9.49711	-9.4958525	-9.2553175	-9.5914545	-9.536484875	-9.691338125	-9.805191	-9.514321	-9.84663175	-9.9477615	-9.27347575	-8.8485395	-9.71962925	-8.8170601	-7.46810145	-8.53283525	-7.68064875	-7.67519475	-8.49082725	-7.4820457	-7.29984	-10.01555725	-9.4320695	-9.733778125	-8.273876625	-8.596072	-9.42752	-8.9129605	-9.3376685	-9.23553425	-9.756501375	-9.09177225	-9.469516275	-9.5498615	-9.05641325	-8.294785	-9.1695895	-8.963698	-9.33018775	-8.86875325	-9.635891375	-8.605709	-8.89718575	-9.18174275	-9.65243625	-9.365944125	-8.758813875	-9.19719125	-8.494079	-9.090332	-8.47596825	-8.378839825	-8.6729855	-8.542392725	-8.49310925	-7.1634757	-5.112947775	-8.523745875	-8.321669875	-8.1564375	-7.60631015	-8.4144525	-8.054531575	-8.33296025	-8.04842075	-7.7311107	-7.8517099	-8.169727	-6.770390425	-6.92773495	-7.325017	-7.7493642	-7.578669625	-7.97613215
osa-miR164	-8.11352526667	-8.00025671667	-7.06636250833	-9.31445208333	-9.05291233333	-7.6045763	-8.32318105	-9.00174816667	-8.47725608333	-8.49405028333	-8.71400008333	-8.09983156667	-8.05401719167	-8.651081125	-8.02207566667	-7.49703411667	-9.0081655	-8.052041625	-8.354307125	-7.42788445	-8.48398358333	-6.6750312	-6.86107773333	-9.38531175	-6.451614775	-5.605261475	-6.87073974167	-7.96313151667	-8.30154000833	-6.989419325	-6.61047105833	-4.86998366667	-8.59048783333	-6.94062909167	-3.79181845	-5.966727725	-4.80270169167	-3.60251399167	-7.58582805	-6.98587946667	-4.1343291	-7.70512308333	-10.031637125	-8.70148015	-7.69479953333	-9.51420604167	-9.40452678333	-8.60219360833	-9.28569516667	-9.48620566667	-8.26341083333	-8.47361991667	-9.41980941667	-8.692197225	-9.17726716667	-9.26061055	-8.139079775	-9.67630283333	-9.20802808333	-7.83109800833	-8.28476810833	-9.982898875	-7.75297533333	-9.44726633333	-8.8186889	-10.2080233333	-10.2278162083	-8.55145083333	-9.56440925	-9.56827541667	-9.73202458333	-9.52528795833	-9.590344375	-9.57182320833	-10.2244485417	-10.4559621667	-9.23505845833	-9.792079175	-9.90548816667	-9.60627404167	-10.461725	-10.27146425	-9.7856395	-7.98590425	-8.398382375	-8.29974039167	-7.73758481667	-8.2041472	-7.25520359167	-8.24366028333	-10.3896095833	-9.44748258333	-10.0884244583	-8.22412464167	-8.62542475	-10.10968375	-9.03698620833	-9.3727525	-9.39532391667	-9.96015008333	-9.13141908333	-10.013129	-9.31796339167	-9.06539483333	-8.094522875	-9.62444075	-8.5769089	-9.21736275	-8.61671254167	-9.53555325	-8.59980995833	-8.66883050833	-9.296611475	-9.545355375	-9.86697654167	-9.83781175	-9.04132014167	-9.33394704167	-9.10592833333	-7.81101013333	-8.49495986667	-8.62790175	-8.95367633333	-8.43641236667	-7.89832159167	-5.15575061667	-8.387861125	-8.29229938333	-8.16524323333	-7.56727363333	-8.41699279167	-8.0353566	-8.30986369167	-8.30531533333	-7.73685654167	-7.49755491667	-8.052422575	-6.91394328333	-7.06586468333	-7.12312748333	-7.76492605833	-8.05166841667	-7.97883350833
osa-miR167	-8.572064015	-9.068511915	-7.51521063	-9.285230645	-8.9441152	-7.74164213	-8.529003655	-9.0229248	-8.5210048	-8.467417995	-9.8794726	-8.42459812	-8.147976425	-9.20335925	-7.861438875	-8.299055275	-9.924674675	-8.744480975	-9.715943825	-9.789332025	-8.3673309	-9.49150275	-9.670213725	-9.372099325	-6.67947987	-5.702926925	-6.665592835	-9.0854793	-9.473781275	-7.37931754	-8.592846975	-7.9539014	-9.21522165	-8.93574963	-6.741931245	-9.058917075	-7.61613874	-7.880791875	-8.25236563	-8.216499175	-8.197510055	-9.04417687	-10.079639225	-10.0559968	-8.22151941	-9.4766672	-9.58447866	-8.864539075	-9.382699325	-9.63673825	-8.28176764	-9.410674075	-10.025702775	-8.63798349	-9.2001053	-9.85191495	-8.11132631	-9.7756928	-9.330835775	-8.051002395	-8.6751921	-10.1211357	-7.793185205	-9.538804875	-8.9144061	-10.26723115	-10.10571955	-8.62007925	-9.58348535	-9.391630475	-9.681904275	-9.5023142	-9.7653827	-9.390368085	-10.463674425	-10.69903835	-9.597719125	-10.048281175	-10.0280181	-9.6044991	-10.34815015	-10.36965145	-9.760169825	-7.960511285	-8.382216085	-8.38151235	-7.755592275	-8.478883875	-7.54886278	-8.53595105	-10.4727958	-9.729832225	-10.284690375	-8.20983138	-8.69390295	-10.16906789	-8.95201012	-9.3349783	-9.394896825	-10.3040826	-9.151437875	-10.1181294	-9.623098275	-9.138898875	-8.184296675	-9.67892585	-8.55267405	-9.425426075	-8.942028275	-9.545189615	-8.54031033	-9.0999931	-9.6022779	-9.71355555	-9.96677545	-9.8849229	-9.5787614	-9.31917852	-9.103156875	-8.360845025	-8.22276418	-8.6635738	-9.1012805	-8.527529425	-8.13092137	-5.22549114	-8.551312085	-8.388430105	-8.179480245	-7.69057978	-8.475490925	-7.85617542	-8.3994873	-8.25242613	-7.66118525	-7.74623103	-8.153452285	-6.73258938	-6.983306545	-7.30360581	-7.58956884	-8.023047365	-7.83910437
osa-miR166	-6.50956586667	-6.3655239625	-5.60283699583	-6.54342920833	-6.39092751667	-5.43189684583	-7.05384098333	-6.87910121667	-6.9066241625	-7.8476101125	-7.32832620833	-5.74271789583	-6.9268180375	-7.159638875	-6.27801510833	-6.8771719875	-7.69109413333	-6.49800475417	-6.38356819583	-6.7110980125	-6.71863578333	-5.78627932083	-5.73514120833	-5.53675523333	-5.72063974167	-5.4629249375	-6.0425889875	-6.4149434125	-6.89553015	-5.8416175	-5.91580424167	-5.8053962875	-5.61731949167	-5.21402679167	-4.60346344167	-4.47053124583	-3.81096676667	-4.4477486125	-5.39774225833	-4.37889879167	-3.98087454583	-5.05323861667	-5.62598858333	-6.7214108375	-6.16927635	-7.22548697083	-5.71154831667	-6.71362314167	-7.78062394167	-7.77464688333	-6.5972027375	-5.4423725125	-7.16409914583	-7.21146196667	-4.8675050625	-3.86806442917	-3.688489375	-4.77513626667	-4.95820007083	-4.63537072083	-4.71730672917	-4.50898305	-5.2223151375	-3.27371753333	-3.00380725833	-3.894481925	-3.29643202083	-3.51227803333	-6.044120225	-6.99465310417	-5.3980090625	-7.29485042083	-7.43346346667	-6.793910325	-5.02011720833	-5.13367479167	-4.30071035833	-4.3144024125	-3.8530778625	-4.01503553333	-3.36195441667	-3.52414347917	-3.62074077917	-5.703620125	-5.3762256	-5.6632313375	-5.42823426667	-4.7904825	-5.29960191667	-5.19150443333	-5.38811234167	-4.385388075	-5.44108732083	-5.16108190833	-4.1556485	-7.01124041667	-6.19379298333	-6.05230065	-6.2336688125	-6.13393874583	-5.77113304583	-4.9947589875	-5.80819388333	-4.24724029583	-5.59673084167	-5.380249675	-5.82507333333	-7.69965747917	-7.50727208333	-7.9110976	-7.591330925	-6.5467266875	-7.42727985	-5.3358408875	-5.301562225	-5.52641259583	-3.71430990833	-4.55749769583	-4.7612682875	-4.36559107917	-4.54178134583	-3.7288255625	-3.0336735875	-3.12712755833	-3.02780386	-3.5042291875	-3.27030132083	-3.47395449167	-6.9670240875	-7.10374770417	-7.21085596667	-6.47015429167	-6.55358096667	-6.57808971667	-6.55836913333	-6.41425861667	-6.3067581	-6.07225976667	-6.1064616625	-6.2179955875	-6.92085781667	-6.86710612083	-6.92392211667
