ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602
osa-miR437	-8.649406	-9.1129985	-7.33879625	-9.4794395	-9.03676275	-7.58240365	-9.6741395	-8.6969935	-8.467788	-7.8139823	-7.558616	-9.452861
osa-miR169	-7.57354583	-7.41312372667	-7.32652185333	-8.58693857333	-8.46181086	-7.63768703667	-9.28576838333	-8.55783748	-8.37079381	-8.19334641667	-8.04707362	-9.15433558
osa-miR168	-5.97869205	-4.7651645	-3.7961586	-6.1778842	-4.46664715	-3.55769705	-3.4127007	-4.1595975	-3.90364005	-2.3789034	-2.8613873	-2.24488875
osa-miR530	-7.6149755	-8.1818055	-7.56611685	-8.2563765	-9.2212265	-7.75912	-8.095793	-7.38501855	-8.56492	-6.29970085	-6.6011286	-9.557525
osa-miR535	-6.9512434	-7.7388187	-6.357611	-7.2661528	-9.101041	-7.66367215	-7.5451615	-6.874893	-8.4013715	-6.3456804	-6.0249834	-9.401312
osa-miR160	-4.54335029167	-4.17244038333	-3.15205775833	-4.73935791667	-5.14467375	-3.91402835833	-5.05233349167	-4.428615	-4.56782139167	-5.033089475	-5.41964484167	-4.80675805
osa-miR162	-7.5925484	-8.586099625	-7.433461725	-8.8330275	-8.980057875	-7.6034299	-9.26751475	-9.2482315	-8.218815575	-8.9380851	-8.71260525	-9.339922
osa-miR164	-8.11352526667	-8.00025671667	-7.06636250833	-9.31445208333	-9.05291233333	-7.6045763	-8.354307125	-7.42788445	-8.48398358333	-6.6750312	-6.86107773333	-9.38531175
osa-miR167	-8.572064015	-9.068511915	-7.51521063	-9.285230645	-8.9441152	-7.74164213	-9.715943825	-9.789332025	-8.3673309	-9.49150275	-9.670213725	-9.372099325
osa-miR166	-6.50956586667	-6.3655239625	-5.60283699583	-6.54342920833	-6.39092751667	-5.43189684583	-6.38356819583	-6.7110980125	-6.71863578333	-5.78627932083	-5.73514120833	-5.53675523333
osa-miR319	-8.321573325	-7.92258225	-7.591520825	-9.000489625	-8.96911975	-7.6302495	-8.030156625	-7.624372	-8.5551055	-7.14591525	-7.1147733	-9.23564525
osa-miR393	-8.31183	-9.207457	-7.4901595	-9.586541	-9.12571225	-7.715101	-9.794265	-8.4363605	-8.426541	-8.7272475	-8.204566	-8.7159349
osa-miR396	-8.87670183333	-9.34681658333	-7.57902761667	-9.72247941667	-9.271816	-7.78752318333	-9.58007591667	-9.87669475	-8.56239233333	-9.57143708333	-10.1876446667	-9.5600545
osa-miR397	-8.18295525	-8.8693651	-7.615413275	-7.551843875	-9.3025375	-7.8085159	-9.858047625	-9.94040375	-8.63353775	-9.60591075	-10.2208435	-9.59825825
osa-miR394	-7.13885615	-6.523616	-5.7810615	-6.93104795	-7.3638285	-6.6973813	-7.1369922	-7.635487	-8.2938155	-8.219662	-8.0158315	-7.4578625
osa-miR395	-8.39924727609	-8.61149062826	-7.24262328913	-8.86939862826	-9.06709008696	-7.52966762826	-8.69518231304	-8.09321515217	-8.24811631304	-7.54707029565	-7.03133928043	-9.09852501087
osa-miR159	-8.74613625	-9.20719375	-7.48169285	-9.21651104167	-9.15667895833	-7.72587904167	-9.78239	-9.52554113333	-8.46641479167	-9.429714	-8.87593580833	-9.41981516667
osa-miR390	-6.4771154	-8.571071	-6.93109715	-7.1339235	-8.3333108	-7.28443315	-7.6177385	-7.15758335	-8.411021	-6.7670733	-6.327216	-9.3779775
osa-miR172	-8.6984167125	-8.3734778	-7.5271345875	-8.4547357875	-9.205559125	-7.744004225	-9.721992875	-9.81025125	-7.205129075	-9.51223775	-10.0080255	-9.519484375
osa-miR528	-6.6755058	-7.265961	-6.9690683	-7.24449315	-9.233262	-6.64538045	-6.4944527	-5.98859	-7.8524725	-5.1070935	-4.69159985	-8.66880825
osa-miR156	-7.73219382273	-8.35187205	-7.33421183182	-8.20306373636	-8.90485231818	-7.37831580455	-7.88965553182	-6.91033881818	-8.24347060455	-6.18228815	-6.21351827727	-9.2252205
osa-miR171	-8.21152701667	-9.02219762222	-7.19613152778	-9.26166252778	-9.02655117222	-7.55614604444	-9.33509816667	-9.27248663889	-8.20511057778	-9.17616805	-9.3293767	-8.9826329
osa-miR398	-6.716226325	-4.724088775	-4.8978438	-6.4462455	-5.156636	-5.980172075	-6.861148025	-5.648816	-6.94106525	-5.99250645	-6.993228075	-7.0622334
osa-miR399	-6.87815865455	-6.84202051818	-5.28686626818	-7.62269265909	-8.11440288182	-5.77601396818	-7.18858801818	-6.58129532273	-7.09340940455	-6.16876131818	-6.20688952727	-7.43710313182
osa-miR408	-3.2032485	-3.5007942	-2.5027692	-4.05247965	-3.8608689	-2.83347485	-3.3346815	-3.63497115	-2.86820315	-3.56702135	-3.69320635	-3.1484652
