ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632
osa-miR535_Mature	-6.9512434	-7.7388187	-6.357611	-7.2661528	-9.101041	-7.66367215	-8.5661765	-9.188495	-8.019676	-8.869933	-9.531648	-7.0166209	-7.9196095	-7.6338133	-6.70577315	-7.24171635	-8.76474335	-7.7855057	-7.5451615	-6.874893	-8.4013715	-6.3456804	-6.0249834	-9.401312	-5.68627875	-4.686955	-5.7385232	-7.4787619	-7.4832338	-6.8984973	-9.0475005	-7.5150159	-6.07048895	-9.61892325	-9.820008	-8.8159335	-9.383454	-9.587841	-8.236835	-8.19205615	-9.169247	-8.59985375
osa-miR169d_Mature	-8.6888265	-6.9986593	-7.4735142	-9.14614175	-9.084997	-7.702186	-8.5314855	-9.1543705	-8.4774385	-8.9027215	-10.09429625	-8.555196	-8.0948705	-9.233916	-8.0629885	-8.299251	-9.5504895	-7.5926043	-9.7631665	-8.2152805	-8.2516265	-7.2243523	-6.964567	-9.3667455	-6.858333	-5.7139772	-6.89800535	-8.7393255	-9.01007325	-6.475652	-10.034968	-9.1833005	-6.70079	-9.67647575	-9.84707925	-8.8487605	-9.10495125	-9.007788	-8.2671575	-8.73342	-9.8651845	-8.809251
osa-miR166b_Mature	-5.962316	-5.28043065	-4.5320828	-5.478483	-5.1115488	-4.1530261	-6.73645285	-5.92059615	-5.7375777	-7.42010475	-5.9109919	-4.8143375	-6.0817685	-5.76382855	-5.33323035	-6.29172635	-6.2252782	-5.62645325	-5.4938242	-5.8473105	-4.38803785	-4.82306005	-4.92899875	-4.605032	-5.2711997	-5.5721625	-5.80407435	-5.82239625	-5.837208	-5.7012527	-4.40778945	-5.6728735	-5.09268025	-6.091451	-4.8052559	-5.28483	-6.3612615	-6.8976637	-4.340887	-4.4952526	-6.05145955	-6.28263235
osa-miR156k_Mature	-6.6582217	-7.0601958	-6.2992782	-6.6364193	-8.7734835	-6.3331175	-8.4873585	-8.94295875	-7.04170705	-8.433086	-8.5835825	-6.0641675	-7.03943925	-7.4640008	-5.101495	-6.78768765	-7.9219482	-6.67417175	-6.5510192	-6.3518105	-6.16682965	-5.6928243	-5.4858509	-6.7776065	-4.3803725	-2.8751753	-6.76333615	-6.61966065	-7.1199114	-5.023452	-6.830242	-6.03150375	-4.89936775	-7.63895815	-7.4014105	-6.66925475	-7.2737599	-7.41221645	-5.8642509	-7.56133605	-7.61786335	-6.38528985
osa-miR160a_Mature	-4.42843795	-3.8187928	-2.9361493	-4.9311435	-5.0750985	-3.7112832	-5.3707995	-4.2754278	-3.53607345	-6.1409823	-5.51701425	-4.4402873	-5.76215455	-5.9220113	-5.2695885	-5.64143065	-6.04239705	-5.1555213	-5.00915435	-4.3683797	-4.5616495	-5.11164825	-5.5344901	-4.73608995	-6.17461685	-5.6986133	-6.87308425	-5.9699475	-5.565663	-6.919454	-3.41773605	-3.6001463	-3.2799158	-4.9017259	-3.4595547	-4.504406	-5.897059	-5.8014615	-3.3451226	-3.9317628	-5.2184218	-5.2685244
osa-miR395w_Mature	-8.8541105	-7.7711278	-7.32780565	-8.996794	-9.2647775	-7.8080769	-8.1080469	-9.1419025	-8.605803	-8.09292575	-9.2672995	-7.47082885	-8.2283	-8.76680825	-7.52295435	-8.4252365	-9.742015	-7.07643215	-9.03511	-8.15058225	-8.2548725	-7.820601	-7.23559645	-9.490103	-6.0983422	-4.85008905	-6.7714342	-7.90442515	-7.89115725	-6.433383	-9.646549	-8.92009	-8.290909	-9.4120275	-9.9361655	-8.4429295	-9.434543	-8.453916	-8.394814	-9.2408055	-8.855967	-7.9286475
osa-miR395n_Mature	-8.9236955	-8.096451	-7.63394585	-8.96591	-9.320039	-7.816141	-8.697643	-9.384938	-8.6382915	-9.053671	-9.32728	-7.1479675	-8.256915	-9.1251965	-8.117516	-8.3609845	-8.5425465	-7.48100135	-8.31054025	-7.943797	-7.337185	-7.3760215	-7.089829	-8.7380375	-6.10605835	-5.909183	-5.3078732	-8.159198	-8.1468125	-6.91370605	-9.68523825	-8.8632695	-8.3487395	-9.772326	-9.9690685	-9.024915	-9.3214665	-8.68303395	-8.385207	-9.2239	-9.676725	-8.9968605
osa-miR171d_Mature	-8.718024	-9.248866	-7.5303458	-9.62478	-9.158758	-7.73240615	-8.0961405	-9.2166585	-8.521523	-8.9959715	-10.162431	-8.6047655	-8.1658495	-9.288589	-8.172777	-8.370413	-8.16357	-8.7734775	-9.81047275	-9.8090695	-8.4925	-9.5000685	-9.9753685	-9.478284	-6.3238197	-5.78275015	-6.9612169	-9.1695565	-9.5156725	-7.36142995	-10.0895255	-10.041977	-7.16723685	-9.3150025	-9.9295285	-8.904475	-9.4308515	-9.721329	-8.32295	-9.560797	-10.028979	-8.8688345
osa-miR160e_Mature	-3.952297	-3.55916	-2.42087335	-4.3139897	-4.51297325	-3.08995625	-5.0612182	-3.9647698	-3.02124975	-5.41988825	-4.5653359	-3.62011005	-4.623329	-4.798561	-4.042026	-4.6473527	-5.2958628	-4.3187515	-4.05708095	-3.3816471	-3.39468615	-3.89776925	-4.3075963	-3.5725727	-4.6260707	-5.32507125	-4.87902935	-4.4660478	-4.3915167	-4.94635055	-3.14112045	-3.0504499	-2.5906906	-3.30653755	-3.06868265	-3.38248345	-3.5218382	-3.2743521	-1.94934415	-2.9031601	-3.81010985	-3.3414855
osa-miR167f_Mature	-8.816127	-9.2957755	-7.56586455	-9.617047	-9.219308	-7.75957835	-8.616485	-9.2845955	-8.5566245	-8.9788495	-10.1888555	-7.6354205	-8.205936	-9.320462	-8.17210135	-8.41150525	-10.006931	-8.76013	-9.8183045	-9.84963625	-8.4940965	-9.5405145	-10.0705735	-9.458401	-5.59279075	-5.827258	-6.9998112	-9.2217055	-9.544501	-7.44167185	-10.110385	-10.1188085	-8.274164	-9.122586	-9.5488465	-8.944083	-9.4122925	-9.7406125	-8.35714	-9.5954375	-10.0816845	-8.2265168
