ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632
osa-miR171h	-8.53739375	-8.746668375	-7.470425575	-8.4610861	-9.1046765	-7.710260075	-8.50175675	-9.173369125	-8.482177	-8.9049375	-10.0733855	-8.54811875	-8.0952825	-8.9356195	-8.07421275	-8.29713775	-9.4744415	-8.666582	-9.34923775	-9.6164405	-8.365481	-9.24051675	-8.8724045	-8.98835575	-6.8440115	-5.272138725	-6.54611875	-9.1024225	-9.446398	-7.015056675	-9.5038481	-9.95677575	-8.17277615	-9.27582075	-9.186257375	-8.845930375	-9.33104	-9.6119535	-8.2645245	-9.48512825	-9.47840625	-7.868639075
osa-miR171i	-8.75568925	-8.38532515	-7.58362875	-9.746769	-9.1835855	-7.787704975	-8.4785411	-9.030915	-8.588984	-8.92981675	-10.1874315	-8.357238425	-8.21584525	-9.31690825	-8.091998875	-8.423441	-9.6543765	-8.8583725	-6.8102703	-8.01721225	-8.615538	-8.252702675	-8.155130075	-8.714351125	-6.01973275	-5.83446055	-6.981514575	-9.21198875	-9.31535925	-7.461129425	-6.197334825	-6.749661025	-8.03694605	-9.27726	-8.0583988	-8.1358896	-9.481544125	-9.4521605	-8.378693625	-9.60976425	-10.124676	-8.90894925
osa-miR441b	-3.6582164	-4.183355095	-2.4248893	-5.198367113	-4.902252375	-3.911839958	-4.737591875	-4.776840065	-4.19111259	-5.5095782	-5.6359067	-4.611480043	-4.640983575	-4.799284128	-3.184404876	-5.215133875	-5.549534525	-4.829235765	-5.412170625	-5.390843225	-4.727514275	-5.694888125	-5.008230475	-5.450086625	-3.832514275	-3.089903575	-4.1929716	-5.5390672	-5.3253138	-4.2437349	-5.727020375	-5.875981525	-5.0287597	-4.773128575	-5.54543865	-4.6961262	-5.3047258	-4.496690275	-2.9675998	-5.225647425	-5.2965885	-4.152779125
osa-miR171a	-8.02760225	-8.64411125	-6.79866795	-8.855017	-8.596458925	-7.405321125	-8.53256	-8.268853	-8.215337825	-8.217589125	-8.75143195	-7.665876675	-7.78794935	-8.2364366	-8.077559	-7.560910175	-8.961947875	-8.021936925	-8.48460045	-8.58532825	-8.44865925	-7.980768175	-7.519925275	-8.8098893	-6.4610546	-5.495673975	-6.807296675	-8.045268625	-7.757137375	-7.26012425	-7.503363725	-8.158800925	-7.9532367	-7.72080645	-7.840664275	-7.057503925	-8.40052225	-7.865686475	-5.97576735	-6.90028175	-7.9851062	-7.756428175
osa-miR171b	-7.4069992	-8.218956175	-6.96308705	-8.677604625	-8.529569125	-7.266952225	-8.640403375	-8.8456385	-8.5387395	-9.01554275	-9.636109	-7.424721575	-8.1566304	-9.0694115	-8.221531	-8.357895	-9.968334	-8.821416	-8.111654	-8.609275575	-8.050358875	-7.651134175	-6.911050525	-7.765330225	-6.357157075	-5.7873571	-6.45486535	-8.2875993	-8.92301575	-7.013474825	-5.858251525	-7.013288425	-7.58315325	-8.2315418	-6.9880474	-8.06992515	-8.58225875	-8.614458325	-8.24672425	-8.49136375	-8.9656601	-8.884488
osa-miR171c	-8.023508775	-7.9717451	-7.52206455	-8.824102875	-8.757426	-7.36522125	-8.605545875	-8.78785875	-8.52703525	-8.9928835	-9.431603625	-8.18269035	-8.13845735	-9.0819775	-8.036961675	-8.34938975	-9.42012	-8.621822	-6.970149375	-7.106869825	-6.704934425	-6.80169965	-6.01268125	-6.1613479	-5.146473875	-5.76599175	-6.5766941	-9.157185	-8.52404475	-7.182463875	-4.507946825	-5.663527575	-5.648334325	-6.913395075	-5.6440663	-6.208167225	-7.014684225	-6.790419525	-7.63956	-8.7569085	-6.991258275	-7.5805647
osa-miR171d	-8.771145875	-8.780771875	-7.334531925	-9.042332875	-9.22404125	-6.7747909	-8.386830425	-9.2859135	-8.556248	-8.78459875	-9.844404	-7.4850274	-6.332107025	-8.674698275	-8.098151975	-6.743141325	-9.058756	-7.92966825	-6.581441625	-7.469578375	-6.03485	-6.7114056	-5.797841875	-5.5739235	-6.78657465	-5.551345825	-6.9558958	-8.701377	-9.22220825	-7.324376675	-6.568267325	-7.426707125	-6.9969678	-9.218008875	-7.127521025	-8.83267725	-9.393848	-9.70092525	-7.99588225	-9.19372575	-9.336238875	-8.89725375
osa-miR171e	-8.41259775	-8.7839277	-7.45200545	-8.937706	-8.458978075	-7.68176595	-8.50161475	-9.179706875	-8.444871	-8.7689875	-9.912553875	-8.2739445	-8.064391875	-9.18263325	-8.028416375	-8.275013	-9.8645205	-8.45140825	-8.13573555	-8.89946325	-7.69546925	-7.80729005	-7.638801325	-4.2777739	-6.812454825	-5.68054035	-6.85125585	-9.07386525	-9.387272	-7.2896846	-7.566080625	-8.97012375	-8.1295495	-9.06095515	-8.3848025	-8.789105125	-9.233838	-9.651633875	-8.23418875	-9.4184495	-9.341981925	-8.753474
osa-miR171f	-8.443324375	-8.6211354	-7.49618275	-9.67961425	-8.8668371	-7.746512	-8.580597	-9.08877675	-8.46033525	-8.62672325	-9.4145125	-8.609635	-8.189162	-9.19099375	-8.204082175	-7.50340885	-9.2617405	-8.764124625	-6.325329325	-5.3659846	-6.3051429	-6.57235495	-6.5745425	-6.421056875	-5.3057571	-4.961797475	-4.61997225	-6.071103	-5.21793925	-5.65262565	-8.84354175	-6.858951225	-6.091456375	-5.2979845	-7.283295025	-5.5558259	-6.121612525	-5.6962019	-6.968922575	-6.600399625	-6.293943825	-6.178243675
osa-miR171g	-8.193169675	-8.59543975	-7.49142145	-9.34917125	-9.175877	-7.723696525	-8.61781375	-8.572078675	-8.51151625	-9.004993	-9.699708	-8.58883825	-7.93936005	-8.593572	-8.182909875	-8.2419515	-9.721170375	-8.738301	-8.758712125	-9.0688811	-8.49163175	-8.573428625	-8.63721975	-9.488005	-6.89274855	-5.512963475	-6.3208794	-8.88877775	-8.893656	-7.38949435	-9.13891765	-9.05574325	-8.2025615	-8.946783175	-8.65149925	-8.881510875	-9.297869875	-9.10357825	-8.29866775	-8.60589615	-8.531421125	-8.854705
osa-miR442	-6.0646043	-6.69637595	-5.147146575	-5.847422175	-6.251644825	-5.10049165	-6.18845085	-6.50900325	-6.05183585	-6.0515424	-6.651704775	-5.715479075	-6.8519506	-7.0704576	-6.20279585	-6.739724	-6.5107689	-6.432882575	-8.045367425	-7.98095505	-6.924785325	-7.5463136	-6.7981486	-7.369288	-6.743315475	-5.613212625	-6.7693259	-7.87172695	-7.24300225	-5.5397617	-7.22215845	-7.621480075	-7.586884625	-6.9619556	-7.7414061	-6.7403983	-8.2388351	-8.14809125	-8.106449325	-8.256105625	-7.751969275	-6.976942775
osa-miR166d	-8.002131	-7.43402595	-6.68250275	-8.33935325	-7.50524295	-6.38193175	-8.588862	-7.964901625	-7.8149946	-8.790899625	-7.675403375	-6.007612975	-8.071857425	-8.898678	-7.458288325	-8.06069775	-8.778829	-8.1844475	-7.31615005	-7.717495625	-7.9106206	-6.2593808	-6.188329	-7.018267	-6.230336125	-5.70009565	-6.6654635	-7.81107185	-6.8820509	-6.53083465	-6.59320645	-7.04262065	-6.95472285	-6.844265825	-6.466421325	-6.53784265	-9.1486115	-9.3864345	-8.249521125	-6.65521015	-7.98878035	-7.9126827
osa-miR166e	-8.5671715	-8.01011925	-6.952256875	-8.2784022	-7.3445605	-6.454363575	-8.116220175	-8.089121325	-8.20915395	-8.30885875	-8.9189559	-6.57619075	-7.74744775	-8.613712	-8.08753875	-7.83491865	-8.755435	-8.370784575	-7.039062325	-8.24313185	-8.038755925	-6.703605925	-6.3545313	-5.937069775	-6.7459639	-5.76791935	-6.947890675	-8.875149125	-8.54786025	-7.394878975	-5.523019425	-7.7061485	-7.0170748	-8.62449065	-6.349981	-8.392679625	-8.62615435	-8.98453725	-8.199654675	-6.988422	-9.131402	-8.57583275
osa-miR166f	-8.58363625	-7.865439	-7.121965325	-8.324274025	-7.547121975	-6.818565925	-8.3371545	-8.214004625	-8.45124475	-8.33362975	-8.808366425	-7.536956	-7.95819415	-8.448317375	-7.356693825	-6.931118325	-8.80192525	-7.70836175	-7.998434475	-7.854944875	-8.236511125	-7.102705125	-7.229570625	-7.345285475	-6.7449345	-5.83816285	-6.62580785	-7.925439225	-7.9500958	-7.307079775	-7.26193325	-8.057959975	-7.393989625	-7.7858851	-7.563996625	-8.0605241	-8.76363075	-8.1342528	-8.195801675	-6.90477245	-7.7644845	-8.55827275
osa-miR166g	-8.7161025	-8.997506125	-6.447554325	-9.589829	-9.268115	-7.8052109	-8.648071375	-9.32676075	-8.616457	-9.015263	-10.22783188	-8.67229	-7.8091529	-9.24734925	-8.21638625	-8.3011706	-9.924012375	-8.7697605	-6.02348865	-7.92139475	-6.208274725	-5.98031285	-5.372219975	-5.608285575	-6.6851151	-5.035101975	-7.034754	-9.018432	-9.3741385	-7.3983712	-4.70754255	-4.0493039	-4.486241675	-9.02977025	-3.39549685	-8.8554535	-8.196891	-9.32825225	-7.40641925	-8.49225125	-9.260148	-8.959422875
osa-miR166a	-6.623948375	-6.302569225	-6.17355265	-7.400444675	-6.92929825	-6.29649895	-6.623255125	-6.83733175	-8.138823325	-7.9362275	-8.3365378	-6.73425215	-8.297792875	-9.0900115	-8.16502175	-8.34464375	-8.986998	-8.4869268	-5.05948075	-5.9736091	-6.15915125	-4.0723098	-4.177507875	-3.8928014	-7.05870355	-5.93045465	-7.0897426	-8.9851445	-8.38949785	-7.550403675	-3.489759175	-5.1223799	-4.60572725	-7.011157925	-3.91827965	-7.769693625	-8.8670575	-9.09241475	-7.81137155	-4.220880875	-8.582656	-8.461263575
osa-miR166b	-7.676277925	-7.226026575	-6.84779015	-8.33565695	-7.786486625	-6.996216625	-8.11259025	-7.50259625	-8.389080875	-8.543393	-7.571705125	-6.733314325	-7.37752545	-8.309800375	-7.82573975	-7.2096405	-7.8281851	-7.236411275	-6.8982007	-7.551007675	-7.8314679	-6.3909728	-6.21339805	-6.71538025	-6.39515605	-5.7628814	-6.091938525	-7.295834025	-6.90337765	-6.44804675	-5.68874335	-6.36750925	-6.52485885	-6.016104525	-5.499261775	-5.777598225	-7.338940625	-7.117088	-7.83364525	-6.266643175	-6.75284115	-7.2889891
osa-miR166c	-6.846137	-7.076012775	-6.1294766	-7.570753375	-7.20691985	-6.565746125	-7.907999775	-7.410236	-7.922680275	-7.140676875	-6.356156375	-5.8227236	-7.69896	-6.625689975	-6.7681261	-5.30606565	-6.054358125	-5.854157975	-6.896089425	-6.60697785	-7.1136583	-6.17008245	-5.777303175	-6.3382131	-5.56044395	-5.30865975	-5.641170475	-6.128148525	-4.9437838	-5.180124775	-6.7074995	-5.53603075	-6.134361375	-6.260541675	-5.183106075	-5.4815619	-5.995991025	-6.187791175	-7.54974365	-6.537613575	-5.370207525	-5.5545333
osa-miR166l	-8.39773805	-8.340447125	-7.482950225	-7.83993525	-8.59237815	-7.687909175	-8.5278115	-8.393071875	-8.38211275	-8.696377625	-9.33980825	-7.447407075	-8.083749	-8.446466125	-8.11041875	-8.151034575	-9.641356375	-8.35001765	-7.065086125	-7.434756875	-8.2917125	-5.989341	-5.930786525	-6.02481375	-6.4650812	-5.720362525	-6.564031425	-8.10636	-8.049540225	-6.5896755	-6.605785725	-7.9320149	-6.84173215	-9.4817705	-7.0341016	-8.84306325	-9.347369	-9.0845005	-7.56037825	-8.30132715	-8.960784	-7.669590075
osa-miR166m	-6.17251435	-6.6233267	-5.725778175	-7.419336075	-7.123737475	-6.2435954	-7.0772531	-6.48997365	-6.975538575	-7.149856125	-7.468350525	-5.739617225	-7.1227093	-7.167390925	-6.7978546	-7.5315288	-8.08653325	-6.56518675	-5.972657825	-7.040314925	-5.830032775	-6.0271529	-5.983379	-5.182237125	-5.835559825	-5.837064725	-6.3823563	-7.55729675	-7.3052489	-6.3531895	-5.384632775	-6.224067625	-5.141503275	-6.962613375	-5.913718	-6.117099375	-7.3941787	-7.3653097	-6.5741384	-6.262192	-7.7621955	-6.40522135
osa-miR166n	-6.075610025	-5.58023155	-5.622364525	-7.0360795	-6.817786375	-5.74587175	-6.23440685	-5.766227825	-6.090416575	-8.063766175	-6.38478525	-5.951304125	-6.236548	-6.0328383	-5.81828375	-6.7665075	-7.39928285	-7.21145105	-6.387448125	-6.5943956	-7.152525075	-6.282227775	-6.136194825	-6.2102016	-5.749374775	-5.0038612	-5.8474439	-7.03838765	-5.3811854	-6.257772325	-7.201963	-6.8033181	-6.755102725	-6.4286757	-6.9288026	-5.913475875	-7.636079875	-7.542639925	-6.396960125	-5.53350845	-6.5851307	-6.907405375
osa-miR166h	-8.144514375	-7.72215925	-6.88280655	-8.478672375	-7.983424875	-6.62587925	-8.349436	-8.10744785	-7.934295675	-8.6243214	-7.881062	-6.563775975	-7.5844745	-7.95987235	-7.281274825	-6.7988975	-8.5390606	-5.8378539	-7.7755212	-7.9778795	-7.660370425	-7.403323425	-7.20952675	-8.00502115	-6.434702025	-5.815494075	-6.986662475	-8.01455475	-8.10036255	-6.729660075	-7.736763825	-7.850329575	-7.2321161	-7.50685875	-7.4171925	-7.64852215	-8.57167025	-8.451479	-7.326485225	-7.000972775	-7.764132	-7.5725158
osa-miR166i	-8.59380075	-8.26196575	-7.56306435	-9.37977125	-9.166943	-6.96728695	-8.48308775	-7.929840075	-8.565244	-9.058915	-10.16327563	-7.73604915	-8.19814375	-9.0807605	-8.282774	-7.5058484	-9.84728675	-8.857077125	-8.3732205	-8.7627521	-8.402366275	-8.0873859	-7.669351575	-8.3051286	-6.6189775	-5.54933495	-6.91354185	-8.77287425	-9.31872225	-7.357301625	-8.13539305	-7.75472565	-7.317897425	-9.2727435	-7.48734375	-8.9375955	-9.44233125	-8.9260992	-8.34957225	-8.85835725	-9.36743075	-8.907246875
osa-miR166k	-8.691999	-8.67240625	-7.4284814	-9.3818525	-9.043409375	-7.503605075	-8.610495625	-8.86493625	-7.9210331	-8.76027875	-9.005051325	-7.664025075	-8.0516364	-8.48254425	-8.08532625	-8.2583895	-8.85267675	-8.5575561	-8.5144465	-8.68794425	-8.47545875	-7.736099575	-7.3142844	-8.6058655	-6.8259347	-5.68327665	-6.703559975	-8.88310275	-8.349289625	-7.314231175	-7.913494075	-8.7023545	-6.56621075	-9.090166	-8.0732635	-8.54945475	-8.723218875	-9.39408675	-6.529548225	-8.135036	-8.48837575	-8.763418125
osa-miR396d	-5.760460175	-5.527564875	-4.593023125	-6.340537	-6.34573315	-5.78825455	-6.749897225	-6.334647275	-6.670167225	-7.708766175	-6.630877225	-5.45024695	-7.239735475	-6.6493313	-6.3749768	-7.002067375	-7.30327225	-5.1752594	-4.6495569	-6.065234675	-4.574397325	-5.36522795	-4.72281715	-4.619332475	-5.96457395	-4.816986825	-5.7614125	-6.767523025	-6.995605325	-5.536476575	-4.112280525	-3.23625045	-3.1038308	-4.95447485	-3.384782075	-4.7493075	-6.721394975	-6.994613425	-6.998672975	-6.156444425	-6.117189775	-6.6331102
osa-miR396a	-8.863866	-9.325067625	-7.5546738	-9.70510775	-9.13123175	-7.7760309	-8.676985125	-9.0095335	-7.85190575	-9.0466715	-10.12096675	-8.6465675	-8.197124875	-9.314681125	-8.24288275	-8.277442075	-9.996364	-8.819175375	-9.8190475	-9.638532	-8.546254	-8.6594625	-8.949684775	-9.20829075	-6.974175425	-5.832515075	-6.999162875	-9.22432625	-9.546608	-6.876375575	-9.124949125	-9.3702125	-6.7900183	-9.602329625	-9.64043325	-8.913321375	-8.6915585	-8.44012825	-8.20009325	-9.04947175	-9.02925775	-8.92502425
osa-miR396c	-7.9289829	-8.32368285	-7.021779	-7.4884236	-8.86348475	-7.201128975	-8.64825825	-8.124838975	-8.56276675	-8.69538375	-8.906660825	-7.375476475	-7.2169195	-8.490501	-8.136513075	-7.8786514	-8.65678075	-7.646924125	-2.24387195	-3.814483075	-3.78752415	-2.390900375	-3.000790375	-2.8225143	-5.53245975	-5.6103549	-6.9783639	-8.157447325	-8.517983175	-6.823795725	-1.640347475	-2.01488135	-1.564274075	-9.3185075	-2.281273575	-8.792932625	-8.531167175	-8.95693625	-8.35404475	-8.0117773	-8.355654625	-8.91052725
osa-miR396b	-8.752409125	-9.058558125	-7.3454481	-9.61997775	-8.39039	-7.759033	-8.521679	-9.20968975	-8.51327425	-8.90503525	-9.7724755	-8.1153085	-8.14330675	-9.258366	-8.07323265	-8.33759875	-9.743363	-8.337587975	-9.78668775	-9.765945375	-8.3772265	-9.40547725	-9.3197225	-9.376796875	-6.89089955	-5.67133055	-6.9382592	-9.154975	-9.262748	-7.0886034	-8.5870945	-8.24563225	-8.1830005	-7.4734106	-8.519363375	-7.6474838	-8.0679475	-8.450667925	-6.262051425	-6.6773734	-7.845039325	-7.5297262
