probeName	Anther_0.3-0.6 mm	Anther_0.7-1.0 mm	Anther_1.2-1.5 mm	Anther_1.6-2.0 mm	Embryo_07 DAF	Embryo_10 DAF	Embryo_14 DAF	Embryo_28 DAF	Embryo_42 DAF	Endosperm_07 DAF	Endosperm_10 DAF	Endosperm_14 DAF	Endosperm_28 DAF	Endosperm_42 DAF	Inflorescence_0.6-1.0 mm	Inflorescence_3.0-4.0 mm	Inflorescence_5.0-10 mm	LeafBlade_125DAT_12:00	LeafBlade_125DAT_24:00	LeafBlade_27DAT_12:00	LeafBlade_27DAT_24:00	LeafBlade_76DAT_12:00	LeafBlade_76DAT_24:00	LeafSheath_27DAT_12:00	LeafSheath_27DAT_24:00	LeafSheath_76DAT_12:00	LeafSheath_76DAT_24:00	Lemma_1.5-2.0 mm floret	Lemma_4.0-5.0 mm floret	Lemma_7.0 mm floret	Ovary_01 DAF	Ovary_03 DAF	Ovary_05 DAF	Ovary_07 DAF	Palea_1.5-2.0 mm floret	Palea_4.0-5.0 mm floret	Palea_7.0 mm floret	Pistil_05-10 cm inflorescence	Pistil_10-14 cm inflorescence	Pistil_14-18 cm inflorescence	Root_27DAT_12:00	Root_27DAT_24:00	Root_76DAT_12:00	Root_76DAT_24:00	Stem_83DAT_12:00	Stem_83DAT_24:00	Stem_90DAT_12:00	Stem_90DAT_24:00
osa-miR156a_Mature	-9.2377115	-9.70422	-9.642987333333332	-9.601483666666667	-9.870205666666665	-9.422851333333334	-8.550280166666667	-8.241496433333333	-7.351799166666667	-7.9431546666666675	-8.229777666666665	-7.904652933333334	-7.0751882	-7.911624666666667	-8.910080666666666	-9.078607333333332	-8.981271	-7.949150666666665	-8.543009333333334	-7.821843833333333	-8.228573666666668	-8.693734666666666	-8.321965166666667	-7.942063333333333	-7.132246766666667	-6.126540666666667	-7.365318300000001	-8.305147333333332	-9.522119333333334	-9.526343333333333	-9.569026000000001	-9.022561666666666	-9.326680666666666	-9.005244	-7.640695	-9.081795	-9.594972666666667	-9.984132666666666	-9.860417	-9.980261666666665	-6.124644233333332	-4.516165099999999	-4.825928833333333	-6.447437133333334	-8.366942	-9.490667333333333	-9.1254775	-8.988722000000001
osa-miR156b_Mature	-9.376325	-9.281855666666667	-9.828603000000001	-9.781474000000001	-9.947212333333333	-9.634621666666666	-8.772752	-7.7958977	-7.303249	-7.736219766666667	-8.429289666666667	-8.046717666666666	-6.9817086999999995	-8.142475666666668	-8.323511833333333	-9.245909	-9.142405333333334	-7.937426333333334	-8.150049	-8.065539	-8.915129666666667	-8.916522333333333	-8.885234666666667	-7.838747233333333	-7.508914666666667	-6.4083727	-7.767537100000001	-7.325686766666667	-9.438362	-9.717575833333333	-8.675879533333335	-9.187267666666665	-9.487084333333334	-9.291945666666669	-8.131958500000001	-8.906044	-9.516329333333333	-9.916886666666667	-9.436259333333332	-9.991767333333334	-6.192663166666667	-4.6826039	-4.871441833333333	-6.400813633333333	-9.1129835	-9.437055666666668	-8.643340333333335	-9.583678666666666
osa-miR156c_Mature	-9.119590500000001	-9.597375333333334	-9.528360000000001	-9.510886	-9.766948666666666	-8.906085333333333	-7.873576666666668	-7.900235166666666	-7.1152712	-7.547823999999999	-8.169707566666666	-7.821217666666667	-7.018608866666667	-7.856040166666666	-8.861622333333335	-8.9786509	-6.935962633333332	-8.390667666666667	-8.565725833333333	-7.2564561	-8.4764701	-8.706007333333332	-8.449081999999999	-7.793028	-7.3146505	-5.899237	-7.159511333333334	-8.166626766666667	-9.411833	-9.4515905	-9.457879666666669	-8.8373348	-9.218529333333334	-9.017251333333332	-7.766748566666666	-8.942656666666666	-9.445358666666666	-10.109977500000001	-9.759737666666666	-10.066138333333333	-5.9766113333333335	-4.4763454000000005	-4.674820700000001	-6.1066099	-7.4166375	-9.462638	-8.571333666666666	-9.015417333333334
osa-miR156d_Mature	-9.380676000000001	-9.749631	-9.167755	-9.505738666666668	-8.520985666666666	-9.629616	-8.781447666666667	-8.215170566666666	-7.2276793999999995	-7.735339566666666	-8.228149766666666	-7.252916866666666	-7.091246533333333	-8.132174833333332	-8.527749	-9.232954666666666	-9.143819666666667	-8.096047666666665	-7.650556433333333	-6.988500566666667	-7.705969433333334	-8.633356433333333	-7.3473733999999995	-7.914186133333334	-7.249259133333333	-6.4459273	-6.8753789	-8.471770333333334	-9.725548833333335	-9.158515666666666	-8.530822333333333	-8.960700333333333	-9.495240666666666	-9.301592999999999	-6.7322413999999995	-9.255951333333334	-8.7038901	-9.283216666666666	-9.751857333333332	-9.710116666666666	-6.372760666666667	-4.520441033333333	-4.888256266666667	-6.5280972	-8.0121342	-8.385361466666666	-8.690869166666667	-8.712057166666666
osa-miR156e_Mature	-9.360493	-9.868487666666667	-9.788867	-9.746167666666667	-8.511781466666667	-9.029353	-8.735869	-8.693597666666667	-7.405948166666666	-8.105048333333334	-8.377139666666666	-8.056878666666666	-7.2237466333333336	-8.062302	-9.017297000000001	-9.210731666666668	-9.070336166666666	-7.004944766666667	-7.615925666666667	-8.586312233333333	-7.090415	-8.268305	-8.570814833333333	-8.022914333333334	-7.490050566666667	-6.164747233333333	-7.496069433333333	-6.925334199999999	-9.669934666666668	-9.708823333333333	-9.070724999999998	-9.168627	-9.471731	-9.036574333333332	-8.083147566666666	-9.077950333333332	-9.346858333333335	-10.346302666666666	-9.986925166666666	-10.334461666666668	-6.433244666666667	-4.639549266666666	-4.796764366666667	-6.338130199999999	-8.006517100000002	-9.248518800000001	-9.213570666666667	-9.577697333333333
osa-miR156f_Mature	-9.406302	-9.951942666666666	-9.867872	-9.832151166666668	-10.051946833333334	-9.672812	-8.832889666666667	-8.271978333333331	-7.079273166666667	-7.318957666666666	-7.549756133333333	-7.172546166666667	-4.466460333333333	-7.558265333333334	-7.8295094	-9.277956333333334	-9.180918333333333	-6.425568766666667	-8.720621	-8.494925966666667	-8.446697333333333	-8.967139333333334	-8.188684	-7.722729333333334	-7.532720666666666	-6.117365733333334	-7.3198172	-8.526346666666667	-9.771211	-9.802686	-9.452164166666668	-9.230503333333333	-9.438265999999999	-9.334157833333334	-7.979658433333333	-9.305320333333334	-8.965753999999999	-9.853609666666665	-10.099499833333335	-9.899108	-6.152853333333334	-4.693610533333334	-5.0334128	-5.9729412	-8.937329	-9.654694666666666	-9.283884	-9.593062666666667
osa-miR156g_Mature	-8.79627	-9.941848833333333	-9.864709	-9.816115666666667	-9.80145	-9.046925833333333	-8.789321833333334	-7.676479333333333	-7.1557796666666675	-7.268026566666666	-8.286212433333333	-8.144393333333333	-7.364625766666667	-8.186115666666666	-9.321939333333333	-9.261711	-9.175904000000001	-8.522757166666667	-8.925192666666666	-8.1314475	-8.484629333333332	-8.922138666666667	-9.038241666666666	-7.901314166666666	-7.480045566666665	-6.3416152	-7.458964333333334	-8.503873	-9.768456333333333	-9.792094166666667	-9.795963	-8.869031166666668	-8.669285133333332	-9.323870999999999	-8.186233	-8.963818166666668	-9.806819333333332	-10.400568666666667	-10.065376333333333	-10.412923	-6.465832566666667	-4.621774066666666	-5.325202533333333	-6.242739066666666	-8.851435733333334	-9.020372433333334	-9.277733333333336	-9.667889999999998
osa-miR156h_Mature	-9.212502	-9.566285666666667	-9.746909	-8.864239233333334	-9.550461	-8.820572166666667	-8.740305666666666	-8.360379166666666	-7.498668100000001	-8.231477	-8.293546333333333	-8.0576389	-7.193097600000001	-8.062612333333332	-9.090190166666666	-9.204783333333333	-8.438641	-8.297477666666667	-8.057055333333333	-7.881256666666666	-8.2595941	-8.588886333333333	-8.852934833333334	-7.790144166666667	-7.343881066666667	-6.050777233333334	-7.5054226	-7.860892199999999	-9.652615333333335	-9.440109333333334	-9.154598	-9.166087166666665	-8.959708166666667	-8.641165	-8.068953500000001	-9.214863666666666	-9.735808333333333	-10.344236500000001	-9.987267666666668	-10.149218333333332	-6.304646000000001	-4.4297692	-4.857239566666667	-5.405302533333334	-8.217555299999999	-9.513223666666667	-9.191560666666666	-9.125964999999999
osa-miR156i_Mature	-9.2648035	-9.549169333333333	-9.678855833333335	-9.637633	-9.657748	-9.477730666666666	-8.590385666666668	-8.603913	-7.074474833333333	-8.086949833333334	-8.259717333333333	-7.9435218	-6.835693466666666	-7.941648766666667	-8.839367666666668	-9.113736833333334	-9.014891333333333	-8.112404	-8.716637666666665	-7.9982124	-8.782014533333333	-8.764865666666667	-9.034764	-7.862438533333332	-7.299096	-6.107227599999999	-7.661393133333334	-8.343743333333334	-9.552645	-9.598429333333334	-9.607628666666667	-9.062100166666667	-9.363862666666666	-9.180397	-7.952431133333332	-9.109624666666667	-9.627814666666666	-10.053414000000002	-9.888819666666667	-10.213302333333333	-6.327175233333333	-4.303820466666667	-4.757870666666666	-5.989579166666666	-8.861159333333333	-9.467194999999998	-9.1263685	-9.257227
osa-miR156k_Mature	-9.35781	-8.142232833333333	-7.158176533333333	-7.303065066666666	-4.690523566666666	-5.7390795	-6.825047499999999	-5.9048778	-5.505997466666667	-4.862822433333333	-3.2405893333333338	-3.116244	-3.4205393333333336	-3.6350299666666666	-7.877585	-8.4492015	-8.669876	-5.8689969333333325	-7.377132499999999	-6.674711666666667	-7.536808466666667	-8.442953433333335	-7.670982666666667	-6.385271899999999	-6.006538	-4.5877873	-6.234748066666666	-8.023303566666668	-8.063627333333335	-7.3727039	-6.237233000000001	-7.1566987666666675	-6.429609533333334	-6.761439499999999	-6.807703166666666	-7.643803666666667	-7.501051166666667	-9.003210233333332	-8.628811866666666	-8.019649666666668	-4.771597233333334	-3.6493351	-3.9673666666666665	-5.032847833333333	-5.9480125	-7.298084433333334	-6.879339233333333	-7.2083695
