probeName	Anther_0.3-0.6 mm	Anther_0.7-1.0 mm	Anther_1.2-1.5 mm	Anther_1.6-2.0 mm	Embryo_07 DAF	Embryo_10 DAF	Embryo_14 DAF	Embryo_28 DAF	Embryo_42 DAF	Endosperm_07 DAF	Endosperm_10 DAF	Endosperm_14 DAF	Endosperm_28 DAF	Endosperm_42 DAF	Inflorescence_0.6-1.0 mm	Inflorescence_3.0-4.0 mm	Inflorescence_5.0-10 mm	LeafBlade_125DAT_12:00	LeafBlade_125DAT_24:00	LeafBlade_27DAT_12:00	LeafBlade_27DAT_24:00	LeafBlade_76DAT_12:00	LeafBlade_76DAT_24:00	LeafSheath_27DAT_12:00	LeafSheath_27DAT_24:00	LeafSheath_76DAT_12:00	LeafSheath_76DAT_24:00	Lemma_1.5-2.0 mm floret	Lemma_4.0-5.0 mm floret	Lemma_7.0 mm floret	Ovary_01 DAF	Ovary_03 DAF	Ovary_05 DAF	Ovary_07 DAF	Palea_1.5-2.0 mm floret	Palea_4.0-5.0 mm floret	Palea_7.0 mm floret	Pistil_05-10 cm inflorescence	Pistil_10-14 cm inflorescence	Pistil_14-18 cm inflorescence	Root_27DAT_12:00	Root_27DAT_24:00	Root_76DAT_12:00	Root_76DAT_24:00	Stem_83DAT_12:00	Stem_83DAT_24:00	Stem_90DAT_12:00	Stem_90DAT_24:00
osa-miR156a	-7.815460825	-8.537947958333334	-8.914780358333333	-9.10620475	-9.823718333333334	-9.022876691666667	-8.161406175000002	-8.499055208333333	-6.989118716666667	-8.048483508333334	-7.9059968	-7.487641624999999	-7.132887966666666	-7.641837591666666	-8.883138416666668	-8.362211616666666	-8.398661375	-8.431360266666667	-8.544545933333334	-7.7797568833333335	-8.186629216666667	-8.378440750000001	-8.917566741666667	-8.57426425	-8.684080558333335	-5.9582553166666665	-7.902520425	-7.833325558333333	-8.357182241666667	-8.836977808333332	-8.566959841666666	-8.861069	-9.26394025	-8.631103208333334	-7.411888416666667	-8.171000241666666	-8.636894841666667	-8.370777541666667	-8.457895183333333	-8.772965083333332	-7.1604842	-6.073272416666666	-5.472256683333334	-6.5175784750000005	-8.986796583333332	-8.632117891666667	-8.898804208333333	-8.610304841666666
osa-miR156b	-8.2278322875	-8.722803108333332	-8.889562549999999	-9.260579925	-7.835665241666668	-7.869396883333334	-8.13159905	-7.986518791666668	-6.551847516666666	-8.177390858333334	-7.8277505000000005	-7.883900399999999	-6.9166456499999995	-8.034606166666666	-9.015385808333333	-8.780588458333334	-8.919664293333332	-7.979323333333332	-8.792327333333333	-7.923792083333335	-8.237174125000001	-8.167208108333334	-8.827140941666666	-8.408401866666667	-8.302893958333334	-6.2976144000000005	-8.053207725	-8.213383491666667	-8.6905055	-9.2028945	-8.286255075	-8.601973083333334	-9.074182583333334	-7.781466225	-7.595504258333334	-8.477893858333333	-9.376857666666666	-8.6781282	-8.218343475	-8.943315625	-5.708413683333333	-4.9359457	-4.070636825	-4.64981275	-8.612156416666666	-9.36362275	-8.717367791666668	-8.627284558333335
osa-miR156c	-6.3322110625	-7.829459774999999	-8.576405391666666	-7.917749499999999	-8.070440383333334	-8.1792564	-7.872112791666666	-7.836155416666666	-6.971509075	-7.68980685	-7.942315824999999	-7.545656275	-6.551822958333333	-7.325756758333333	-7.620289358333333	-8.479094633333332	-7.888580041666667	-7.606772066666667	-7.804333175000001	-6.776763433333333	-7.4181866833333325	-8.422788066666667	-8.000486641666667	-7.496645624999999	-7.351577966666667	-5.14868288	-7.158796625000001	-7.641909233333333	-7.846486133333333	-7.6286936333333335	-7.5691315999999995	-8.392517691666667	-7.904020916666667	-7.78928785	-7.3768153	-7.650778325	-8.413481341666666	-7.938769416666667	-7.531353125	-7.679350166666667	-5.714130816666667	-4.198922116666666	-4.576289775	-5.36632785	-7.856595549999999	-8.955601916666668	-8.595410508333334	-7.6321784500000005
osa-miR156d	-5.585477024999999	-5.988284508333334	-5.959730666666666	-5.968781641666666	-6.907954950000001	-6.890606308333333	-6.150672716666667	-3.9537119749999996	-3.918995725	-5.689986066666667	-5.571352141666666	-5.058673941666666	-4.442227916666667	-5.1277357666666665	-5.8667296916666665	-6.2364752	-5.87568105	-4.538628916666667	-4.553441633333334	-4.198542091666667	-4.910685401666666	-5.402442708333333	-4.9763398	-5.079247858333333	-5.279834066666667	-3.3782967083333335	-4.755160375	-5.257371916666666	-5.6011256	-5.969414225	-6.610201675	-5.816986975	-6.502081575000001	-6.286849566666667	-5.070720383333334	-5.511599291666667	-5.817346125	-5.532861266666667	-5.209548033333333	-5.169577908333334	-4.156149766666666	-3.876801533333333	-2.3179911	-2.9939498000000007	-6.008146366666666	-5.953293733333333	-5.2703382293333325	-5.551748091666666
osa-miR156e	-5.805033912500001	-4.79628755	-7.321139475	-7.488312691666667	-8.457843141666666	-8.631214091666665	-8.285477499999999	-7.683618750000001	-6.816833366666667	-7.943819433333334	-7.3355620749999995	-6.815241525	-5.908172116666667	-6.6711615	-6.948176091666666	-8.191827125	-8.042964125	-7.562407974999999	-7.302590625000001	-7.0838913	-7.409170616666667	-8.039062483333334	-7.217694900000001	-7.6793603500000005	-7.92097665	-5.827779633333333	-7.522858575	-7.496373158333333	-7.812165975	-8.406405366666666	-7.373886825	-7.612917125	-8.659157641666667	-8.211259716666667	-6.869508633333333	-7.618300266666666	-8.119964883333333	-7.0095253	-6.674280783333334	-6.588009741666667	-6.953922666666666	-6.330208841666667	-4.956924791666666	-5.66955285	-8.061362658333335	-8.481574833333333	-8.261141241666666	-8.308199508333333
osa-miR156f	-6.1597072625	-6.7434866	-7.481233108333332	-7.467723025000001	-8.713104600000001	-7.148752300000001	-7.127309208333333	-6.3719019333333335	-5.9393133916666665	-7.214387808333334	-7.672234791666667	-7.2953029916666665	-6.221900075000001	-7.568940883333333	-7.697198675	-8.072268633333332	-8.024425116666666	-7.553487241666667	-7.8115370749999995	-7.090792041666667	-7.309521983333333	-7.571784833333333	-8.167538608333333	-7.656999858333333	-7.131998225	-5.813182283333333	-6.8565977333333334	-6.904980466666667	-7.1622143	-7.7388766	-6.944507600000001	-7.521759675000001	-8.379959358333332	-7.882141691666667	-5.795618500000001	-7.161757083333334	-7.787904950000001	-7.105079875	-6.826008300000001	-7.138641633333333	-6.03288625	-5.025941158333333	-4.4239846	-5.405252458333334	-7.88903695	-8.17375635	-7.301419233333334	-7.5682065750000005
osa-miR156g	-6.664583325	-7.0728598583333335	-6.99029805	-7.857218383333333	-9.343447141666665	-8.376829200000001	-8.225312233333332	-7.962490825	-7.174571341666666	-7.999511816666668	-7.92003095	-7.9640993	-6.6260597	-8.015552425000001	-7.871137016666665	-8.885205749999999	-8.2504167	-8.2781508	-8.5958116	-7.607915375	-7.714423133333334	-8.209857466666667	-8.545310408333334	-8.481387208333333	-8.082793500000001	-6.182951783333333	-7.888134941666666	-7.245463266666666	-7.907956366666667	-8.589095316666667	-6.705073608333333	-8.450856783333334	-8.574587016666667	-8.31537605	-6.842342041666666	-7.8959111250000005	-8.994966400000001	-7.150203733333334	-7.01304665	-7.299833016666667	-6.3581296499999995	-5.0610901833333335	-5.0165402	-6.183096758333332	-8.421027216666667	-8.665738391666666	-8.424761158333332	-8.476824808333333
osa-miR156h	-3.23585725	-3.852555583333333	-4.08016385	-4.392533191666666	-5.021147325	-4.625802008333333	-4.076621741666667	-2.8915865000000003	-3.0667273833333333	-3.598301708333333	-3.5510624583333334	-3.662767	-2.8746136750000004	-3.5116962416666664	-3.8838044583333335	-4.398971758333334	-4.488755325	-4.262025175000001	-4.221422433333333	-3.7783726666666664	-4.022788233333333	-4.725745	-4.262020425	-4.581802799999999	-4.448254891666667	-2.5922916583333335	-3.5317687083333333	-3.4765923583333334	-4.138971808333333	-4.595633233333333	-4.4839888666666665	-4.333262008333333	-4.507885033333333	-4.290332675	-2.81514585	-3.879749625	-4.717677091666666	-3.9317843833333335	-3.5361427833333337	-3.3699664333333335	-4.352509041666667	-4.050710975	-2.7408937693333333	-3.208502641666666	-4.545081766666667	-4.657484525	-4.504006833333334	-4.394407583333333
osa-miR156i	-7.169603325000001	-6.171001716666667	-8.874223208333333	-8.497846008333333	-9.416873958333332	-9.102943208333334	-8.749762291666668	-7.9628864083333335	-7.411406333333333	-7.754480291666667	-7.410618666666667	-7.894663491666667	-6.701506858333333	-7.501213758333333	-8.529243191666666	-8.184092216666668	-8.071741058333334	-8.255282808333334	-8.274934400000001	-7.757097741666667	-8.6622275	-8.446332233333333	-8.336084241666667	-8.673954250000001	-8.846691316666666	-6.467517866666667	-7.6854445333333326	-8.360122458333334	-8.842178083333332	-9.241549791666667	-8.607640866666667	-8.524858758333332	-9.339425716666666	-9.023645208333335	-7.868892516666667	-8.42662215	-9.135372425	-7.900531458333333	-7.749509158333333	-7.979509983333333	-8.464311816666665	-7.5168486083333335	-5.728887191666668	-6.777641633333334	-9.442364833333334	-9.436379833333334	-9.180709	-8.953238383333334
osa-miR156k	-6.36959095	-6.304653241666667	-5.585728658333333	-6.781073316666666	-6.736268308333333	-6.7797335	-7.426480258333334	-6.894006958333333	-6.106230741666667	-6.374000816666666	-5.552089491666667	-5.442697091666666	-5.489065966666668	-5.646937016666667	-6.461451425	-6.641242533333333	-6.66018935	-7.120454858333333	-7.033093000000001	-6.046707616666667	-6.605637341666667	-7.4542007749999994	-7.391373266666666	-5.469488908333333	-5.104476916666666	-5.918395858333334	-6.808310941666666	-6.429435066666667	-5.9618009	-5.631329583333334	-6.586176583333334	-6.572614625	-6.144304116666667	-6.291329991666667	-6.112824125	-6.056470508333334	-6.168800216666667	-5.689168958333333	-5.942184658333333	-6.200408775	-4.859416666666667	-4.261215658333334	-4.318098425	-4.91579135	-6.1333205500000005	-5.5525037333333325	-5.253532741666667	-5.265903366666667
