ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632
osa-miR437	-8.649406	-9.1129985	-7.33879625	-9.4794395	-9.03676275	-7.58240365	-8.5632085	-9.118385	-8.3557525	-8.994926	-9.9439035	-8.438448	-7.954366	-9.0975215	-8.172635	-8.167008	-9.786254	-8.766661	-9.6741395	-8.6969935	-8.467788	-7.8139823	-7.558616	-9.452861	-6.70643825	-5.5834385	-6.7712765	-8.261461	-9.3467905	-6.62860835	-9.943415	-9.956167	-8.03975465	-9.70842725	-9.8978235	-8.7039945	-9.4020525	-9.7611045	-7.995182	-9.3776905	-9.871397	-8.693896
osa-miR169	-7.57354583	-7.41312372667	-7.32652185333	-8.58693857333	-8.46181086	-7.63768703667	-8.50526058333	-8.72637605	-8.29926585667	-8.85322213333	-9.60147741667	-8.42339418	-8.07977975	-8.88679234333	-8.08607568333	-8.1203321	-9.74518795667	-8.51059523	-9.28576838333	-8.55783748	-8.37079381	-8.19334641667	-8.04707362	-9.15433558	-6.83565937	-5.6166148	-6.62095999667	-8.82763156	-9.19573583333	-7.16048957	-10.0290230667	-9.61059026667	-7.73041829333	-9.35991566667	-9.76377913333	-8.78741246667	-9.10294276	-9.49083836667	-8.21518403333	-9.27013001667	-9.48267619333	-8.86293025
osa-miR168	-5.97869205	-4.7651645	-3.7961586	-6.1778842	-4.46664715	-3.55769705	-5.93570015	-3.998597	-4.02100465	-5.6467622	-3.17981865	-2.73639635	-6.7545468	-5.6189673	-5.4337245	-5.6307845	-5.62459715	-5.5022507	-3.4127007	-4.1595975	-3.90364005	-2.3789034	-2.8613873	-2.24488875	-4.21906	-5.220995	-4.0228958	-3.09277915	-2.26073265	-3.221863	-0.69440268	-2.5804	-2.01848505	-2.69952295	-0.217126845	-2.9934411	-3.24596545	-3.0560756	-3.4668305	-1.7278557	-2.27131605	-1.788053
osa-miR530	-7.6149755	-8.1818055	-7.56611685	-8.2563765	-9.2212265	-7.75912	-8.3437235	-8.303386	-7.982204	-9.0687685	-8.9788585	-8.339943	-7.5838755	-8.15415275	-8.227505	-6.8324535	-9.168772	-8.8449745	-8.095793	-7.38501855	-8.56492	-6.29970085	-6.6011286	-9.557525	-5.83996765	-5.32943575	-5.5412673	-7.6913495	-8.3047905	-5.7464905	-10.11205725	-8.318442	-7.372105	-9.8695445	-9.976255	-8.94450675	-9.490241	-9.811859	-8.33892425	-8.823658	-8.75904275	-8.92124525
osa-miR535	-6.9512434	-7.7388187	-6.357611	-7.2661528	-9.101041	-7.66367215	-8.5661765	-9.188495	-8.019676	-8.869933	-9.531648	-7.0166209	-7.9196095	-7.6338133	-6.70577315	-7.24171635	-8.76474335	-7.7855057	-7.5451615	-6.874893	-8.4013715	-6.3456804	-6.0249834	-9.401312	-5.68627875	-4.686955	-5.7385232	-7.4787619	-7.4832338	-6.8984973	-9.0475005	-7.5150159	-6.07048895	-9.61892325	-9.820008	-8.8159335	-9.383454	-9.587841	-8.236835	-8.19205615	-9.169247	-8.59985375
osa-miR160	-4.54335029167	-4.17244038333	-3.15205775833	-4.73935791667	-5.14467375	-3.91402835833	-5.61241354167	-4.677723925	-3.96250085	-6.08619658333	-5.53223131667	-4.61366009167	-5.74440905	-5.70470163333	-5.163572475	-5.56423208333	-5.94555613333	-5.13540405	-5.05233349167	-4.428615	-4.56782139167	-5.033089475	-5.41964484167	-4.80675805	-5.90045806667	-5.682689	-6.26652254167	-6.00562820833	-5.4244637	-6.74122123333	-3.81526103333	-3.96097845833	-3.50775966667	-4.87576620833	-3.86865415833	-4.47218555833	-5.74940009167	-5.67451248333	-3.26004503333	-4.01089415	-5.2318967	-5.06153073333
osa-miR162	-7.5925484	-8.586099625	-7.433461725	-8.8330275	-8.980057875	-7.6034299	-7.5737018	-8.91410825	-8.121196	-8.760431125	-9.7744345	-8.53543775	-8.06126325	-8.80098775	-6.58006495	-8.24759725	-9.128084675	-8.7287625	-9.26751475	-9.2482315	-8.218815575	-8.9380851	-8.71260525	-9.339922	-6.80937195	-5.68839505	-6.861565675	-9.07784075	-9.15524125	-7.216233475	-9.3318554	-8.934913625	-8.13896925	-9.635897875	-9.463639625	-8.80982025	-8.71151075	-9.43035275	-8.130442325	-8.415865	-8.545765875	-8.64600775
osa-miR164	-8.11352526667	-8.00025671667	-7.06636250833	-9.31445208333	-9.05291233333	-7.6045763	-8.32318105	-9.00174816667	-8.47725608333	-8.49405028333	-8.71400008333	-8.09983156667	-8.05401719167	-8.651081125	-8.02207566667	-7.49703411667	-9.0081655	-8.052041625	-8.354307125	-7.42788445	-8.48398358333	-6.6750312	-6.86107773333	-9.38531175	-6.451614775	-5.605261475	-6.87073974167	-7.96313151667	-8.30154000833	-6.989419325	-10.031637125	-8.70148015	-7.69479953333	-9.51420604167	-9.40452678333	-8.60219360833	-9.28569516667	-9.48620566667	-8.26341083333	-8.47361991667	-9.41980941667	-8.692197225
osa-miR167	-8.572064015	-9.068511915	-7.51521063	-9.285230645	-8.9441152	-7.74164213	-8.529003655	-9.0229248	-8.5210048	-8.467417995	-9.8794726	-8.42459812	-8.147976425	-9.20335925	-7.861438875	-8.299055275	-9.924674675	-8.744480975	-9.715943825	-9.789332025	-8.3673309	-9.49150275	-9.670213725	-9.372099325	-6.67947987	-5.702926925	-6.665592835	-9.0854793	-9.473781275	-7.37931754	-10.079639225	-10.0559968	-8.22151941	-9.4766672	-9.58447866	-8.864539075	-9.382699325	-9.63673825	-8.28176764	-9.410674075	-10.025702775	-8.63798349
osa-miR166	-6.50956586667	-6.3655239625	-5.60283699583	-6.54342920833	-6.39092751667	-5.43189684583	-7.05384098333	-6.87910121667	-6.9066241625	-7.8476101125	-7.32832620833	-5.74271789583	-6.9268180375	-7.159638875	-6.27801510833	-6.8771719875	-7.69109413333	-6.49800475417	-6.38356819583	-6.7110980125	-6.71863578333	-5.78627932083	-5.73514120833	-5.53675523333	-5.72063974167	-5.4629249375	-6.0425889875	-6.4149434125	-6.89553015	-5.8416175	-5.62598858333	-6.7214108375	-6.16927635	-7.22548697083	-5.71154831667	-6.71362314167	-7.78062394167	-7.77464688333	-6.5972027375	-5.4423725125	-7.16409914583	-7.21146196667
