ID	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641
osa-miR171h	-8.897205	-9.65900325	-8.136821	-9.732145	-8.454707325	-8.0586334	-8.42410785	-10.2793045	-7.17648155
osa-miR171i	-6.618576125	-6.46372645	-5.572274525	-7.102427175	-6.900933625	-5.890866175	-5.293160425	-5.3790234	-5.041602225
osa-miR441b	-5.109298475	-5.382284475	-4.529180175	-5.70283235	-5.62155925	-4.71034275	-5.312351125	-6.035144425	-4.800350975
osa-miR171a	-7.79304375	-8.47688885	-8.03234665	-8.2601927	-8.465958325	-7.841915925	-8.184047625	-8.374151375	-7.87146765
osa-miR171b	-6.631445	-6.097950025	-6.74989075	-5.9623519	-6.355396575	-6.13844225	-6.350787275	-5.5358766	-6.956083
osa-miR171c	-5.286794025	-4.8910443	-5.03523975	-4.48609935	-4.7722399	-4.46382935	-4.803325875	-4.055414175	-5.271783825
osa-miR171d	-2.93820025	-2.616974825	-2.52597665	-3.725693625	-3.8602104	-3.565708275	-3.925796	-3.4598744	-3.800507425
osa-miR171e	-4.99825925	-4.0837472	-3.98002795	-5.03857435	-5.759718575	-4.918700975	-5.52315325	-4.711435825	-5.686859375
osa-miR171f	-8.990475	-8.46357635	-8.2101575	-9.146988375	-9.415035	-7.8450381	-8.75998425	-9.195876625	-6.95014
osa-miR171g	-8.00183475	-9.2643985	-8.159384	-9.09973575	-8.721019075	-7.982983325	-8.232877875	-9.0964705	-7.72769225
osa-miR442	-7.00607575	-7.276955	-6.333975525	-8.5791018	-8.17765755	-6.562492825	-7.830814525	-8.660769675	-6.9698735
osa-miR166d	-6.32118715	-5.052378725	-5.275165925	-6.1370194	-6.4519487	-6.1415152	-5.950492675	-5.637233975	-6.46475525
osa-miR166e	-5.31899775	-4.65618425	-4.5844487	-5.291238925	-5.21546715	-4.958742875	-4.502482375	-4.572770575	-5.25534075
osa-miR166f	-6.4363057	-6.539667725	-6.136574325	-6.7698726	-6.97088105	-6.483016675	-6.345334275	-6.702540775	-6.747338625
osa-miR166g	-7.349093325	-7.19514965	-6.7379805	-7.46394225	-7.9341366	-7.1421255	-6.590616325	-6.6819495	-7.15858975
osa-miR166a	-2.6888807	-2.157849325	-1.8708675	-2.961296275	-3.1173732	-2.5425074	-3.1173041	-2.748202075	-3.33404895
osa-miR166b	-5.7768594	-4.582948575	-4.773613325	-5.2953504	-5.734081475	-5.691070325	-5.28486835	-4.850745	-5.989161875
osa-miR166c	-7.4611945	-5.796595575	-6.19719135	-6.60600975	-6.725973775	-6.63513375	-6.80008625	-6.384191875	-6.35081915
osa-miR166l	-5.552515775	-4.7492009	-4.746502675	-5.775392225	-6.16905795	-5.9008429	-5.120218525	-5.05645215	-5.678530275
osa-miR166m	-4.6605694	-4.351367825	-4.247341275	-4.822053025	-5.20809165	-4.5751713	-5.151226075	-4.57466995	-4.9596052
