probeName	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641
LOC_Os03g38210.1	-8.955015	-8.534919	-7.7675586	-9.268696	-8.9898615	-7.7181654	-7.8171854	-7.863567	-7.63365
LOC_Os04g58730.1	0.07609844	0.17287922	1.0190353	0.54998016	1.4525518	1.6047258	1.3951616	1.7001143	3.1876135
LOC_Os12g15680.1	-9.111642	-9.542173	-7.8797493	-7.8463364	-9.192583	-7.8141465	-8.462168	-8.234322	-7.767991
LOC_Os03g52840.3	1.5256596	1.574481	1.7420912	1.7512207	1.8984003	1.8516092	1.7625179	1.7938442	1.7429771
LOC_Os06g28840.1	-1.9373541	-1.7349701	-2.032607	-1.744978	-1.8015375	-1.8278685	-1.8914776	-1.5429993	-1.7527285
LOC_Os02g03750.1	-7.594636	-9.063706	-7.882353	-7.2161384	-6.6174717	-6.968142	-6.537062	-7.0953913	-7.767019
LOC_Os07g47100.2	-0.07020664	-0.19570732	-0.1784563	0.81404686	0.87212086	0.551486	0.87422276	1.1329031	1.020298
LOC_Os02g05670.1	-9.310625	-8.983536	-4.4352846	-9.589895	-9.323035	-7.9178057	-8.591742	-10.183978	-7.867248
LOC_Os09g07320.2	-8.135872	-8.31283	-7.849027	-8.230223	-8.100262	-7.057805	-8.307748	-7.4847336	-6.804462
LOC_Os04g25740.1	-6.2581997	-5.761926	-5.418441	-6.7859426	-6.7567596	-4.883038	-6.3134837	-6.6686444	-5.004087
LOC_Os07g33630.1	2.6218758	2.3843632	2.167242	2.3751307	2.2307634	2.2351942	2.1037455	2.215578	2.1774368
LOC_Os05g12400.1	-9.018047	-9.355502	-6.059978	-9.377158	-8.993199	-6.90253	-8.328906	-9.918549	-7.6185827
LOC_Os04g58070.1	-8.903945	-8.879123	-7.952759	-9.519609	-9.291549	-5.89636	-8.538011	-8.481156	-7.8292603
LOC_Os04g35560.2	-5.2512546	-4.3655963	-5.5880113	-4.8060813	-4.6460285	-3.6463957	-5.067657	-5.2175317	-3.8824048
LOC_Os04g39430.2	2.8596725	2.9986982	3.217414	2.0138178	1.7995558	1.9731998	1.9185104	1.9396877	0.6779947
LOC_Os12g08760.1	-3.9891844	-3.1511784	-5.818643	-4.899337	-4.7604876	-5.5705132	-3.8966942	-4.198238	-3.8658257
LOC_Os08g29200.1	1.2213039	1.6498652	1.2471266	2.2741022	2.0870752	2.120181	2.424489	2.5980387	2.1855764
LOC_Os08g39890.1	4.8242292	5.169035	5.607544	2.9061232	3.2030735	3.4884548	2.3134632	2.8273458	3.5258894
LOC_Os12g02660.5	-9.290781	-7.666903	-8.008064	-8.084308	-8.731095	-7.9406557	-8.227004	-8.2134495	-6.290317
LOC_Os01g42520.1	-0.084246635	-0.13885307	-0.16378593	0.17827988	0.2629032	0.5610008	0.6270418	0.38498497	1.0899506
LOC_Os09g33930.5	2.658865	2.6555176	2.6808348	2.6290493	2.5355444	2.4467545	2.5821667	2.5592737	2.3547325
LOC_Os05g05800.1	-0.61663246	-0.5095606	-0.12340927	-0.7474642	-1.0505848	-0.20453548	-1.3760204	-0.6588526	-0.26536655
LOC_Os03g31679.1	-1.8454638	-1.2593927	-1.5053911	-1.3834171	-1.4378242	-1.4851503	-1.2552071	-1.2421303	-1.3413239
LOC_Os06g50146.1	-1.6120853	-1.5664282	-1.5984354	-1.4199667	-1.274169	-1.2893171	-1.4770641	-1.3337517	-1.4121895
LOC_Os02g13420.1	-5.835872	-5.523041	-4.55484	-7.915467	-8.071239	-6.817675	-7.020147	-6.791108	-7.8439074
LOC_Os03g63950.2	-2.388135	-3.2367182	-1.732934	-2.7086163	-2.3837242	-1.6417685	-2.3330917	-2.4435873	-1.174304
LOC_Os03g58920.2	-0.74773693	-0.87016106	-0.85809135	-0.63700867	-0.37301254	-0.8461647	-0.87779236	-0.6429148	-0.70527554
LOC_Os06g40450.3	0.6247301	0.46483517	0.14928341	0.8951025	0.3401184	0.54947853	0.35300732	1.0501595	0.7074995
LOC_Os11g14570.4	-5.7868614	-6.430317	-5.3683276	-6.6847463	-6.1491294	-5.764805	-6.0593724	-6.962666	-6.001183
LOC_Os04g58910.1	-1.201952	-1.898098	-2.0378227	-1.413847	-1.8895941	-1.7137079	-1.7356386	-1.1693611	-1.3543148
LOC_Os03g28310.1	-2.4997463	-2.1765728	-2.6891747	-1.9760113	-2.5728722	-2.7628546	-2.8905134	-2.0417557	-2.415862
LOC_Os07g07910.1	-9.0597105	-9.540315	-5.38003	-9.482409	-9.162603	-7.8112497	-8.454997	-9.862232	-7.73732
LOC_Os08g19114.1	-3.2057142	-3.3665047	-3.2850695	-3.1773233	-3.2731304	-3.136858	-3.5144386	-3.559719	-3.3072767
LOC_Os07g43990.1	0.55260086	0.16043568	0.2860117	0.40538502	0.31001663	0.41337872	0.43664265	0.2768469	0.6630783
LOC_Os02g53620.1	-6.5519886	-5.891296	-5.714209	-7.309556	-7.0543003	-6.6715994	-6.5884485	-6.9396753	-7.859316
LOC_Os01g63200.1	-9.102268	-9.5793705	-7.9245663	-9.510893	-9.212259	-7.839835	-8.487386	-10.070973	-7.7699213
LOC_Os08g03579.1	2.249034	2.4608088	2.3308897	2.0730944	1.8465834	1.8962612	1.9682169	2.1322098	1.7341719
LOC_Os07g30970.2	1.2613039	1.5293064	0.80709743	0.7943039	0.5789223	0.70549583	0.3653412	0.9058943	0.5394783
LOC_Os01g57630.1	-1.170413	-1.0764532	-0.75720215	-1.3673754	-1.3116798	-1.3040991	-1.3335657	-1.3266449	-1.3694334
LOC_Os03g48180.2	-4.276868	-4.1156554	-4.3086166	-3.0482435	-2.9670324	-3.0179644	-2.9318027	-2.967373	-3.118021
LOC_Os08g36840.1	-2.058772	-1.9414825	-1.540411	-1.6115952	-1.3830585	-1.458724	-1.5481167	-1.5366478	-1.2118807
LOC_Os05g14170.1	1.0166817	0.7931385	0.6453924	0.7454939	0.5441761	0.5030422	0.6152363	0.7992821	0.57448006
LOC_Os05g30220.1	-2.6172876	-2.4910078	-2.4373474	-2.5773191	-2.8375015	-2.74432	-2.7799864	-2.903306	-3.297966
LOC_Os12g16290.1	-0.53094673	-0.51521873	-0.355031	-0.64703846	-0.47249126	-0.49098778	-0.8930845	-0.93689823	-0.89939976
LOC_Os06g40330.1	-1.3774309	-1.027545	-1.1540947	-1.360034	-1.8030281	-1.7525024	-1.4715261	-1.3457451	-1.7304077
LOC_Os06g51310.2	3.8177347	3.6492338	3.658183	3.749486	3.651414	3.7084713	4.00033	3.9763107	3.8499966
LOC_Os06g23650.1	2.0520897	2.2995415	2.2660704	1.6734095	1.4253855	1.7457495	0.32380772	1.0747786	0.52270126
LOC_Os08g33488.1	-9.222291	-8.781221	-7.999769	-9.574554	-9.32354	-7.914559	-8.562981	-10.153397	-7.842032
LOC_Os05g48800.1	1.1147346	0.8417406	1.4671774	0.9115381	1.2991934	1.4579535	1.4088659	1.0889444	1.8104496
LOC_Os05g14010.1	-5.437337	-6.116728	-5.810043	-6.290548	-6.020858	-6.2530136	-5.9307194	-5.867342	-6.8132234
LOC_Os01g06740.1	-2.3163986	-2.0014038	-1.2901611	-2.1784782	-2.1831245	-1.6093359	-2.7240582	-2.2276459	-1.7821455
LOC_Os07g47580.3	0.24054623	0.6281738	0.47574615	0.23087978	0.02943325	-0.0625658	-0.033566475	0.07314682	-0.18307781
LOC_Os04g30410.1	3.449112	3.5618753	3.563939	2.9835424	3.2064095	2.9419708	2.959571	2.6684923	2.1482992
LOC_Os05g38390.1	-4.6839027	-4.1090946	-4.4567156	-4.5183024	-5.42564	-4.418082	-5.3648577	-4.5517764	-4.530551
LOC_Os08g37700.3	-5.320005	-5.2656965	-5.39762	-5.3754873	-5.1957474	-5.15464	-5.11362	-4.9073644	-4.806395
LOC_Os08g41080.1	-9.136015	-8.808347	-7.990939	-9.566174	-9.299365	-7.900994	-8.550077	-10.136137	-7.8272414
LOC_Os02g54000.1	-1.7563019	-1.8530264	-2.0168743	-1.9293375	-2.2176256	-1.9928303	-2.2871609	-1.804965	-1.931035
LOC_Os04g32460.2	4.4964304	4.75671	4.940096	4.633559	4.5513563	4.7542152	4.451103	4.641137	5.0480576
LOC_Os02g58480.1	-9.197027	-9.6555395	-7.9992027	-9.5726	-9.306114	-7.907387	-8.55684	-10.141514	-7.8321977
LOC_Os06g46670.2	-1.049201	-0.88658714	-1.0575333	-1.0463734	-1.2502365	-1.2100945	-1.3030376	-0.9021578	-1.2440844
LOC_Os01g69830.1	-0.35599327	-0.70475674	-0.83583355	-1.1908302	-1.3468275	-1.1200123	-1.181591	-0.933692	-1.0134277
LOC_Os02g13270.1	0.96894455	0.92869663	1.2102098	0.57731724	0.78890514	0.87534904	0.9565201	0.41344643	0.51935196
