ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602
osa-miR171h	-8.53739375	-8.746668375	-7.470425575	-8.4610861	-9.1046765	-7.710260075	-9.34923775	-9.6164405	-8.365481	-9.24051675	-8.8724045	-8.98835575
osa-miR171i	-8.75568925	-8.38532515	-7.58362875	-9.746769	-9.1835855	-7.787704975	-6.8102703	-8.01721225	-8.615538	-8.252702675	-8.155130075	-8.714351125
osa-miR441b	-3.6582164	-4.183355095	-2.4248893	-5.198367113	-4.902252375	-3.911839958	-5.412170625	-5.390843225	-4.727514275	-5.694888125	-5.008230475	-5.450086625
osa-miR171a	-8.02760225	-8.64411125	-6.79866795	-8.855017	-8.596458925	-7.405321125	-8.48460045	-8.58532825	-8.44865925	-7.980768175	-7.519925275	-8.8098893
osa-miR171b	-7.4069992	-8.218956175	-6.96308705	-8.677604625	-8.529569125	-7.266952225	-8.111654	-8.609275575	-8.050358875	-7.651134175	-6.911050525	-7.765330225
osa-miR171c	-8.023508775	-7.9717451	-7.52206455	-8.824102875	-8.757426	-7.36522125	-6.970149375	-7.106869825	-6.704934425	-6.80169965	-6.01268125	-6.1613479
osa-miR171d	-8.771145875	-8.780771875	-7.334531925	-9.042332875	-9.22404125	-6.7747909	-6.581441625	-7.469578375	-6.03485	-6.7114056	-5.797841875	-5.5739235
osa-miR171e	-8.41259775	-8.7839277	-7.45200545	-8.937706	-8.458978075	-7.68176595	-8.13573555	-8.89946325	-7.69546925	-7.80729005	-7.638801325	-4.2777739
osa-miR171f	-8.443324375	-8.6211354	-7.49618275	-9.67961425	-8.8668371	-7.746512	-6.325329325	-5.3659846	-6.3051429	-6.57235495	-6.5745425	-6.421056875
osa-miR171g	-8.193169675	-8.59543975	-7.49142145	-9.34917125	-9.175877	-7.723696525	-8.758712125	-9.0688811	-8.49163175	-8.573428625	-8.63721975	-9.488005
osa-miR442	-6.0646043	-6.69637595	-5.147146575	-5.847422175	-6.251644825	-5.10049165	-8.045367425	-7.98095505	-6.924785325	-7.5463136	-6.7981486	-7.369288
osa-miR166d	-8.002131	-7.43402595	-6.68250275	-8.33935325	-7.50524295	-6.38193175	-7.31615005	-7.717495625	-7.9106206	-6.2593808	-6.188329	-7.018267
osa-miR166e	-8.5671715	-8.01011925	-6.952256875	-8.2784022	-7.3445605	-6.454363575	-7.039062325	-8.24313185	-8.038755925	-6.703605925	-6.3545313	-5.937069775
osa-miR166f	-8.58363625	-7.865439	-7.121965325	-8.324274025	-7.547121975	-6.818565925	-7.998434475	-7.854944875	-8.236511125	-7.102705125	-7.229570625	-7.345285475
osa-miR166g	-8.7161025	-8.997506125	-6.447554325	-9.589829	-9.268115	-7.8052109	-6.02348865	-7.92139475	-6.208274725	-5.98031285	-5.372219975	-5.608285575
osa-miR166a	-6.623948375	-6.302569225	-6.17355265	-7.400444675	-6.92929825	-6.29649895	-5.05948075	-5.9736091	-6.15915125	-4.0723098	-4.177507875	-3.8928014
osa-miR166b	-7.676277925	-7.226026575	-6.84779015	-8.33565695	-7.786486625	-6.996216625	-6.8982007	-7.551007675	-7.8314679	-6.3909728	-6.21339805	-6.71538025
osa-miR166c	-6.846137	-7.076012775	-6.1294766	-7.570753375	-7.20691985	-6.565746125	-6.896089425	-6.60697785	-7.1136583	-6.17008245	-5.777303175	-6.3382131
osa-miR166l	-8.39773805	-8.340447125	-7.482950225	-7.83993525	-8.59237815	-7.687909175	-7.065086125	-7.434756875	-8.2917125	-5.989341	-5.930786525	-6.02481375
osa-miR166m	-6.17251435	-6.6233267	-5.725778175	-7.419336075	-7.123737475	-6.2435954	-5.972657825	-7.040314925	-5.830032775	-6.0271529	-5.983379	-5.182237125
osa-miR166n	-6.075610025	-5.58023155	-5.622364525	-7.0360795	-6.817786375	-5.74587175	-6.387448125	-6.5943956	-7.152525075	-6.282227775	-6.136194825	-6.2102016
osa-miR166h	-8.144514375	-7.72215925	-6.88280655	-8.478672375	-7.983424875	-6.62587925	-7.7755212	-7.9778795	-7.660370425	-7.403323425	-7.20952675	-8.00502115
osa-miR166i	-8.59380075	-8.26196575	-7.56306435	-9.37977125	-9.166943	-6.96728695	-8.3732205	-8.7627521	-8.402366275	-8.0873859	-7.669351575	-8.3051286
osa-miR166k	-8.691999	-8.67240625	-7.4284814	-9.3818525	-9.043409375	-7.503605075	-8.5144465	-8.68794425	-8.47545875	-7.736099575	-7.3142844	-8.6058655
osa-miR396d	-5.760460175	-5.527564875	-4.593023125	-6.340537	-6.34573315	-5.78825455	-4.6495569	-6.065234675	-4.574397325	-5.36522795	-4.72281715	-4.619332475
osa-miR396a	-8.863866	-9.325067625	-7.5546738	-9.70510775	-9.13123175	-7.7760309	-9.8190475	-9.638532	-8.546254	-8.6594625	-8.949684775	-9.20829075
osa-miR396c	-7.9289829	-8.32368285	-7.021779	-7.4884236	-8.86348475	-7.201128975	-2.24387195	-3.814483075	-3.78752415	-2.390900375	-3.000790375	-2.8225143
osa-miR396b	-8.752409125	-9.058558125	-7.3454481	-9.61997775	-8.39039	-7.759033	-9.78668775	-9.765945375	-8.3772265	-9.40547725	-9.3197225	-9.376796875
osa-miR395u	-7.938932075	-9.08810125	-7.456419825	-9.49313475	-9.000103	-7.68602305	-9.267470875	-8.90361775	-8.40023975	-8.488362375	-8.619735425	-9.36009125
osa-miR445a	-8.73193075	-9.26049075	-7.532252125	-9.635325	-9.172059	-7.7327812	-9.6214375	-9.543092125	-8.5193755	-9.36439775	-9.6649265	-8.057981125
osa-miR445d	-8.8412725	-9.20663925	-7.577255125	-9.730529	-9.25325225	-7.715000925	-9.6052715	-9.554642	-8.5096695	-8.8665205	-8.350984575	-8.8753255
osa-miR408	-3.481058175	-3.74841485	-2.977220808	-3.78130095	-4.3540945	-2.961542249	-3.78568836	-3.348722458	-3.954527558	-3.060617458	-2.874637425	-3.9889728
osa-miR438	-7.821178	-9.22649225	-7.49121375	-9.61516025	-9.15192275	-7.728241925	-8.5438049	-9.56074025	-8.5117235	-9.456417	-9.726822	-9.50422725
osa-miR439f	-8.73120875	-7.4628658	-7.517036675	-9.483166875	-8.92869025	-7.737706625	-9.80782525	-9.794305375	-8.541646	-9.495764875	-9.85138725	-9.5218535
osa-miR437	-8.745803	-9.07977325	-7.553451675	-9.6656305	-9.19424725	-7.75584125	-9.819790875	-9.4322965	-8.49889325	-9.35746275	-9.12241395	-9.477786875
osa-miR399d	-3.03585735	-1.697281115	-1.4276261	-4.13128375	-3.77964745	-2.32720055	-5.189544575	-4.441900875	-5.49860615	-6.175404575	-5.839096425	-6.317900175
osa-miR156k	-6.157576625	-6.321520975	-5.66102525	-6.605671525	-7.043214725	-6.168025775	-5.184810475	-5.71799225	-5.505664	-5.354157775	-4.701347875	-5.2579251
osa-miR399f	-7.68093825	-5.92343915	-5.7776871	-9.00148525	-8.65215325	-6.497637925	-8.41570725	-8.017985625	-8.450997875	-8.62244215	-8.7890622	-8.993422125
osa-miR399g	-8.631286125	-8.490857775	-6.8730574	-8.10001975	-9.071517	-7.59973055	-8.638501425	-8.08551145	-8.49589525	-7.60844015	-8.032637425	-9.48999925
osa-miR399a	-7.216886175	-7.05492895	-6.558236725	-9.3296385	-8.010449675	-7.70285975	-8.2359131	-7.1714428	-8.45499925	-7.52595995	-7.215336025	-9.43857575
osa-miR399b	-7.289728075	-6.86383705	-6.481711075	-8.73817875	-8.866445	-7.2549286	-8.380949825	-7.546042525	-8.38937425	-7.38603275	-7.098939075	-9.121491
osa-miR399c	-5.239951825	-4.45338425	-4.31587545	-7.51665775	-7.9287077	-5.999155475	-8.37390075	-7.599001425	-7.558654925	-7.5376465	-7.534548825	-8.677498625
osa-miR399h	-7.159312625	-8.0807651	-6.307661325	-7.44355165	-8.4316506	-7.279013925	-8.546573125	-7.94111795	-8.20123155	-7.422671725	-7.2668076	-9.018473
osa-miR399i	-4.6352224	-4.1328841	-3.679291875	-6.4809462	-6.6663575	-4.530839925	-6.09311	-4.524962875	-5.832431825	-5.297953975	-5.717042125	-6.5379701
osa-miR399j	-2.50943565	-1.01967265	-0.959600445	-3.93889635	-3.068409325	-1.312485213	-4.32309735	-3.92722645	-4.30653225	-5.044718375	-5.0046197	-4.5851423
osa-miR399k	-5.7682778	-5.030168225	-4.614451425	-8.428297625	-8.525752175	-6.315644025	-8.1218771	-8.6910469	-8.013201325	-8.53225665	-8.64597035	-9.52783425
osa-miR535	-6.762749675	-6.4876668	-6.3088959	-6.209915325	-5.981123825	-5.573476675	-7.339391675	-7.05002305	-5.85817575	-7.0804854	-7.0384071	-7.428056
