probeName	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632
LOC_Os03g38210.1	-8.265265	-7.7005453	-7.235401	-7.6938763	-7.1762705	-7.557584	-8.264055	-8.458514	-8.200002	-6.770207	-5.8068385	-5.3719597	-7.768592	-8.8178	-6.7469187	-6.652843	-6.942737	-6.8902793	-7.483338	-6.791357	-5.6771216	-5.6130486	-6.0413375	-7.718102	-6.4635525	-5.374048	-6.5030794	-3.1537876	-4.6873417	-3.9331264	-6.8286204	-7.12718	-7.795972	-5.3816514	-7.0459847	-5.457497	-6.8172956	-6.9827952	-6.0408115	-3.0010128	-4.238758	-3.7677217
LOC_Os04g58730.1	4.252927	4.1833973	4.062113	4.618354	4.843315	4.783247	3.3892717	3.888195	3.7759686	3.7033272	3.9361992	3.6051168	2.8327532	3.4544182	3.2457361	3.793233	4.108802	3.8253403	2.1473894	2.2031784	1.981329	2.4205675	2.6901321	2.3939114	2.128911	1.710495	1.8516922	2.4482288	3.0060244	2.1800823	0.34087086	0.32560062	0.056663513	1.3431845	0.8578291	1.5785742	2.0335197	1.8717957	2.0342636	2.4061117	2.3689203	2.090023
LOC_Os12g15680.1	-8.452056	-8.079865	-7.320594	-9.292377	-8.890413	-7.608819	-8.314143	-6.5842557	-7.3784847	-7.23901	-7.1709175	-5.6900296	-4.874661	-5.4812646	-6.9143934	-3.180963	-3.3581753	-2.2646112	-4.4159036	-2.0364838	-3.7308073	-2.0605192	-1.5305691	-4.1596828	-3.4151368	-3.3888032	-4.6440063	-3.1138606	-3.5874248	-4.401892	-8.106095	-9.1863	-7.8066874	-7.646306	-9.699532	-8.151327	-8.563604	-7.77143	-7.103533	-6.374481	-9.282764	-8.208282
LOC_Os03g52840.3	6.3095665	6.3582754	6.8324223	5.9141626	5.9483356	6.6083937	5.019681	5.9783792	6.522872	5.0568666	5.75488	6.088314	5.6535053	5.960615	6.0210094	5.4444733	5.603817	5.2922163	4.335804	4.7322006	4.633005	3.456046	3.8192463	3.8704653	4.9660597	4.485902	4.397954	4.2884035	5.184477	4.2970963	2.423378	3.581853	3.0808372	3.9492102	3.437522	4.877863	4.853446	4.9719496	4.506364	3.8353662	5.0176888	4.9737215
LOC_Os06g28840.1	-0.076488495	-0.69298935	-0.96321964	-0.30252457	-0.79974365	-0.7981615	-0.71194553	-0.69549084	-0.95259094	-0.16906929	-0.69373417	-1.2409611	-1.1024313	-1.1638126	-1.5616474	-0.4493513	-0.28571892	-0.29941368	-2.8341713	-3.0213966	-2.2426386	-2.2784796	-1.7012615	-1.8726406	-2.0650434	-2.5391254	-2.7490063	-1.3727541	-0.89327145	-1.2415056	-2.303811	-2.5765476	-2.6054287	-1.1333342	-2.059001	-1.9490709	-3.601447	-3.3277636	-3.8750877	-2.3908072	-2.2290068	-2.085764
LOC_Os02g03750.1	-8.362658	-8.945957	-7.319215	-7.1356325	-8.140421	-7.6078424	-7.2417045	-8.029447	-8.268683	-7.908231	-7.364325	-7.3985996	-7.9156322	-8.971865	-8.023904	-8.128984	-8.936262	-8.5665455	-6.511972	-9.455141	-6.918212	-7.916499	-5.6934586	-5.6530595	-6.6312566	-5.533482	-6.6697044	-8.87189	-9.160781	-7.096222	-5.5680895	-4.2993913	-3.7361412	-4.005321	-3.3736038	-6.946053	-3.5184574	-3.3674545	-4.995855	-5.671556	-3.6119862	-3.909317
LOC_Os07g47100.2	-2.295186	-2.6259975	-2.0077868	-1.9054079	-2.256281	-1.6512623	-1.1462564	-1.8216496	-1.583003	-1.710371	-1.887558	-1.3585968	-2.6336517	-2.4044142	-2.415474	-2.6776705	-2.378703	-1.4570446	-0.09279728	-0.7232933	-0.64493084	0.12046242	-0.024606705	-0.12228298	-1.1458097	-1.8163371	-1.8041415	-2.4622078	-2.5214586	-1.5612969	1.8195143	1.7480612	1.8266592	-0.45523262	0.716074	-0.16228676	-0.16461945	-0.11680794	0.6677675	0.17888927	-1.0293455	-0.8062935
LOC_Os02g05670.1	-8.318809	-9.041943	-7.403451	-8.6641	-8.997978	-7.6201105	-8.248279	-9.081523	-7.552327	-8.663603	-9.1713	-7.0034547	-8.0368595	-8.560154	-7.8844366	-8.248982	-8.782763	-8.469326	-8.088178	-6.5207243	-8.194368	-5.9797816	-5.9738	-9.184589	-6.7437353	-5.6190047	-6.8013363	-7.8396482	-8.4708605	-7.1821537	-9.947683	-9.950624	-8.0693865	-8.783153	-9.628254	-7.3019977	-7.86966	-7.666105	-8.184249	-7.975337	-3.7217045	-6.9141216
LOC_Os09g07320.2	-6.4637194	-7.0859823	-6.5034037	-5.529607	-6.7839837	-7.163253	-5.7215233	-6.360834	-5.993546	-5.4990306	-6.032042	-8.380039	-4.8884864	-5.5776815	-5.317563	-5.6537313	-5.325329	-4.737627	-8.429705	-7.395196	-7.1385922	-7.8402596	-7.3593183	-7.570021	-6.5802274	-5.48678	-6.6280904	-7.7967577	-6.5564923	-7.0624456	-7.294	-7.4159703	-7.9163857	-7.073355	-7.7123847	-7.065198	-7.8810363	-7.2331343	-8.061907	-8.361162	-6.7422657	-7.446148
LOC_Os04g25740.1	-3.792345	-3.7095528	-3.1120005	-3.7135544	-3.4326324	-2.8798013	-2.7590647	-2.0152931	-2.0256853	-2.7160273	-2.2144775	-2.234743	-2.2529125	-1.9538069	-2.1906404	-2.9985328	-2.8031693	-2.5005293	-3.798318	-3.3969622	-3.404581	-5.153166	-5.072417	-5.8823113	-2.2829208	-2.0516486	-2.5367641	-2.2978773	-2.5079012	-3.4320474	-4.6943088	-4.4244394	-4.991082	-3.4906254	-6.011775	-3.3464117	-2.84766	-2.9371462	-2.8549318	-3.8061361	-4.5743155	-4.6385975
