ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534609	GSM534610	GSM534611	GSM534612	GSM534613	GSM534614	GSM534615	GSM534616	GSM534617	GSM534618	GSM534619	GSM534620	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641	GSM534642	GSM534643	GSM534644	GSM534645	GSM534646	GSM534647	GSM534648	GSM534649	GSM534650	GSM534651	GSM534652	GSM534653	GSM534654	GSM534655	GSM534656	GSM534657	GSM534658	GSM534659	GSM534660	GSM534661	GSM534662	GSM534663	GSM534664	GSM534665	GSM534666	GSM534667	GSM534668	GSM534669	GSM534670	GSM534671	GSM534672	GSM534673	GSM534674	GSM534675	GSM534676	GSM534677	GSM534678	GSM534679	GSM534680	GSM534681	GSM534682	GSM534683	GSM534685	GSM534686	GSM534687	GSM534688	GSM534689	GSM534690	GSM534691	GSM534692	GSM534693	GSM534694	GSM534695	GSM534696	GSM534697	GSM534698	GSM534699	GSM534700	GSM534701	GSM534702	GSM534703	GSM534704	GSM534705	GSM534706	GSM534707	GSM534708	GSM534709	GSM534710	GSM534711	GSM534712	GSM534713	GSM534714	GSM534715	GSM534716	GSM534717	GSM534718	GSM534719	GSM534720	GSM534721	GSM534722
osa-miR171h	-8.53739375	-8.746668375	-7.470425575	-8.4610861	-9.1046765	-7.710260075	-8.50175675	-9.173369125	-8.482177	-8.9049375	-10.0733855	-8.54811875	-8.0952825	-8.9356195	-8.07421275	-8.29713775	-9.4744415	-8.666582	-9.34923775	-9.6164405	-8.365481	-9.24051675	-8.8724045	-8.98835575	-6.8440115	-5.272138725	-6.54611875	-9.1024225	-9.446398	-7.015056675	-7.220495425	-6.8753205	-7.2668222	-6.207496275	-5.324056975	-5.1126144	-5.545423225	-6.991146025	-7.7696185	-8.129397325	-7.084147825	-7.43544455	-9.5038481	-9.95677575	-8.17277615	-9.27582075	-9.186257375	-8.845930375	-9.33104	-9.6119535	-8.2645245	-9.48512825	-9.47840625	-7.868639075	-8.897205	-9.65900325	-8.136821	-9.732145	-8.454707325	-8.0586334	-8.42410785	-10.2793045	-7.17648155	-9.0609025	-8.552513	-9.514307	-9.02165475	-8.0559035	-9.46691975	-9.00252935	-9.74065925	-8.667433925	-9.70326675	-9.4590275	-9.2965485	-8.76879265	-8.98154	-8.7301175	-8.229865425	-8.9408229	-9.62712825	-9.30597875	-9.061406	-8.0219025	-8.52128225	-8.321432	-7.237068575	-8.20232225	-7.511128375	-8.40062875	-9.3773675	-9.25409025	-8.85862375	-8.303235	-8.62407075	-10.165752	-8.98889625	-9.33470625	-8.787283575	-9.58008975	-9.10579075	-8.551062425	-8.1373694	-8.41965515	-7.79156685	-9.461505875	-8.99463375	-9.18877575	-8.3393419	-9.3761645	-8.62955775	-8.6138639	-9.59382625	-9.731785	-9.150424325	-9.4915435	-9.64737275	-9.4628995	-9.154221125	-8.02230725	-8.5309385	-8.5553015	-7.282356625	-7.980554825	-7.9761754	-5.169732	-7.17448	-7.616269075	-7.85637825	-7.6250274	-8.42324875	-8.0735745	-8.3568385	-8.31072875	-7.74062355	-7.878761	-8.198744075	-6.866524425	-6.886118575	-7.339688875	-7.7509558	-8.1440325	-8.001546
osa-miR171i	-8.75568925	-8.38532515	-7.58362875	-9.746769	-9.1835855	-7.787704975	-8.4785411	-9.030915	-8.588984	-8.92981675	-10.1874315	-8.357238425	-8.21584525	-9.31690825	-8.091998875	-8.423441	-9.6543765	-8.8583725	-6.8102703	-8.01721225	-8.615538	-8.252702675	-8.155130075	-8.714351125	-6.01973275	-5.83446055	-6.981514575	-9.21198875	-9.31535925	-7.461129425	-8.892785525	-7.48322715	-9.265212	-9.096144	-6.68455545	-8.15945125	-5.817923125	-6.429267525	-8.37604575	-8.275240125	-6.943021675	-9.386062	-6.197334825	-6.749661025	-8.03694605	-9.27726	-8.0583988	-8.1358896	-9.481544125	-9.4521605	-8.378693625	-9.60976425	-10.124676	-8.90894925	-6.618576125	-6.46372645	-5.572274525	-7.102427175	-6.900933625	-5.890866175	-5.293160425	-5.3790234	-5.041602225	-1.6495297	-1.452466025	-1.941240325	-1.757094125	-1.823107725	-6.3200759	-8.6288095	-7.980859	-9.575377	-9.851223	-9.04422125	-5.6641187	-5.219671425	-4.80663845	-5.309908875	-5.376353125	-5.9598606	-5.34246075	-5.70434505	-5.8816926	-6.77772725	-4.47847705	-7.04703695	-5.893217175	-4.810211925	-6.7092249	-5.787839925	-6.1483959	-5.474179075	-6.122206125	-5.281125925	-5.6146088	-9.85409375	-9.177908	-9.2504115	-9.498218	-10.01690775	-8.501645675	-8.603382	-8.102194575	-6.303684175	-7.641592875	-9.64432925	-9.07396525	-9.484829	-9.0123975	-9.798828	-8.36023595	-8.5475728	-9.705762125	-6.850930975	-7.828783	-9.06931125	-6.692104625	-6.9600012	-7.5345131	-6.671054275	-7.205449925	-6.067845175	-8.1845455	-7.7442733	-7.93163455	-5.284776975	-7.209630475	-7.80917825	-8.2355249	-7.75094795	-8.549469375	-8.152691425	-8.409616425	-8.44529875	-7.04275425	-7.856872825	-7.88263525	-7.087181825	-7.113558025	-7.47975055	-7.716122675	-8.0940425	-7.9827862
osa-miR441b	-3.6582164	-4.183355095	-2.4248893	-5.1983671125	-4.902252375	-3.9118399575	-4.737591875	-4.776840065	-4.19111259025	-5.5095782	-5.6359067	-4.6114800425	-4.640983575	-4.7992841275	-3.184404876	-5.215133875	-5.549534525	-4.829235765	-5.412170625	-5.390843225	-4.727514275	-5.694888125	-5.008230475	-5.450086625	-3.832514275	-3.089903575	-4.1929716	-5.5390672	-5.3253138	-4.2437349	-4.788909375	-4.2698903	-5.552258225	-5.233544125	-3.3314527	-4.396602275	-3.3381943325	-3.8173951	-4.146155775	-4.894592775	-4.319308875	-5.1412862	-5.727020375	-5.875981525	-5.0287597	-4.773128575	-5.54543865	-4.6961262	-5.3047258	-4.496690275	-2.9675998	-5.225647425	-5.2965885	-4.152779125	-5.109298475	-5.382284475	-4.529180175	-5.70283235	-5.62155925	-4.71034275	-5.312351125	-6.035144425	-4.800350975	-4.7273037025	-4.4802693775	-5.75109015	-5.50228365	-4.7054742575	-5.58234265	-5.750621775	-5.46159115	-5.4470171	-5.930101225	-5.34267225	-6.004367775	-6.076911475	-5.289595875	-5.472357575	-5.5182735	-5.317494525	-5.0389723275	-5.37498895	-5.3861558425	-4.3986335875	-4.940645225	-4.419033975	-4.0923627175	-4.8934175	-3.31469928475	-4.8852711	-5.49750605	-5.1270258	-5.645161725	-4.739226575	-4.605822375	-5.96527885	-5.3870858	-5.271342075	-5.468186675	-5.7681642	-5.111609725	-5.861651025	-5.391855275	-4.842931125	-4.96444545	-5.728677425	-5.1847524	-5.945508975	-5.438336975	-5.616454875	-5.437609275	-5.3710451	-5.51091285	-6.345102025	-5.952980325	-6.3685807	-6.143285175	-6.071398325	-5.9068988	-5.14785935	-5.4111425	-5.5011508	-5.3456503	-5.24913295	-4.91741805	-3.51005925	-5.03931505	-5.055277025	-5.079170525	-4.832676425	-5.3262325	-4.7783524	-5.058545625	-4.94135745	-4.643390625	-4.89031195	-4.9507163	-4.138258575	-4.032374975	-4.399315675	-4.5007461	-4.7523288	-4.692901275
osa-miR171a	-8.02760225	-8.64411125	-6.79866795	-8.855017	-8.596458925	-7.405321125	-8.53256	-8.268853	-8.215337825	-8.217589125	-8.75143195	-7.665876675	-7.78794935	-8.2364366	-8.077559	-7.560910175	-8.961947875	-8.021936925	-8.48460045	-8.58532825	-8.44865925	-7.980768175	-7.519925275	-8.8098893	-6.4610546	-5.495673975	-6.807296675	-8.045268625	-7.757137375	-7.26012425	-6.747149025	-6.172985225	-7.9940126	-7.201867475	-5.287936175	-5.797047975	-5.138745625	-5.836432125	-7.749621375	-7.357243525	-6.6316913	-8.12101135	-7.503363725	-8.158800925	-7.9532367	-7.72080645	-7.840664275	-7.057503925	-8.40052225	-7.865686475	-5.97576735	-6.90028175	-7.9851062	-7.756428175	-7.79304375	-8.47688885	-8.03234665	-8.2601927	-8.465958325	-7.841915925	-8.184047625	-8.374151375	-7.87146765	-8.91353525	-7.896134175	-9.4897255	-9.544543875	-8.36827265	-8.8532034	-8.4098775	-9.63678125	-6.866400875	-6.5573299	-9.4108545	-8.08675975	-7.8917695	-9.09605775	-8.0551315	-8.13162425	-8.6393075	-7.64906275	-7.95846565	-9.09080675	-7.499550625	-7.74312925	-8.25445725	-6.706445	-8.37823925	-7.2434424	-8.189407425	-8.569403325	-9.350293	-9.110866	-7.7330565	-8.54739025	-8.76967165	-8.882212	-9.295616	-9.31400325	-9.276482	-9.044628625	-8.952221	-8.10813725	-7.8525347	-8.0536994	-8.798686575	-8.70022825	-8.4790755	-8.1284954	-8.639848125	-7.995408175	-7.988669	-8.87548375	-8.068124125	-7.997640975	-8.359333775	-7.904625575	-7.9709989	-7.62400945	-7.10418275	-7.287018875	-7.423755	-7.4284015	-7.38064	-7.20380415	-5.05245025	-7.09708125	-7.17527435	-6.464598825	-4.7344099	-6.871429825	-6.338588875	-6.3785938	-6.5295995	-6.0408479	-6.17238115	-6.14190665	-4.810836225	-4.8249759	-5.097180175	-5.69081975	-6.076943025	-6.037209575
osa-miR171b	-7.4069992	-8.218956175	-6.96308705	-8.677604625	-8.529569125	-7.266952225	-8.640403375	-8.8456385	-8.5387395	-9.01554275	-9.636109	-7.424721575	-8.1566304	-9.0694115	-8.221531	-8.357895	-9.968334	-8.821416	-8.111654	-8.609275575	-8.050358875	-7.651134175	-6.911050525	-7.765330225	-6.357157075	-5.7873571	-6.45486535	-8.2875993	-8.92301575	-7.013474825	-6.5521976	-5.880567925	-6.573095825	-6.871906425	-5.131379225	-6.273273575	-4.532534175	-5.3913692	-6.938875325	-7.568576175	-6.276076725	-8.149901925	-5.858251525	-7.013288425	-7.58315325	-8.2315418	-6.9880474	-8.06992515	-8.58225875	-8.614458325	-8.24672425	-8.49136375	-8.9656601	-8.884488	-6.631445	-6.097950025	-6.74989075	-5.9623519	-6.355396575	-6.13844225	-6.350787275	-5.5358766	-6.956083	-6.518536725	-5.925518325	-5.390067175	-4.76541085	-5.205229575	-6.3472736	-7.58487175	-6.314131475	-6.528398875	-7.953888775	-7.220995425	-5.9775946	-5.84950825	-5.857521175	-5.1619896	-5.275037975	-5.564416525	-4.6763744	-4.79499715	-5.2460725	-7.089640275	-7.003643375	-6.94669015	-6.8776398	-6.2163379	-7.18871885	-8.21127465	-7.889571475	-7.92092875	-7.68322995	-8.266069	-6.7860694	-9.696667	-8.6513202	-8.69282525	-9.289810875	-9.37289975	-9.16383475	-6.272565875	-6.246170175	-5.54282005	-6.447707925	-6.292670575	-6.97964985	-8.0704665	-8.872052625	-8.472650625	-8.698768375	-8.886405775	-8.524093125	-7.75004745	-7.732691875	-8.32841425	-7.891676825	-8.4510775	-8.80753025	-7.9740119	-8.657976875	-7.9666281	-7.43718485	-6.9916605	-7.650735	-5.22689095	-8.07100325	-7.359099875	-8.2564365	-7.692953375	-8.49020725	-7.873464575	-8.027672375	-7.54833	-6.507730375	-7.692106775	-7.379808275	-4.792303225	-4.7630946	-5.789869925	-4.809212725	-4.855227325	-5.100895175
osa-miR171c	-8.023508775	-7.9717451	-7.52206455	-8.824102875	-8.757426	-7.36522125	-8.605545875	-8.78785875	-8.52703525	-8.9928835	-9.431603625	-8.18269035	-8.13845735	-9.0819775	-8.036961675	-8.34938975	-9.42012	-8.621822	-6.970149375	-7.106869825	-6.704934425	-6.80169965	-6.01268125	-6.1613479	-5.146473875	-5.76599175	-6.5766941	-9.157185	-8.52404475	-7.182463875	-5.253500575	-5.121015	-5.009433625	-5.45110655	-4.55158	-5.16730005	-4.0357842	-4.885415625	-5.934564425	-7.022367425	-5.214678375	-6.85345315	-4.507946825	-5.663527575	-5.648334325	-6.913395075	-5.6440663	-6.208167225	-7.014684225	-6.790419525	-7.63956	-8.7569085	-6.991258275	-7.5805647	-5.286794025	-4.8910443	-5.03523975	-4.48609935	-4.7722399	-4.46382935	-4.803325875	-4.055414175	-5.271783825	-6.02602245	-5.114711375	-4.27676165	-3.836945325	-3.98308505	-5.182628825	-6.11686475	-5.4716878	-5.448185425	-6.7728489	-6.089131	-4.92576275	-4.92770035	-4.81061965	-4.177677275	-4.178988475	-4.5214009	-3.64310785	-3.744454425	-4.287408975	-5.729954325	-5.758127	-6.753555725	-6.64418405	-5.352308825	-5.778724325	-7.081276025	-7.089578325	-6.9571329	-7.13290555	-7.196526075	-6.8732236	-8.457446	-7.73215275	-8.0727635	-7.70861275	-8.579272	-7.5867009	-5.091873875	-5.29108225	-4.2694865	-5.004688175	-4.892254225	-5.687900575	-6.896212575	-7.536240575	-8.163724625	-8.118983425	-7.648771075	-7.8182755	-6.34772515	-6.99534275	-7.128505475	-6.201905925	-7.5673144	-7.73160595	-7.193628	-7.3731256	-6.024234675	-6.195202075	-6.086059225	-5.0194073	-5.21778	-6.7703346	-6.04435405	-7.833425425	-7.671690575	-8.20999525	-7.583099125	-7.494192925	-8.0156575	-6.184720125	-7.50011925	-6.587450375	-2.618383975	-3.059487225	-3.393175875	-2.871155025	-3.096467	-3.35217475
osa-miR171d	-8.771145875	-8.780771875	-7.334531925	-9.042332875	-9.22404125	-6.7747909	-8.386830425	-9.2859135	-8.556248	-8.78459875	-9.844404	-7.4850274	-6.332107025	-8.674698275	-8.098151975	-6.743141325	-9.058756	-7.92966825	-6.581441625	-7.469578375	-6.03485	-6.7114056	-5.797841875	-5.5739235	-6.78657465	-5.551345825	-6.9558958	-8.701377	-9.22220825	-7.324376675	-8.7206825	-7.5778135	-9.113646	-8.1751985	-6.312338925	-8.01035275	-4.861110725	-6.591978	-7.756966175	-7.1988132	-7.007447525	-8.194970575	-6.568267325	-7.426707125	-6.9969678	-9.218008875	-7.127521025	-8.83267725	-9.393848	-9.70092525	-7.99588225	-9.19372575	-9.336238875	-8.89725375	-2.93820025	-2.616974825	-2.52597665	-3.725693625	-3.8602104	-3.565708275	-3.925796	-3.4598744	-3.800507425	-4.248619575	-3.567045925	-5.594202825	-5.674466	-5.02169745	-6.91529955	-7.409128575	-7.93570955	-6.8790532	-8.40516415	-6.382545175	-4.458261375	-4.537361325	-4.41739345	-3.9971752	-4.3403554	-4.4312194	-4.261269625	-4.94785325	-4.335877525	-4.9230443	-4.656028175	-6.34209715	-4.1845008	-3.881876175	-5.5276834	-4.607657575	-5.273101125	-4.598448475	-4.914123	-4.952407775	-4.72673455	-9.03803125	-9.000677	-8.860229575	-9.213224	-8.8660205	-9.1465625	-6.98225775	-6.7169455	-5.80664115	-8.2039865	-8.36298415	-7.828716775	-9.462694	-8.55332575	-8.66129125	-8.71007525	-8.60791225	-9.009614	-7.21360065	-7.765273875	-7.53701905	-6.3902666	-7.34437825	-7.64967965	-6.5283528	-6.47993565	-5.980235625	-5.230708925	-5.282264025	-3.884421925	-5.261085725	-6.199631125	-6.371377925	-8.2827	-7.728296525	-8.52356725	-8.10346475	-8.4306985	-7.35244515	-7.3151054	-7.469607225	-7.40289385	-6.305235975	-6.24893665	-6.959765875	-7.30556685	-7.87252115	-7.950589625
osa-miR171e	-8.41259775	-8.7839277	-7.45200545	-8.937706	-8.458978075	-7.68176595	-8.50161475	-9.179706875	-8.444871	-8.7689875	-9.912553875	-8.2739445	-8.064391875	-9.18263325	-8.028416375	-8.275013	-9.8645205	-8.45140825	-8.13573555	-8.89946325	-7.69546925	-7.80729005	-7.638801325	-4.2777739	-6.812454825	-5.68054035	-6.85125585	-9.07386525	-9.387272	-7.2896846	-8.7949676	-7.59449765	-9.106912	-8.660091	-7.10925725	-8.06663985	-4.270438825	-6.723055425	-8.314789	-6.765168525	-6.735466425	-8.06898295	-7.566080625	-8.97012375	-8.1295495	-9.06095515	-8.3848025	-8.789105125	-9.233838	-9.651633875	-8.23418875	-9.4184495	-9.341981925	-8.753474	-4.99825925	-4.0837472	-3.98002795	-5.03857435	-5.759718575	-4.918700975	-5.52315325	-4.711435825	-5.686859375	-3.58190275	-2.96905195	-7.309893525	-7.19486135	-6.641220075	-8.09926295	-8.7081395	-8.314803125	-8.890904375	-8.7686945	-6.84210195	-5.521437575	-5.668766775	-5.010145925	-4.69003655	-4.6679079	-4.527791425	-3.96070545	-4.420346825	-4.213002075	-6.555496425	-6.95656175	-6.949915025	-6.298841425	-6.8128467	-6.0947362	-7.241435525	-7.1190875	-6.67524845	-7.19016015	-7.30246905	-6.610946125	-8.960533275	-9.02650175	-7.88842225	-9.3699965	-7.159495425	-8.2311475	-5.4303795	-5.832194225	-4.55805975	-7.770894725	-7.465055675	-7.996628825	-9.33623875	-8.85447325	-9.29741525	-8.60920075	-9.087459	-8.9604945	-6.048215575	-5.762005075	-5.55312315	-5.232029275	-5.7326745	-5.66514325	-5.641922125	-5.8496557	-5.32420365	-5.279034475	-5.074106425	-5.06562175	-5.12331945	-6.185751275	-7.00074475	-8.1358645	-7.603262	-8.164934	-8.064101725	-8.283305	-8.28518725	-7.452946	-7.827576075	-8.131528875	-6.8577577	-7.016517	-7.17112675	-7.25889945	-7.981170825	-7.9037141
osa-miR171f	-8.443324375	-8.6211354	-7.49618275	-9.67961425	-8.8668371	-7.746512	-8.580597	-9.08877675	-8.46033525	-8.62672325	-9.4145125	-8.609635	-8.189162	-9.19099375	-8.204082175	-7.50340885	-9.2617405	-8.764124625	-6.325329325	-5.3659846	-6.3051429	-6.57235495	-6.5745425	-6.421056875	-5.3057571	-4.961797475	-4.61997225	-6.071103	-5.21793925	-5.65262565	-3.9742751	-4.15115285	-3.076112975	-3.6224935	-4.1236717	-3.498052125	-3.4715717	-3.78948115	-3.671344275	-3.45782815	-3.709587575	-3.93490285	-8.84354175	-6.858951225	-6.091456375	-5.2979845	-7.283295025	-5.5558259	-6.121612525	-5.6962019	-6.968922575	-6.600399625	-6.293943825	-6.178243675	-8.990475	-8.46357635	-8.2101575	-9.146988375	-9.415035	-7.8450381	-8.75998425	-9.195876625	-6.95014	-7.3032656	-7.085488725	-8.4518851	-8.49640485	-7.27567875	-8.394705325	-9.26056625	-7.917904975	-9.17969825	-9.47856425	-8.709437125	-8.7283405	-8.181706325	-7.5575311	-7.616315975	-7.5958739	-7.66071135	-8.405598725	-8.10588275	-7.672674275	-7.5325661	-8.06562975	-7.53324285	-7.511903975	-8.0883795	-6.0341044	-8.56696775	-8.398246375	-8.08779675	-8.033921675	-8.19646975	-8.008123875	-5.473946075	-4.1961802	-4.82812265	-3.54440735	-4.835275825	-3.746400725	-5.00767035	-5.68545095	-4.86734175	-7.631651375	-7.957290325	-6.80241475	-9.4460745	-8.6654046	-9.057111125	-8.553780875	-9.188001875	-9.2621195	-9.521353875	-9.81657525	-9.989333	-9.705197	-9.454352	-9.141928875	-7.497181875	-8.598436125	-7.8658232	-8.8035289	-8.6414135	-8.195101325	-5.242068825	-8.64355725	-8.455282625	-8.26235575	-7.643736975	-8.035434825	-7.10517425	-7.99027885	-6.8304746	-7.409399975	-7.1912015	-7.829318425	-6.2084788	-6.872512025	-6.721305325	-7.589835575	-7.711623025	-7.8695535
osa-miR171g	-8.193169675	-8.59543975	-7.49142145	-9.34917125	-9.175877	-7.723696525	-8.61781375	-8.572078675	-8.51151625	-9.004993	-9.699708	-8.58883825	-7.93936005	-8.593572	-8.182909875	-8.2419515	-9.721170375	-8.738301	-8.758712125	-9.0688811	-8.49163175	-8.573428625	-8.63721975	-9.488005	-6.89274855	-5.512963475	-6.3208794	-8.88877775	-8.893656	-7.38949435	-8.1429745	-7.011222325	-8.85820885	-8.9723245	-5.676456025	-8.350900425	-4.318601675	-5.502566325	-8.45724275	-6.485788525	-6.0539195	-9.03057175	-9.13891765	-9.05574325	-8.2025615	-8.946783175	-8.65149925	-8.881510875	-9.297869875	-9.10357825	-8.29866775	-8.60589615	-8.531421125	-8.854705	-8.00183475	-9.2643985	-8.159384	-9.09973575	-8.721019075	-7.982983325	-8.232877875	-9.0964705	-7.72769225	-8.73405965	-7.666703025	-9.33512475	-9.98860675	-7.63416885	-9.432922	-9.38264275	-9.2193165	-9.19932625	-9.642841	-8.56268825	-9.14078425	-8.6654575	-9.307507	-8.326568425	-8.04265475	-8.4059065	-9.11657875	-8.89816975	-8.8654285	-7.8366706	-8.3815055	-8.1881645	-6.580239075	-8.5646865	-7.2405849	-8.5027885	-9.431758625	-9.03235925	-9.498557625	-8.26932475	-8.16738745	-9.37565375	-8.317344	-9.4320685	-9.342565	-9.28235875	-7.9557508	-9.138096125	-8.127755875	-7.44442125	-8.1054865	-9.001167875	-9.027697	-9.4053045	-8.9222455	-9.30077525	-8.5215375	-8.8758355	-9.6167795	-8.87875425	-9.083126775	-9.681775125	-8.9594775	-8.477966125	-8.83852025	-8.082684875	-7.84818325	-7.778892925	-8.750112375	-8.108690125	-8.0022476	-5.194074275	-8.14300775	-7.911507	-8.2205996	-7.037369725	-8.4768275	-7.503761425	-8.158130825	-8.28123825	-7.787095	-7.92454	-7.9042095	-6.907387525	-7.103016875	-7.00195475	-7.75361735	-7.998329875	-7.8743537
