ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534609	GSM534610	GSM534611	GSM534612	GSM534613	GSM534614	GSM534615	GSM534616	GSM534617	GSM534618	GSM534619	GSM534620	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641	GSM534642	GSM534643	GSM534644	GSM534645	GSM534646	GSM534647	GSM534648	GSM534649	GSM534650	GSM534651	GSM534652	GSM534653	GSM534654	GSM534655	GSM534656	GSM534657	GSM534658	GSM534659	GSM534660	GSM534661	GSM534662	GSM534663	GSM534664	GSM534665	GSM534666	GSM534667	GSM534668	GSM534669	GSM534670	GSM534671	GSM534672	GSM534673	GSM534674	GSM534675	GSM534676	GSM534677	GSM534678	GSM534679	GSM534680	GSM534681	GSM534682	GSM534683	GSM534685	GSM534686	GSM534687	GSM534688	GSM534689	GSM534690	GSM534691	GSM534692	GSM534693	GSM534694	GSM534695	GSM534696	GSM534697	GSM534698	GSM534699	GSM534700	GSM534701	GSM534702	GSM534703	GSM534704	GSM534705	GSM534706	GSM534707	GSM534708	GSM534709	GSM534710	GSM534711	GSM534712	GSM534713	GSM534714	GSM534715	GSM534716	GSM534717	GSM534718	GSM534719	GSM534720	GSM534721	GSM534722
osa-miR535_Mature	-6.9512434	-7.7388187	-6.357611	-7.2661528	-9.101041	-7.66367215	-8.5661765	-9.188495	-8.019676	-8.869933	-9.531648	-7.0166209	-7.9196095	-7.6338133	-6.70577315	-7.24171635	-8.76474335	-7.7855057	-7.5451615	-6.874893	-8.4013715	-6.3456804	-6.0249834	-9.401312	-5.68627875	-4.686955	-5.7385232	-7.4787619	-7.4832338	-6.8984973	-4.93746715	-4.210935	-7.37669535	-5.075884	-3.0142355	-4.24925755	-4.058032	-3.41399215	-6.16338835	-6.59416925	-4.0624768	-6.2591071	-9.0475005	-7.5150159	-6.07048895	-9.61892325	-9.820008	-8.8159335	-9.383454	-9.587841	-8.236835	-8.19205615	-9.169247	-8.59985375	-8.625777	-8.813338	-8.1133865	-9.3638525	-8.915144	-8.036273	-8.677452	-9.604482	-7.9401478	-9.503093	-8.933452	-10.213515	-9.7100085	-8.0757515	-9.5835695	-7.73563915	-9.562645	-9.520431	-9.7098725	-9.547076	-9.936257	-9.9363725	-9.514468	-9.7278505	-10.0135075	-9.522446	-10.470445	-10.331475	-9.2752155	-8.01896765	-8.5535525	-8.3094185	-7.558527	-8.520246	-7.4718155	-8.4598565	-10.15983725	-9.6130415	-10.297551	-8.292055	-8.6013355	-9.499488	-9.008048	-8.2343828	-9.37649175	-10.003424	-8.20406535	-7.9547698	-8.70364615	-8.4908132	-8.2972175	-9.4726795	-8.9775415	-7.959917	-8.7913595	-8.41128485	-8.2279565	-8.581444	-8.39382475	-7.5067177	-7.25114345	-7.6211168	-6.7744	-7.633227	-8.38842715	-8.4787535	-8.3680125	-7.5004749	-7.30384625	-7.43945955	-7.73811065	-5.15172935	-7.59508025	-7.35499195	-6.509645	-6.00926135	-6.50060555	-6.80488715	-5.77655535	-5.7771275	-5.3613538	-6.0565871	-5.72860055	-6.3734657	-4.94019085	-5.6651558	-5.52390425	-5.6521648	-5.34755475
osa-miR169d_Mature	-8.6888265	-6.9986593	-7.4735142	-9.14614175	-9.084997	-7.702186	-8.5314855	-9.1543705	-8.4774385	-8.9027215	-10.09429625	-8.555196	-8.0948705	-9.233916	-8.0629885	-8.299251	-9.5504895	-7.5926043	-9.7631665	-8.2152805	-8.2516265	-7.2243523	-6.964567	-9.3667455	-6.858333	-5.7139772	-6.89800535	-8.7393255	-9.01007325	-6.475652	-6.20859335	-5.2006765	-9.17159275	-6.6982475	-3.929136	-5.8240797	-5.22298645	-4.417404	-8.29642775	-8.416006	-5.03678915	-8.909939	-10.034968	-9.1833005	-6.70079	-9.67647575	-9.84707925	-8.8487605	-9.10495125	-9.007788	-8.2671575	-8.73342	-9.8651845	-8.809251	-9.3534075	-9.59856	-8.147455	-9.710709	-9.4160135	-8.059684	-8.7034095	-9.821074	-7.9662518	-9.5036105	-8.953191	-10.2172225	-10.333303	-8.5368215	-9.591435	-9.6002335	-9.749318	-9.3245975	-9.69051	-9.5714735	-10.151432	-10.65931	-9.5411	-10.04616475	-10.004687	-9.536658	-10.4894715	-10.3339605	-9.7344795	-8.044478	-8.5512035	-8.31209	-7.7207675	-8.4958985	-7.07982895	-8.5030065	-10.435514	-9.636241	-10.292246	-8.30812425	-8.62027175	-10.2907945	-9.09091	-9.3158075	-9.24916075	-10.28969525	-9.079944	-10.0671865	-9.563441	-9.064067	-8.2769745	-9.7516595	-8.989002	-9.374401	-8.89769	-9.298695	-8.647534	-9.155464	-9.5991125	-9.824376	-9.8192045	-9.4959495	-9.647684	-9.494718	-9.1156295	-8.2521505	-8.547559	-8.6832315	-9.109251	-8.54284175	-8.0895755	-5.16851285	-8.5298455	-8.36857075	-8.17645	-7.63602985	-7.1053635	-8.0730065	-8.33664225	-8.299959	-7.72715825	-7.86524245	-8.186554	-6.9071225	-7.0377702	-7.31790565	-7.72891885	-8.1169995	-7.974417
osa-miR166b_Mature	-5.962316	-5.28043065	-4.5320828	-5.478483	-5.1115488	-4.1530261	-6.73645285	-5.92059615	-5.7375777	-7.42010475	-5.9109919	-4.8143375	-6.0817685	-5.76382855	-5.33323035	-6.29172635	-6.2252782	-5.62645325	-5.4938242	-5.8473105	-4.38803785	-4.82306005	-4.92899875	-4.605032	-5.2711997	-5.5721625	-5.80407435	-5.82239625	-5.837208	-5.7012527	-5.12657215	-5.05482765	-4.32410815	-4.1003456	-3.9926755	-3.3011484	-2.74249385	-3.5182702	-4.15483115	-3.2285902	-2.9120693	-3.89548205	-4.40778945	-5.6728735	-5.09268025	-6.091451	-4.8052559	-5.28483	-6.3612615	-6.8976637	-4.340887	-4.4952526	-6.05145955	-6.28263235	-4.0658907	-3.01626635	-2.9127364	-3.75702955	-3.87700745	-3.6066708	-3.8128924	-3.5825934	-4.2708157	-2.32288265	-2.0614462	-3.216115	-2.53495645	-2.6461592	-4.8033102	-5.7687175	-4.24458225	-5.95894185	-6.07033	-5.4217002	-3.81611915	-4.05619665	-3.295125	-3.08660315	-2.5616303	-2.8584161	-2.16521265	-2.3082199	-2.4672751	-4.488959	-4.34424925	-4.507241	-4.48913885	-3.87160995	-4.1609035	-4.16673465	-4.3584964	-3.31310845	-4.4237433	-4.2489493	-3.22136335	-5.8621895	-4.4437549	-4.73086905	-4.3685831	-4.6427536	-4.14202815	-3.66465615	-4.608845	-3.0667052	-4.63967485	-4.65994735	-4.9113977	-6.46598015	-6.5018084	-6.8486128	-6.4269967	-5.5390722	-6.4285605	-3.9981176	-4.00069025	-4.1893968	-2.4847579	-2.99423265	-3.24822715	-2.8123703	-3.2918718	-2.2617526	-1.4779506	-1.5745802	-1.6310868	-2.5414822	-1.71292685	-1.9988194	-5.90208055	-6.8004943	-5.87306095	-5.4909035	-6.1191874	-5.728325	-5.349201	-5.11458655	-4.80252835	-4.68117765	-4.9660415	-5.18252975	-5.5854312	-5.709353	-5.7982245
osa-miR156k_Mature	-6.6582217	-7.0601958	-6.2992782	-6.6364193	-8.7734835	-6.3331175	-8.4873585	-8.94295875	-7.04170705	-8.433086	-8.5835825	-6.0641675	-7.03943925	-7.4640008	-5.101495	-6.78768765	-7.9219482	-6.67417175	-6.5510192	-6.3518105	-6.16682965	-5.6928243	-5.4858509	-6.7776065	-4.3803725	-2.8751753	-6.76333615	-6.61966065	-7.1199114	-5.023452	-4.41863785	-3.7670832	-6.07210445	-4.5103965	-2.70372015	-3.5994387	-3.43552775	-3.1444487	-5.26462775	-6.1587085	-3.68609385	-5.2462115	-6.830242	-6.03150375	-4.89936775	-7.63895815	-7.4014105	-6.66925475	-7.2737599	-7.41221645	-5.8642509	-7.56133605	-7.61786335	-6.38528985	-8.3626055	-7.37883325	-8.188626	-8.7524645	-7.95043225	-8.11317475	-8.75205975	-9.1906945	-8.0135443	-9.535953	-8.926114	-9.393337	-9.3016805	-6.22502875	-8.1205475	-6.35552	-6.6575738	-8.0371873	-7.3495278	-6.5020045	-9.488774	-9.875922	-7.97671135	-9.387481	-9.513635	-6.7023448	-8.78526875	-8.8530515	-6.7359476	-8.069065	-8.594452	-6.82332835	-6.8827435	-8.552464	-5.6685405	-8.09763025	-8.442135	-7.1283762	-8.445839	-8.1385246	-6.227511	-7.60821415	-8.63384825	-6.0806142	-8.2539255	-7.7887835	-6.38652325	-6.4808502	-5.81279065	-6.53184485	-7.4656005	-6.96225355	-6.9839645	-5.96625045	-6.75195385	-6.463681	-6.94901705	-6.72553215	-6.2903337	-4.6318575	-4.9999759	-4.77186515	-4.06942775	-6.52201845	-6.89965475	-7.81197	-6.629523	-5.60706975	-5.538106	-5.9598069	-6.1596601	-5.21919795	-5.1238992	-5.7118807	-4.80584535	-4.53525085	-5.1647408	-3.1992686	-3.46992305	-3.3216985	-2.8554394	-3.3947382	-2.96790335	-3.5238845	-3.51893135	-3.663938	-3.328331	-3.68214685	-3.7360332
osa-miR160a_Mature	-4.42843795	-3.8187928	-2.9361493	-4.9311435	-5.0750985	-3.7112832	-5.3707995	-4.2754278	-3.53607345	-6.1409823	-5.51701425	-4.4402873	-5.76215455	-5.9220113	-5.2695885	-5.64143065	-6.04239705	-5.1555213	-5.00915435	-4.3683797	-4.5616495	-5.11164825	-5.5344901	-4.73608995	-6.17461685	-5.6986133	-6.87308425	-5.9699475	-5.565663	-6.919454	-6.6843859	-5.93700265	-5.27690115	-6.3589205	-6.08657785	-5.0827685	-2.3627572	-4.64275315	-5.10068875	-4.6053978	-4.92348765	-5.10141315	-3.41773605	-3.6001463	-3.2799158	-4.9017259	-3.4595547	-4.504406	-5.897059	-5.8014615	-3.3451226	-3.9317628	-5.2184218	-5.2685244	-3.84092135	-2.4690542	-2.67190405	-2.60459135	-3.18488215	-2.9289422	-3.59409285	-2.5913081	-3.90163755	-5.11023015	-4.1868935	-5.12136385	-4.935529	-4.11618815	-4.94582735	-5.3931603	-5.030987	-4.7413659	-4.3596153	-4.46546435	-4.0425539	-4.37042725	-3.73717265	-3.5087471	-3.73863125	-3.68848865	-3.7530307	-3.8851099	-3.6774063	-5.0884731	-4.3006023	-4.53781065	-5.18258775	-4.49847505	-4.14180365	-4.3146889	-5.0143855	-4.872451	-5.25876215	-4.38896635	-4.8114729	-5.49886475	-5.9901264	-5.1483137	-5.789999	-5.79577975	-5.63370295	-5.3878515	-4.9189863	-4.007081	-4.72839215	-4.57200455	-4.9232688	-6.0479972	-5.8404638	-6.07198485	-6.12937575	-5.6871327	-5.9366173	-5.7336786	-5.49703685	-5.38952375	-5.1638825	-5.91124915	-5.9303	-5.28779775	-5.5853365	-5.39164015	-4.12002685	-4.089505	-4.06431	-4.9157152	-4.4273292	-4.6797905	-5.7760343	-5.550429	-6.11621045	-4.9943995	-5.0564845	-5.19863345	-5.10753615	-5.1118958	-4.7471967	-3.62605095	-3.6201253	-3.84323265	-4.534604	-4.7543087	-4.93022625
osa-miR395w_Mature	-8.8541105	-7.7711278	-7.32780565	-8.996794	-9.2647775	-7.8080769	-8.1080469	-9.1419025	-8.605803	-8.09292575	-9.2672995	-7.47082885	-8.2283	-8.76680825	-7.52295435	-8.4252365	-9.742015	-7.07643215	-9.03511	-8.15058225	-8.2548725	-7.820601	-7.23559645	-9.490103	-6.0983422	-4.85008905	-6.7714342	-7.90442515	-7.89115725	-6.433383	-5.7461133	-5.34857205	-7.81866505	-6.14018425	-4.1607283	-4.866217	-5.47565325	-4.9383563	-7.71385505	-7.8612506	-5.4512965	-7.99830005	-9.646549	-8.92009	-8.290909	-9.4120275	-9.9361655	-8.4429295	-9.434543	-8.453916	-8.394814	-9.2408055	-8.855967	-7.9286475	-8.8165525	-8.2230405	-8.25808	-8.573128	-8.9781125	-8.18314	-8.715199	-8.41648	-8.0950865	-7.20488775	-7.4302185	-10.0083655	-9.086639	-6.22831575	-9.71441975	-8.9012155	-8.1213225	-9.0615975	-9.3652905	-8.09188425	-9.13668075	-9.1056895	-8.096453	-9.392677	-8.902452	-7.5522688	-9.932774	-9.694719	-7.4822785	-8.155826	-8.687885	-7.729908	-7.85085685	-8.638719	-7.01720515	-8.6034665	-9.153668	-7.50931835	-9.3847475	-8.431734	-7.24126675	-9.551436	-8.8978035	-6.779899	-8.7706627	-9.8223635	-7.39130775	-9.1846715	-8.8395855	-7.97925015	-8.416094	-9.854544	-9.1208575	-9.491223	-9.0231405	-8.02234075	-8.75177	-9.2503975	-8.666772	-7.62168645	-7.8597615	-8.3808605	-8.21503525	-8.8364825	-9.3518745	-8.487376	-8.5722935	-8.8328595	-8.032678	-8.37247	-8.2647845	-5.3076975	-8.03117675	-7.99790235	-8.3102815	-6.519887	-8.1360552	-6.93307735	-6.80409335	-7.3086569	-6.7383099	-6.8436105	-6.35667825	-4.77330075	-5.5634472	-6.13240125	-6.9990182	-6.267059	-6.29773435
osa-miR395n_Mature	-8.9236955	-8.096451	-7.63394585	-8.96591	-9.320039	-7.816141	-8.697643	-9.384938	-8.6382915	-9.053671	-9.32728	-7.1479675	-8.256915	-9.1251965	-8.117516	-8.3609845	-8.5425465	-7.48100135	-8.31054025	-7.943797	-7.337185	-7.3760215	-7.089829	-8.7380375	-6.10605835	-5.909183	-5.3078732	-8.159198	-8.1468125	-6.91370605	-5.51214005	-4.9195582	-7.83637	-5.82095125	-3.7101698	-4.50073885	-5.20490065	-4.4279088	-7.1778815	-8.2574375	-5.0634505	-7.39636575	-9.68523825	-8.8632695	-8.3487395	-9.772326	-9.9690685	-9.024915	-9.3214665	-8.68303395	-8.385207	-9.2239	-9.676725	-8.9968605	-9.5457265	-8.667929	-8.330236	-9.903985	-9.603044	-8.2260815	-8.704396	-9.5308425	-8.1375125	-9.6647365	-8.993565	-8.264784	-9.510837	-8.182184	-9.775759	-9.502737	-9.939202	-9.654751	-9.923058	-9.0493965	-10.42219675	-9.43348125	-9.0160385	-7.72303375	-9.797254	-9.53959425	-9.997114	-9.628594	-9.66028	-7.7490632	-8.732895	-8.52448	-7.94070065	-8.391753	-6.99359535	-8.602568	-10.5875505	-8.674293	-9.1848195	-7.989943	-8.3407005	-10.20364225	-8.62088725	-8.9158195	-9.2238905	-10.4028685	-8.886173	-10.2618535	-9.048197	-8.864556	-8.3221705	-9.8360325	-9.158439	-9.551218	-8.33602885	-9.2008775	-7.5586563	-9.311493	-8.1831695	-9.2564565	-8.84539915	-9.56939775	-9.652448	-9.4068775	-9.422142	-8.6271925	-8.809311	-8.8933705	-8.925657	-8.7563085	-8.22201275	-5.365116	-8.739618	-8.56508725	-8.3741235	-7.82157235	-8.3799855	-6.84151555	-7.8953155	-8.01553575	-7.9139115	-8.072872	-7.6219812	-5.1648345	-6.5651375	-5.919477	-6.8877084	-7.055369	-7.278888
osa-miR171d_Mature	-8.718024	-9.248866	-7.5303458	-9.62478	-9.158758	-7.73240615	-8.0961405	-9.2166585	-8.521523	-8.9959715	-10.162431	-8.6047655	-8.1658495	-9.288589	-8.172777	-8.370413	-8.16357	-8.7734775	-9.81047275	-9.8090695	-8.4925	-9.5000685	-9.9753685	-9.478284	-6.3238197	-5.78275015	-6.9612169	-9.1695565	-9.5156725	-7.36142995	-9.23057	-9.0683695	-8.6322515	-9.0742395	-8.648097	-9.1085405	-7.8563015	-8.403553	-8.733047	-8.4213055	-8.3516085	-9.33433325	-10.0895255	-10.041977	-7.16723685	-9.3150025	-9.9295285	-8.904475	-9.4308515	-9.721329	-8.32295	-9.560797	-10.028979	-8.8688345	-8.896947	-9.7522055	-8.2206625	-9.7827705	-9.487845	-8.108738	-8.756786	-10.3303745	-8.0237111	-9.5411285	-9.0008725	-10.2903385	-9.549236	-8.612264	-9.652979	-9.6641045	-9.807504	-9.578494	-9.769526	-9.651662	-10.487965	-10.699656	-9.610289	-10.0846135	-10.053934	-9.517084	-9.777494	-10.368443	-8.65271215	-8.081613	-8.60325075	-8.3733915	-7.81603475	-8.5491735	-7.59103705	-8.588235	-10.4789675	-9.722125	-10.3174105	-8.375205	-8.7034505	-10.3204315	-7.2353417	-9.418738	-9.0382815	-10.0986905	-9.176784	-10.1247595	-9.621486	-9.136492	-8.2960815	-9.8376245	-9.036136	-9.43607225	-8.962879	-8.0039575	-8.70525125	-8.8289335	-9.65887325	-9.88716	-9.821193	-9.957267	-9.6881465	-9.5863515	-9.2157685	-8.0440855	-8.674438	-8.7387535	-9.1740435	-8.6354575	-8.218519	-5.24535065	-8.607315	-8.4533895	-8.255546	-7.700901	-8.4781965	-8.146218	-8.395368	-8.3588915	-7.7905368	-6.6605672	-7.30710875	-6.9295983	-7.118357	-7.3862145	-7.803167	-8.194759	-8.03291175
osa-miR160e_Mature	-3.952297	-3.55916	-2.42087335	-4.3139897	-4.51297325	-3.08995625	-5.0612182	-3.9647698	-3.02124975	-5.41988825	-4.5653359	-3.62011005	-4.623329	-4.798561	-4.042026	-4.6473527	-5.2958628	-4.3187515	-4.05708095	-3.3816471	-3.39468615	-3.89776925	-4.3075963	-3.5725727	-4.6260707	-5.32507125	-4.87902935	-4.4660478	-4.3915167	-4.94635055	-3.4357328	-3.12136075	-2.7196102	-4.108449	-3.3296971	-2.90585565	-1.4389453	-2.9984784	-3.579263	-2.87757345	-3.28889085	-4.01001835	-3.14112045	-3.0504499	-2.5906906	-3.30653755	-3.06868265	-3.38248345	-3.5218382	-3.2743521	-1.94934415	-2.9031601	-3.81010985	-3.3414855	-3.3548455	-2.07762385	-2.21256115	-2.16965055	-2.8054971	-2.4642353	-3.1902704	-2.2555561	-3.47124765	-4.456219	-3.5825	-4.346975	-4.3441925	-3.5505326	-3.52500535	-3.86514785	-3.42279435	-4.088195	-4.203073	-3.8556741	-3.67897845	-3.8474265	-3.3743553	-3.18312735	-3.3925142	-3.43321705	-3.30795145	-3.4261222	-3.37162015	-4.31707035	-3.3738589	-4.0083103	-4.36861	-3.70329735	-3.37982365	-2.8494587	-4.4267051	-4.10600935	-4.44364405	-2.7505269	-4.1287074	-4.25662805	-4.9747785	-4.2249615	-4.701847	-4.4248443	-4.51164515	-4.6696805	-4.40083125	-3.5528393	-3.5057139	-3.489459	-4.0649841	-4.4206205	-3.4324932	-4.00963445	-4.1023105	-3.37837815	-4.1624861	-4.01616885	-4.02629825	-3.7383447	-3.914362	-4.2395725	-4.3445575	-4.46473325	-4.0308421	-4.133953	-3.4056027	-3.2768853	-3.35767195	-2.32065385	-3.83849625	-3.68485025	-3.8045459	-3.74228835	-3.5884452	-3.55259205	-3.76406525	-3.61105445	-3.2002039	-3.21541925	-2.872978	-2.1204059	-2.12260415	-2.37403915	-2.9593897	-3.2355957	-3.5375571
osa-miR167f_Mature	-8.816127	-9.2957755	-7.56586455	-9.617047	-9.219308	-7.75957835	-8.616485	-9.2845955	-8.5566245	-8.9788495	-10.1888555	-7.6354205	-8.205936	-9.320462	-8.17210135	-8.41150525	-10.006931	-8.76013	-9.8183045	-9.84963625	-8.4940965	-9.5405145	-10.0705735	-9.458401	-5.59279075	-5.827258	-6.9998112	-9.2217055	-9.544501	-7.44167185	-9.247354	-8.1895115	-9.2714265	-9.099673	-7.057825	-9.141956	-7.95537825	-7.9827482	-8.781833	-8.353752	-8.413068	-9.0607385	-10.110385	-10.1188085	-8.274164	-9.122586	-9.5488465	-8.944083	-9.4122925	-9.7406125	-8.35714	-9.5954375	-10.0816845	-8.2265168	-9.4899965	-9.890491	-7.59674775	-9.8164095	-9.527341	-8.1392935	-8.783891	-10.3734315	-8.059918	-9.5750745	-9.0105875	-10.328202	-10.4395915	-8.6671465	-9.6856045	-9.6927165	-9.6766545	-9.58912	-9.8215745	-9.3155865	-10.5222365	-10.732639	-9.6438515	-10.12504	-10.0820505	-9.6801465	-10.55639	-10.4024945	-9.8926305	-7.533748	-8.0517215	-8.422682	-7.86090715	-8.6253195	-7.650169	-8.6160305	-10.51232375	-9.7839015	-10.3555225	-8.416224	-8.7565235	-10.35388425	-9.1821645	-9.49086	-9.499994	-10.331617	-9.2473345	-10.169584	-9.6716025	-9.185732	-8.39204525	-9.8750485	-9.073165	-9.4739715	-9.002865	-9.7697995	-8.7462365	-9.206918	-9.6956285	-9.9315295	-10.002577	-9.9979815	-9.736668	-9.582458	-9.2327645	-8.455695	-8.703157	-8.7857705	-9.228665	-8.671227	-8.232619	-5.2906234	-8.655288	-8.4810145	-8.285425	-7.7482712	-8.5346235	-8.1749732	-8.435076	-8.40287275	-7.83390225	-7.978879	-8.063288	-7.0130348	-7.06545805	-7.43945935	-7.863623	-8.2321875	-8.06702125
