ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534609	GSM534610	GSM534611	GSM534612	GSM534613	GSM534614	GSM534615	GSM534616	GSM534617	GSM534618	GSM534619	GSM534620	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641	GSM534642	GSM534643	GSM534644	GSM534645	GSM534646	GSM534647	GSM534648	GSM534649	GSM534650	GSM534651	GSM534652	GSM534653	GSM534654	GSM534655	GSM534656	GSM534657	GSM534658	GSM534659	GSM534660	GSM534661	GSM534662	GSM534663	GSM534664	GSM534665	GSM534666	GSM534667	GSM534668	GSM534669	GSM534670	GSM534671	GSM534672	GSM534673	GSM534674	GSM534675	GSM534676	GSM534677	GSM534678	GSM534679	GSM534680	GSM534681	GSM534682	GSM534683	GSM534685	GSM534686	GSM534687	GSM534688	GSM534689	GSM534690	GSM534691	GSM534692	GSM534693	GSM534694	GSM534695	GSM534696	GSM534697	GSM534698	GSM534699	GSM534700	GSM534701	GSM534702	GSM534703	GSM534704	GSM534705	GSM534706	GSM534707	GSM534708	GSM534709	GSM534710	GSM534711	GSM534712	GSM534713	GSM534714	GSM534715	GSM534716	GSM534717	GSM534718	GSM534719	GSM534720	GSM534721	GSM534722
osa-miR156a_Mature-1	-7.8915277	-8.096376	-7.4776278	-7.905328	-9.085885	-7.694508	-8.602214	-9.013854	-8.465136	-8.958113	-8.791543	-7.2162395	-8.104467	-8.716472	-7.026513	-7.601291	-9.739215	-8.288522	-8.166716	-7.249432	-8.410042	-5.8536773	-6.231648	-9.311415	-5.7306433	-5.7317414	-6.9172373	-7.8905745	-8.702044	-5.5033364	-5.3552437	-4.268242	-8.750447	-5.7490573	-3.1228743	-4.6765637	-4.306211	-3.440411	-6.7311645	-7.8785844	-3.955718	-7.508009	-9.486071	-7.425774	-8.188981	-9.741288	-9.892505	-8.838209	-9.3998375	-9.72591	-8.250685	-8.655156	-9.495062	-8.815948	-9.386826	-9.190431	-8.152985	-9.70604	-9.477583	-8.052199	-8.698006	-10.283052	-7.962755	-9.512951	-8.962472	-10.229465	-10.346427	-8.536768	-9.601664	-9.579413	-9.747885	-9.535596	-9.710198	-9.558657	-10.447329	-9.972536	-9.532533	-10.049235	-10.017282	-9.514734	-10.478266	-9.735331	-9.727188	-8.049293	-8.556566	-8.309583	-7.727654	-7.701512	-7.492919	-8.513458	-10.429811	-9.623089	-10.297748	-8.325552	-8.622085	-10.14582	-9.124284	-9.308926	-9.416172	-10.301145	-9.067601	-10.070593	-9.57437	-9.062115	-8.307673	-9.774564	-8.985448	-9.381139	-8.91538	-9.683523	-8.678896	-8.717014	-9.619822	-9.819607	-9.889839	-9.901171	-9.632652	-9.508064	-9.127838	-8.393709	-8.5653925	-8.691739	-8.736988	-7.9040623	-8.083439	-5.166685	-8.5234375	-8.365275	-7.765156	-7.643762	-8.420546	-8.0701065	-8.323576	-8.2956505	-7.723404	-7.8374643	-8.1530905	-6.9015093	-7.0287623	-7.295293	-7.7176456	-8.072213	-7.9450154
osa-miR156a_Mature-2	-6.8437853	-9.098058	-7.4112053	-8.999492	-8.974363	-7.6430655	-8.635154	-9.113649	-8.423618	-8.951861	-9.358765	-8.445378	-8.023531	-7.8597145	-8.246755	-7.6224403	-9.63491	-6.34077	-8.393978	-6.7831254	-8.494904	-6.2651353	-6.116802	-9.459894	-6.787883	-4.402254	-6.78191	-6.371498	-8.2453985	-6.455554	-5.271681	-4.3402777	-8.10341	-5.418334	-3.054326	-4.34675	-4.3229666	-3.4583383	-6.6646323	-6.707619	-3.80234	-7.477696	-9.992141	-7.40544	-8.099929	-9.773857	-9.944882	-8.730519	-9.429253	-9.541398	-8.2132435	-9.406006	-9.84773	-8.693006	-9.314224	-9.32053	-8.10028	-9.637279	-9.353622	-8.01984	-8.623322	-9.408762	-7.864478	-9.369644	-8.905798	-10.153591	-10.266253	-8.451353	-9.49888	-9.524643	-9.638788	-9.491256	-9.618932	-9.497022	-10.3520565	-10.562752	-9.487061	-9.927804	-9.927124	-9.47692	-10.380318	-10.22236	-9.662814	-7.886649	-8.455875	-8.224106	-7.660242	-8.308073	-7.3997016	-8.441349	-10.336797	-9.537516	-10.134294	-8.236463	-8.530304	-10.143706	-9.055229	-9.234967	-9.32661	-9.485193	-9.003287	-9.986767	-9.478442	-8.996315	-6.783104	-9.721519	-8.87974	-9.314787	-8.818898	-9.604907	-8.54488	-9.06152	-9.517051	-9.743576	-9.836221	-9.813071	-9.499421	-9.474793	-9.036423	-6.595645	-8.402948	-8.542552	-9.015257	-8.051944	-8.0784445	-5.1010237	-8.442476	-8.324768	-8.137162	-7.554662	-8.272924	-8.019076	-8.290699	-8.27906	-7.6796246	-7.7712917	-8.090477	-6.8634896	-6.0715322	-6.291713	-7.644928	-8.079614	-7.916627
osa-miR156b_Mature-1	-8.0973	-8.47963	-7.619687	-9.59138	-9.332653	-7.821356	-8.707886	-9.396732	-8.644949	-9.063125	-8.887057	-8.705522	-8.259429	-8.101829	-7.451021	-8.462919	-8.475188	-7.51204	-8.451794	-7.2556667	-7.808781	-6.448028	-6.48904	-9.589676	-6.259118	-5.9062176	-7.0597825	-7.559478	-8.386296	-7.3568373	-5.603335	-4.495066	-8.4795885	-6.071099	-3.3161192	-4.6605935	-4.4786363	-3.5806122	-6.555077	-7.609162	-4.2303834	-7.3628955	-10.161579	-8.8278675	-8.349504	-9.799726	-9.976767	-8.534674	-9.49205	-9.821657	-6.616314	-9.562177	-10.195382	-8.993477	-9.542794	-9.556858	-5.8708835	-9.918152	-9.587196	-8.232379	-8.841463	-10.457424	-8.128329	-9.664378	-9.088272	-9.597193	-9.744022	-8.504352	-9.754964	-9.789872	-9.940973	-9.6376	-9.91708	-9.789742	-10.610367	-10.811075	-8.329218	-9.598276	-10.150686	-8.559816	-10.656419	-9.938338	-9.380545	-8.192173	-5.2578063	-8.527081	-7.918838	-8.704402	-7.7726355	-8.6616	-9.91327	-9.740216	-10.443569	-8.479622	-7.794941	-10.287353	-9.248558	-9.6168165	-9.532306	-10.185263	-8.831419	-10.26016	-9.755387	-6.0120916	-8.482088	-9.922021	-9.157694	-9.544843	-9.066967	-9.849443	-8.80138	-9.321383	-9.753074	-10.040017	-10.112937	-9.688683	-9.839766	-9.654952	-9.409147	-8.636211	-8.794998	-8.887047	-7.8832865	-7.1991796	-8.305227	-5.342797	-8.740231	-7.826719	-7.412993	-7.1812773	-8.614389	-8.28199	-8.519852	-8.486027	-7.916522	-8.087342	-8.136289	-7.1577144	-7.2645087	-6.522903	-7.967677	-8.336264	-8.123486
osa-miR156b_Mature-2	-7.9048357	-8.866343	-7.308837	-8.79026	-8.982431	-7.6121435	-8.635528	-9.062554	-8.330418	-8.99218	-8.421729	-6.7134924	-7.93165	-7.9929495	-8.140903	-8.110101	-9.744427	-8.72353	-7.8619413	-7.0525913	-8.4771385	-6.087898	-6.072751	-9.493143	-5.57491	-5.5692434	-6.7339554	-7.4649496	-8.821702	-7.198429	-5.580686	-4.248926	-8.594769	-5.4600487	-3.1367636	-4.4083214	-4.2682066	-3.519228	-6.8836226	-7.471448	-4.122779	-8.51525	-9.940863	-7.998041	-8.031876	-9.720808	-9.937332	-8.7065735	-9.421911	-9.754941	-8.142284	-7.9868264	-9.842734	-8.678847	-8.7682085	-9.212196	-7.945174	-9.577173	-9.304941	-7.914587	-8.517571	-10.156372	-7.79385	-9.367703	-8.772856	-10.054765	-10.186312	-8.4184265	-9.454219	-9.438736	-9.5633745	-9.384493	-9.567291	-9.432745	-10.253509	-9.775162	-9.361613	-9.921307	-9.562347	-9.462728	-10.323981	-10.168703	-9.641967	-7.9083433	-8.433048	-8.20023	-7.5277777	-8.375415	-7.3838983	-8.2845	-10.282375	-9.544843	-10.135097	-8.160673	-8.495898	-9.569389	-8.724875	-9.25972	-9.254287	-9.581799	-8.978167	-9.924935	-9.451128	-8.972753	-8.220489	-9.524628	-8.858864	-9.220134	-8.745775	-9.502761	-8.467166	-8.994786	-9.443631	-9.516	-9.803569	-8.605766	-9.5124855	-9.296928	-9.053516	-8.39116	-7.9649525	-8.556822	-9.011811	-8.087105	-7.9679213	-4.996263	-6.719638	-8.177698	-8.038711	-7.484003	-7.825864	-7.9171515	-8.235167	-7.707843	-7.3814573	-7.7286987	-8.067188	-6.2684193	-6.9077654	-7.203307	-7.618602	-8.028013	-7.8822784
osa-miR156c_Mature-1	-6.6460915	-7.731741	-7.3915358	-8.848288	-8.955553	-7.6255693	-8.615356	-9.099161	-8.403505	-8.943581	-8.20514	-8.198525	-7.995356	-8.937664	-8.238983	-8.201605	-8.9704075	-8.525165	-7.986991	-6.914	-8.478093	-6.250767	-6.2448115	-9.448373	-5.651105	-5.284283	-6.762323	-6.9758453	-7.3070107	-7.195678	-5.405334	-4.29516	-8.22934	-5.7671194	-3.1616888	-4.500228	-4.1324377	-3.400648	-6.4913764	-6.932224	-3.8419242	-7.5456815	-9.970526	-7.567677	-4.7117095	-9.753468	-9.9292	-8.705246	-9.416937	-8.107424	-8.18964	-8.925101	-9.717688	-8.403463	-9.288494	-9.221401	-8.074972	-9.612819	-9.328768	-7.9943657	-8.601054	-10.170702	-2.0361319	-9.350956	-8.888225	-10.127261	-10.24053	-8.424335	-9.475255	-9.496289	-9.613536	-9.47348	-9.591033	-9.468145	-10.3306055	-10.543996	-9.455331	-9.911868	-9.912712	-9.454633	-10.360087	-10.203879	-9.634449	-7.8718133	-8.433045	-8.195022	-7.6344247	-8.295074	-7.370747	-8.408904	-10.314824	-9.511771	-10.115565	-8.212244	-8.500161	-10.12711	-9.0187	-9.2089615	-9.306885	-10.054796	-8.974395	-9.957143	-9.450438	-8.966058	-7.9642634	-9.693796	-8.853945	-9.287521	-8.790337	-9.57773	-8.523387	-9.039231	-9.489136	-9.712862	-9.803582	-9.784402	-8.738526	-8.974523	-9.005207	-6.726763	-8.370409	-8.523558	-7.8622875	-7.805724	-8.032694	-5.07294	-8.414365	-7.8585086	-7.813572	-7.533474	-7.296426	-7.9943867	-8.265062	-8.249674	-7.654213	-7.744665	-8.064775	-6.8346686	-6.99376	-7.227398	-7.6232905	-8.052334	-7.892496
osa-miR156c_Mature-2	-7.665883	-9.032998	-7.6613646	-8.951908	-9.361813	-6.771555	-7.614864	-9.379102	-8.661742	-7.4998927	-9.371321	-7.2572556	-8.304549	-8.8204155	-8.347299	-7.255569	-10.102069	-7.339402	-8.392832	-7.023577	-8.65712	-6.376556	-6.4591455	-9.621298	-6.846552	-4.323742	-7.0971084	-7.414344	-8.010136	-7.573276	-5.5871105	-4.4992046	-9.411871	-5.9428606	-3.2841806	-4.6818447	-4.4419456	-3.5161867	-6.935125	-7.126232	-4.182827	-8.029403	-10.19956	-8.675087	-4.0799174	-9.83607	-9.949461	-9.07068	-6.0007	-9.81865	-8.470627	-8.714739	-9.911156	-9.019322	-9.569022	-9.998383	-8.3713455	-9.95924	-9.575495	-8.248341	-8.890682	-10.469114	-6.7605605	-9.669996	-9.113709	-10.437933	-9.424448	-8.816121	-9.794826	-9.840091	-9.976456	-9.670627	-9.936996	-9.850266	-10.616634	-10.777973	-9.78303	-10.205487	-10.162061	-9.399951	-10.68025	-10.489759	-10.066219	-8.22169	-8.739212	-8.544255	-8.000917	-8.707204	-7.8305974	-8.741591	-10.617171	-9.96485	-10.430849	-8.518327	-8.90407	-10.418188	-9.265501	-9.682922	-9.602556	-10.374193	-9.441217	-10.273626	-9.768656	-9.328646	-8.46236	-9.981892	-9.177475	-9.568455	-9.097204	-9.876554	-8.82558	-9.323242	-9.778995	-10.059125	-10.140738	-10.110978	-9.856318	-9.723858	-9.443402	-8.377747	-8.899486	-7.6036196	-8.678985	-7.045463	-1.9454403	-5.4041443	-8.793829	-7.901957	-7.870758	-7.846822	-8.63655	-8.336845	-7.80215	-8.49678	-7.9403434	-8.122551	-8.413977	-5.818865	-7.307942	-7.58073	-8.003806	-8.41475	-7.700056
osa-miR156d_Mature-1	-6.111935	-7.2268453	-7.6267214	-7.2222977	-9.313484	-6.5821266	-7.9310493	-9.353608	-8.615412	-7.7257347	-8.579047	-5.7373385	-8.206342	-8.302221	-7.77958	-6.6354623	-8.613861	-7.702346	-8.077687	-7.0108814	-8.65399	-6.082823	-6.0337634	-9.631191	-6.3591986	-5.9039183	-7.074665	-7.103821	-7.674412	-5.8479037	-5.5129547	-4.2496943	-9.355633	-5.7460394	-3.2480621	-4.5672216	-4.541976	-3.4414148	-6.681378	-7.307012	-4.0934906	-8.183789	-8.170081	-7.5235786	-8.342743	-7.5716124	-8.566949	-9.017523	-8.945686	-8.924527	-8.2023945	-8.8085575	-8.33997	-8.987644	-8.771798	-8.469201	-8.342248	-9.910944	-9.577578	-8.210342	-8.855963	-10.443904	-8.131592	-9.657513	-9.103839	-9.943239	-10.534592	-8.771062	-8.295486	-9.277916	-9.929863	-9.643393	-9.209876	-9.663947	-9.159044	-10.778094	-7.912512	-9.341838	-10.132547	-9.781187	-8.992027	-10.137393	-10.00093	-8.198517	-8.712275	-8.504519	-7.9586744	-8.707639	-3.5304108	-8.7060175	-10.579148	-9.891481	-10.414861	-8.5049	-8.848093	-8.598431	-9.272157	-9.604959	-9.570458	-7.1714363	-9.369776	-8.564011	-7.737105	-9.291351	-8.472082	-9.269709	-9.14031	-9.537057	-9.085563	-9.863102	-8.830127	-9.312672	-9.76198	-8.8076315	-10.097716	-6.6576095	-9.805279	-9.678573	-9.404996	-8.579525	-8.873684	-8.891134	-9.323851	-7.8081317	-7.513529	-5.3496547	-8.414596	-7.9187875	-7.3944397	-7.796917	-8.014662	-7.8712783	-8.498403	-8.314768	-7.8108006	-7.979922	-5.968028	-7.1768284	-6.5912642	-7.505647	-7.9438405	-8.328514	-8.12417
osa-miR156d_Mature-2	-7.8461266	-8.582165	-6.028459	-7.957492	-7.951639	-7.0122886	-8.700132	-9.338944	-8.581845	-9.10339	-8.925377	-7.6455097	-8.2188635	-8.042124	-7.2273607	-7.096071	-9.061825	-8.811853	-8.050614	-7.087478	-8.583558	-6.260332	-6.4198027	-9.020435	-4.9212513	-5.857568	-7.0179567	-7.836549	-4.7489467	-6.5923815	-5.439734	-4.4453096	-4.444293	-5.9275155	-3.2589178	-4.6408916	-4.4091787	-3.4463425	-6.084524	-7.187375	-4.1561303	-6.675032	-10.157098	-7.8608685	-8.167165	-9.819575	-9.283155	-8.959068	-9.507232	-9.847628	-7.2485847	-8.350968	-10.09672	-7.905798	-9.0809145	-9.289053	-8.210686	-9.820156	-9.50452	-7.4725266	-8.767486	-10.37892	-8.074835	-9.601158	-9.034487	-7.5335407	-10.454044	-8.705022	-9.702126	-9.690248	-6.9039583	-9.6116905	-5.690454	-9.720877	-10.518566	-10.769541	-5.553978	-10.154731	-10.102186	-9.751182	-10.576976	-10.428451	-9.944481	-8.140724	-7.997611	-7.7357965	-7.8313613	-8.644225	-7.6713815	-8.533047	-10.522267	-9.825381	-9.732267	-6.3686423	-8.771685	-9.597161	-8.930819	-9.55013	-9.49842	-10.350576	-8.820501	-10.189119	-9.693485	-9.224974	-8.435469	-9.176883	-9.102833	-9.4696665	-9.006336	-9.766503	-8.732494	-9.212789	-9.698912	-9.142378	-9.722162	-9.874718	-9.758316	-9.531763	-9.375406	-8.734457	-8.460594	-8.8315115	-9.272552	-8.621574	-8.226911	-5.2694154	-3.5932326	-8.436412	-8.123177	-7.749509	-8.006694	-8.239576	-8.47117	-4.9651074	-7.8883257	-8.016541	-8.331277	-6.8913713	-7.203409	-6.3714	-7.0136986	-7.070945	-8.117128
osa-miR156e_Mature-1	-8.888613	-9.273706	-7.5966177	-8.174317	-5.314873	-7.782055	-8.692806	-9.332293	-6.779816	-9.039134	-9.284281	-7.3890295	-4.7641153	-8.061242	-8.189477	-8.362243	-8.710542	-5.774992	-8.443721	-7.109742	-8.51528	-6.43892	-6.5077157	-9.523516	-6.747202	-4.700941	-7.0460987	-7.396142	-8.337318	-6.7547483	-5.617408	-4.438261	-9.244065	-5.8334637	-3.2805624	-4.8046217	-4.0790143	-3.4693193	-6.8419595	-7.4401636	-3.970347	-7.60388	-10.000793	-8.296205	-5.7225533	-9.832348	-9.964498	-7.9487104	-9.47422	-9.791738	-8.374754	-9.657195	-10.118025	-8.957872	-9.516866	-9.237458	-8.297567	-9.849595	-9.594771	-8.187829	-8.82588	-10.2898655	-8.095263	-9.640881	-9.080105	-10.383942	-10.496135	-8.725386	-9.747093	-9.726061	-9.893447	-9.63441	-9.88028	-9.723813	-10.573456	-10.769827	-9.695625	-10.155094	-10.111254	-9.6944275	-10.613192	-10.463104	-9.927089	-8.168472	-5.135736	-7.4717946	-7.885392	-8.694815	-7.6692357	-8.655716	-10.548434	-9.805654	-9.96858	-8.472461	-8.79281	-10.403201	-9.214742	-9.508527	-9.547862	-9.211626	-9.281087	-9.115919	-8.857947	-9.238309	-8.454492	-9.929824	-9.121565	-9.515446	-9.064925	-9.834822	-8.811854	-9.293152	-9.004717	-8.788211	-7.3571324	-9.390001	-8.875746	-8.831615	-9.380698	-8.585798	-8.766096	-8.855713	-9.259796	-8.573559	-8.247438	-5.3137665	-8.387813	-8.516265	-8.33466	-7.779668	-8.200817	-8.241299	-8.460721	-8.429399	-7.863266	-8.003656	-8.303714	-7.0153456	-7.1998286	-7.4560657	-7.878954	-8.228162	-8.07979
osa-miR156e_Mature-2	-7.0956736	-7.2003927	-7.559987	-8.15144	-9.216287	-7.7708025	-8.449158	-9.264387	-7.265129	-8.951817	-10.182688	-7.258238	-8.180895	-7.963194	-8.1483345	-8.396346	-8.14916	-7.7122197	-8.17742	-6.9292293	-8.440624	-6.225031	-6.203596	-9.422488	-6.043276	-5.8121996	-6.9952774	-7.14685	-7.9585304	-6.9779162	-5.424523	-4.356726	-8.916157	-6.011106	-3.2079039	-4.7760973	-3.9116173	-3.5668569	-6.749857	-7.1174135	-4.053741	-7.382859	-10.116534	-8.28716	-8.281919	-9.700338	-9.891764	-8.434006	-9.387949	-9.56601	-8.379904	-8.067438	-10.063585	-8.916228	-9.464396	-9.91924	-8.249207	-9.832201	-9.524017	-8.171616	-8.801306	-10.379617	-8.067418	-9.545976	-9.036556	-10.322616	-9.452784	-8.671373	-9.6896305	-9.733587	-9.693513	-9.602429	-9.797984	-9.71393	-10.164324	-8.555693	-9.659929	-10.1549425	-10.089006	-9.664017	-10.599081	-10.425388	-6.2094574	-8.133441	-8.650767	-8.110601	-7.8211813	-8.608455	-7.650671	-8.601373	-10.549213	-9.78539	-10.384563	-8.396419	-8.753749	-10.341403	-9.163631	-9.476212	-9.500714	-9.869443	-9.236294	-10.178381	-9.659243	-9.192992	-8.3914	-9.840127	-9.097435	-9.474322	-7.45603	-7.709697	-8.722155	-9.259981	-8.418835	-8.35823	-10.029205	-9.236927	-9.773109	-9.624933	-9.315085	-8.400454	-8.689669	-8.8129425	-8.455224	-7.9665556	-8.226541	-5.285325	-8.65754	-8.134043	-8.283353	-7.104425	-8.531991	-8.190235	-8.441349	-8.384769	-7.833384	-8.002615	-7.706458	-7.01834	-7.0224934	-7.4536576	-7.8495197	-8.251298	-7.944366
