Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Characteristics[cultivar]	Characteristics[developmental stage]	Characteristics[sampling time point]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[organism part]	FactorValue[developmental stage]	FactorValue[sampling time point]
GSM534652	Gene expression of 1.6-2.0 mm anther	1.6-2.0 mm anther, replicate 3	Anther_1.6-2.0 mm_rep3	Oryza sativa Japonica Group	Nipponbare	1.6-2.0 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534652 extract 1	total RNA	P-GSE21396-4	GSM534652 LE 1	Cy3	P-GSE21396-5	GSM534652	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534652_US22502560_251524111781_S01_GE1-v5_95_Feb07_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534652_sample_table.txt norm	GSM534652_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	1.6-2.0 mm	Daytime
GSM534651	Gene expression of 1.6-2.0 mm anther	1.6-2.0 mm anther, replicate 2	Anther_1.6-2.0 mm_rep2	Oryza sativa Japonica Group	Nipponbare	1.6-2.0 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534651 extract 1	total RNA	P-GSE21396-4	GSM534651 LE 1	Cy3	P-GSE21396-5	GSM534651	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534651_US22502590_251524111239_S01_GE1-v5_95_Feb07_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534651_sample_table.txt norm	GSM534651_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	1.6-2.0 mm	Daytime
GSM534650	Gene expression of 1.6-2.0 mm anther	1.6-2.0 mm anther, replicate 1	Anther_1.6-2.0 mm_rep1	Oryza sativa Japonica Group	Nipponbare	1.6-2.0 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534650 extract 1	total RNA	P-GSE21396-4	GSM534650 LE 1	Cy3	P-GSE21396-5	GSM534650	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534650_US22502560_251524111238_S01_GE1-v5_95_Feb07_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534650_sample_table.txt norm	GSM534650_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	1.6-2.0 mm	Daytime
GSM534649	Gene expression of 1.2-1.5 mm anther	1.2-1.5 mm anther, replicate 3	Anther_1.2-1.5 mm_rep3	Oryza sativa Japonica Group	Nipponbare	1.2-1.5 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534649 extract 1	total RNA	P-GSE21396-4	GSM534649 LE 1	Cy3	P-GSE21396-5	GSM534649	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534649_US22502560_251524111781_S01_GE1-v5_95_Feb07_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534649_sample_table.txt norm	GSM534649_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	1.2-1.5 mm	Daytime
GSM534648	Gene expression of 1.2-1.5 mm anther	1.2-1.5 mm anther, replicate 2	Anther_1.2-1.5 mm_rep2	Oryza sativa Japonica Group	Nipponbare	1.2-1.5 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534648 extract 1	total RNA	P-GSE21396-4	GSM534648 LE 1	Cy3	P-GSE21396-5	GSM534648	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534648_US22502590_251524111253_S01_GE1-v5_95_Feb07_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534648_sample_table.txt norm	GSM534648_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	1.2-1.5 mm	Daytime
GSM534647	Gene expression of 1.2-1.5 mm anther	1.2-1.5 mm anther, replicate 1	Anther_1.2-1.5 mm_rep1	Oryza sativa Japonica Group	Nipponbare	1.2-1.5 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534647 extract 1	total RNA	P-GSE21396-4	GSM534647 LE 1	Cy3	P-GSE21396-5	GSM534647	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534647_US22502560_251524111238_S01_GE1-v5_95_Feb07_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534647_sample_table.txt norm	GSM534647_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	1.2-1.5 mm	Daytime
GSM534646	Gene expression of 0.7-1.0 mm anther	0.7-1.0 mm anther, replicate 3	Anther_0.7-1.0 mm_rep3	Oryza sativa Japonica Group	Nipponbare	0.7-1.0 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534646 extract 1	total RNA	P-GSE21396-4	GSM534646 LE 1	Cy3	P-GSE21396-5	GSM534646	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534646_US22502560_251524111780_S01_GE1-v5_95_Feb07_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534646_sample_table.txt norm	GSM534646_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	0.7-1.0 mm	Daytime
GSM534645	Gene expression of 0.7-1.0 mm anther	0.7-1.0 mm anther, replicate 2	Anther_0.7-1.0 mm_rep2	Oryza sativa Japonica Group	Nipponbare	0.7-1.0 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534645 extract 1	total RNA	P-GSE21396-4	GSM534645 LE 1	Cy3	P-GSE21396-5	GSM534645	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534645_US22502560_251524111238_S01_GE1-v5_95_Feb07_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534645_sample_table.txt norm	GSM534645_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	0.7-1.0 mm	Daytime
GSM534644	Gene expression of 0.7-1.0 mm anther	0.7-1.0 mm anther, replicate 1	Anther_0.7-1.0 mm_rep1	Oryza sativa Japonica Group	Nipponbare	0.7-1.0 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534644 extract 1	total RNA	P-GSE21396-4	GSM534644 LE 1	Cy3	P-GSE21396-5	GSM534644	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534644_US22502560_251524111238_S01_GE1-v5_95_Feb07_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534644_sample_table.txt norm	GSM534644_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	0.7-1.0 mm	Daytime
GSM534643	Gene expression of 0.3-0.6 mm anther	0.3-0.6 mm anther, replicate 2	Anther_0.3-0.6 mm_rep2	Oryza sativa Japonica Group	Nipponbare	0.3-0.6 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534643 extract 1	total RNA	P-GSE21396-4	GSM534643 LE 1	Cy3	P-GSE21396-5	GSM534643	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534643_US22502560_251524111237_S01_GE1-v5_95_Feb07_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534643_sample_table.txt norm	GSM534643_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	0.3-0.6 mm	Daytime
