probeName	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534609	GSM534610	GSM534611	GSM534612	GSM534613	GSM534614	GSM534615	GSM534616	GSM534617	GSM534618	GSM534619	GSM534620	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641	GSM534642	GSM534643	GSM534644	GSM534645	GSM534646	GSM534647	GSM534648	GSM534649	GSM534650	GSM534651	GSM534652	GSM534653	GSM534654	GSM534655	GSM534656	GSM534657	GSM534658	GSM534659	GSM534660	GSM534661	GSM534662	GSM534663	GSM534664	GSM534665	GSM534666	GSM534667	GSM534668	GSM534669	GSM534670	GSM534671	GSM534672	GSM534673	GSM534674	GSM534675	GSM534676	GSM534677	GSM534678	GSM534679	GSM534680	GSM534681	GSM534682	GSM534683	GSM534685	GSM534686	GSM534687	GSM534688	GSM534689	GSM534690	GSM534691	GSM534692	GSM534693	GSM534694	GSM534695	GSM534696	GSM534697	GSM534698	GSM534699	GSM534700	GSM534701	GSM534702	GSM534703	GSM534704	GSM534705	GSM534706	GSM534707	GSM534708	GSM534709	GSM534710	GSM534711	GSM534712	GSM534713	GSM534714	GSM534715	GSM534716	GSM534717	GSM534718	GSM534719	GSM534720	GSM534721	GSM534722
osa-miR156a_3'seq-1	-7.667075	-8.30429	-7.5553274	-7.036065	-7.811864	-7.7561407	-8.708636	-7.356106	-8.590448	-8.707705	-10.180805	-8.637183	-8.21373	-9.332353	-8.330371	-7.9540825	-10.004369	-8.760555	-9.34808	-9.591528	-8.039083	-9.586391	-10.183771	-9.600211	-4.8872046	-5.8549013	-7.0175667	-6.1979566	-9.536282	-7.4851456	-9.080581	-9.182359	-9.283321	-9.128942	-8.670853	-7.0795035	-5.2250695	-5.8970127	-7.5734897	-5.9948907	-7.19864	-7.3539143	-9.176751	-10.175758	-8.268328	-8.059712	-7.933206	-8.109643	-9.51102	-9.850276	-8.361682	-8.241714	-8.583723	-8.933347	-9.254175	-9.120265	-8.231596	-9.556717	-9.523834	-8.159386	-8.780915	-9.034332	-7.9786873	-7.7637296	-6.905694	-8.567914	-8.464877	-8.700715	-9.713261	-5.5411973	-8.474127	-9.479902	-8.777641	-9.72233	-8.180424	-8.44722	-7.4161	-8.161097	-7.3863063	-8.616045	-8.476833	-8.575371	-8.121237	-8.139911	-8.579664	-7.365654	-7.8574076	-5.0666966	-6.4901524	-8.554531	-8.244406	-7.5477114	-7.060995	-8.420887	-8.777665	-7.6302633	-9.038579	-9.541234	-9.479097	-8.76	-9.302909	-9.800251	-5.6401997	-7.5241594	-8.336034	-8.644324	-9.105003	-9.483325	-8.311981	-9.776321	-7.859456	-8.0254	-9.703391	-9.969061	-10.054325	-10.033436	-9.765734	-7.9676313	-9.395072	-8.749878	-7.468416	-7.5252724	-9.273375	-8.646711	-8.238873	-5.273925	-7.4082184	-8.401985	-8.302444	-7.756279	-8.56819	-8.2242985	-7.4767914	-7.872224	-7.2376814	-8.017284	-4.878622	-7.000098	-7.216549	-7.502863	-7.352294	-8.279106	-8.085059
osa-miR156a_3'seq-2	-8.798829	-7.8620453	-7.5555563	-9.658898	-9.213752	-7.7667255	-8.585726	-8.200727	-8.584091	-8.954373	-8.744911	-8.634177	-8.175686	-9.01838	-8.150036	-8.388796	-10.007324	-8.782497	-9.136236	-8.951351	-8.444227	-9.54821	-10.160858	-9.425299	-6.9760876	-5.8102098	-6.8368874	-9.20969	-8.805882	-7.451888	-8.64149	-9.141204	-9.28972	-9.124741	-8.676958	-9.16082	-5.147635	-5.7983375	-8.79668	-6.9142685	-7.415592	-7.8042645	-9.02208	-10.102301	-8.279119	-8.382634	-9.308791	-8.96093	-8.7820635	-9.18789	-8.374128	-7.8764625	-7.4176326	-8.914559	-9.467682	-9.260994	-8.243523	-8.489775	-5.8746877	-8.169098	-6.952867	-8.488843	-8.0616	-9.165074	-7.442321	-8.504998	-8.384989	-8.666302	-9.6864395	-9.72712	-9.3365555	-8.945602	-8.613586	-9.705893	-8.666304	-8.537966	-8.939218	-7.9295816	-7.5729723	-9.654351	-9.049579	-8.392837	-9.65686	-6.577863	-8.581984	-8.436787	-6.5311956	-8.612516	-7.3229465	-8.006171	-8.286664	-9.505273	-8.149736	-8.393449	-8.747937	-7.88914	-7.7575374	-9.46998	-7.326516	-8.485861	-9.22962	-10.175389	-9.032902	-7.79953	-8.39915	-9.250041	-9.094229	-9.47294	-8.981537	-9.764408	-8.722316	-8.378768	-9.6694	-9.009971	-10.026901	-10.022377	-7.0920725	-8.677467	-9.305352	-8.451451	-8.683658	-8.238448	-9.234328	-8.6672125	-8.214199	-5.277627	-8.652612	-8.484068	-8.279327	-7.7334585	-8.530846	-8.183406	-8.436588	-8.401251	-7.8307934	-7.9971166	-8.3174	-7.0173273	-7.1572523	-7.4485397	-7.8459353	-7.3054886	-8.067987
osa-miR156a_5'seq-1	-6.762487	-8.589176	-7.307626	-7.933797	-8.889075	-7.571591	-8.479568	-9.018791	-8.293655	-8.899519	-9.8466425	-8.209609	-7.8025274	-9.012142	-7.5746164	-7.5796347	-8.813885	-7.457137	-8.675215	-7.500536	-8.39756	-6.8049088	-6.3609233	-9.3970585	-6.103999	-5.019001	-6.681125	-8.019533	-8.4642725	-7.10529	-4.536315	-4.1882463	-6.786755	-4.5738287	-3.2045574	-2.5884771	-3.836926	-3.7180314	-5.899748	-7.167104	-4.5111322	-6.064669	-8.834208	-8.878399	-7.942458	-9.642418	-9.819058	-8.606794	-9.336042	-9.191083	-8.07817	-9.252931	-8.457489	-7.294433	-9.105534	-9.218053	-7.936425	-9.507286	-9.193862	-7.849578	-8.487846	-9.829962	-7.7513595	-8.681372	-7.610959	-9.983518	-8.451271	-8.294875	-8.679876	-9.351885	-9.5090685	-9.387438	-8.760538	-9.332174	-8.405262	-8.430774	-8.931453	-8.64206	-8.51988	-8.609549	-9.901392	-9.296916	-9.100567	-7.8302927	-8.320656	-7.6693735	-7.525699	-8.238442	-7.2760844	-8.257927	-9.134789	-8.37481	-8.4914055	-8.092361	-8.373715	-10.081502	-8.836079	-9.116535	-9.20853	-9.188153	-8.861779	-9.808507	-8.79492	-7.456983	-7.984111	-9.534304	-8.738888	-9.15084	-8.651655	-9.441333	-8.2585125	-8.91736	-9.369187	-9.57119	-9.637384	-9.64432	-9.3840275	-9.25136	-8.770395	-7.7411757	-8.198829	-8.418734	-8.901562	-7.9977336	-7.835643	-4.927009	-8.293456	-6.861772	-7.9491343	-7.430395	-8.1931095	-7.8982215	-7.125998	-8.104875	-7.535037	-7.6342897	-7.3710084	-6.72285	-6.8449583	-7.124369	-7.387018	-7.696653	-7.268591
osa-miR156a_5'seq-2	-8.080964	-7.3650746	-7.508632	-9.671953	-7.211977	-7.7177124	-8.690174	-7.4861	-8.547267	-9.08301	-9.256319	-7.8565474	-7.9788294	-9.291786	-8.295866	-7.933627	-9.039283	-7.813361	-7.964878	-8.264628	-8.577849	-7.0140095	-6.6251826	-9.502144	-4.526801	-5.8029594	-5.982321	-7.5874424	-7.533848	-7.433015	-4.618718	-4.3647184	-6.8123827	-4.581375	-3.324932	-2.7642813	-3.903439	-3.781858	-6.0888534	-6.774117	-4.770316	-6.2420335	-10.094979	-8.841037	-8.226141	-5.8679557	-9.991266	-8.903007	-8.826744	-8.973985	-8.312567	-9.42558	-10.059319	-8.866468	-9.210498	-9.36413	-8.184786	-9.278658	-6.6272697	-8.116388	-7.2762437	-10.115225	-8.026056	-8.299141	-6.655396	-8.448863	-7.8859735	-8.10108	-8.914666	-9.6746235	-8.368545	-9.577999	-8.939074	-8.03228	-8.795201	-8.467771	-7.2316375	-8.878545	-7.848401	-9.675954	-8.529882	-8.81192	-7.362187	-6.3041925	-8.644532	-7.548997	-7.7977805	-8.609823	-7.6139174	-8.4066105	-8.310936	-7.656358	-7.54605	-8.371308	-7.6264944	-9.477078	-9.006698	-8.199108	-7.8919315	-7.8897076	-8.018634	-10.153939	-9.646742	-6.969996	-8.389127	-9.795485	-9.062132	-9.439596	-8.965969	-9.727378	-5.80244	-9.212303	-9.654705	-9.921851	-10.007051	-9.986753	-9.719265	-9.597331	-9.348813	-8.714509	-8.672844	-7.073659	-9.217121	-7.5837064	-8.178198	-5.221067	-7.9565926	-7.1110926	-7.6164618	-7.706826	-8.515331	-8.155456	-7.9111285	-7.0817237	-7.828435	-7.696968	-7.507064	-6.9593334	-7.1589966	-7.441519	-7.8779516	-6.5061226	-8.029845
osa-miR156a_Mature-1	-7.8915277	-8.096376	-7.4776278	-7.905328	-9.085885	-7.694508	-8.602214	-9.013854	-8.465136	-8.958113	-8.791543	-7.2162395	-8.104467	-8.716472	-7.026513	-7.601291	-9.739215	-8.288522	-8.166716	-7.249432	-8.410042	-5.8536773	-6.231648	-9.311415	-5.7306433	-5.7317414	-6.9172373	-7.8905745	-8.702044	-5.5033364	-5.3552437	-4.268242	-8.750447	-5.7490573	-3.1228743	-4.6765637	-4.306211	-3.440411	-6.7311645	-7.8785844	-3.955718	-7.508009	-9.486071	-7.425774	-8.188981	-9.741288	-9.892505	-8.838209	-9.3998375	-9.72591	-8.250685	-8.655156	-9.495062	-8.815948	-9.386826	-9.190431	-8.152985	-9.70604	-9.477583	-8.052199	-8.698006	-10.283052	-7.962755	-9.512951	-8.962472	-10.229465	-10.346427	-8.536768	-9.601664	-9.579413	-9.747885	-9.535596	-9.710198	-9.558657	-10.447329	-9.972536	-9.532533	-10.049235	-10.017282	-9.514734	-10.478266	-9.735331	-9.727188	-8.049293	-8.556566	-8.309583	-7.727654	-7.701512	-7.492919	-8.513458	-10.429811	-9.623089	-10.297748	-8.325552	-8.622085	-10.14582	-9.124284	-9.308926	-9.416172	-10.301145	-9.067601	-10.070593	-9.57437	-9.062115	-8.307673	-9.774564	-8.985448	-9.381139	-8.91538	-9.683523	-8.678896	-8.717014	-9.619822	-9.819607	-9.889839	-9.901171	-9.632652	-9.508064	-9.127838	-8.393709	-8.5653925	-8.691739	-8.736988	-7.9040623	-8.083439	-5.166685	-8.5234375	-8.365275	-7.765156	-7.643762	-8.420546	-8.0701065	-8.323576	-8.2956505	-7.723404	-7.8374643	-8.1530905	-6.9015093	-7.0287623	-7.295293	-7.7176456	-8.072213	-7.9450154
osa-miR156a_Mature-2	-6.8437853	-9.098058	-7.4112053	-8.999492	-8.974363	-7.6430655	-8.635154	-9.113649	-8.423618	-8.951861	-9.358765	-8.445378	-8.023531	-7.8597145	-8.246755	-7.6224403	-9.63491	-6.34077	-8.393978	-6.7831254	-8.494904	-6.2651353	-6.116802	-9.459894	-6.787883	-4.402254	-6.78191	-6.371498	-8.2453985	-6.455554	-5.271681	-4.3402777	-8.10341	-5.418334	-3.054326	-4.34675	-4.3229666	-3.4583383	-6.6646323	-6.707619	-3.80234	-7.477696	-9.992141	-7.40544	-8.099929	-9.773857	-9.944882	-8.730519	-9.429253	-9.541398	-8.2132435	-9.406006	-9.84773	-8.693006	-9.314224	-9.32053	-8.10028	-9.637279	-9.353622	-8.01984	-8.623322	-9.408762	-7.864478	-9.369644	-8.905798	-10.153591	-10.266253	-8.451353	-9.49888	-9.524643	-9.638788	-9.491256	-9.618932	-9.497022	-10.3520565	-10.562752	-9.487061	-9.927804	-9.927124	-9.47692	-10.380318	-10.22236	-9.662814	-7.886649	-8.455875	-8.224106	-7.660242	-8.308073	-7.3997016	-8.441349	-10.336797	-9.537516	-10.134294	-8.236463	-8.530304	-10.143706	-9.055229	-9.234967	-9.32661	-9.485193	-9.003287	-9.986767	-9.478442	-8.996315	-6.783104	-9.721519	-8.87974	-9.314787	-8.818898	-9.604907	-8.54488	-9.06152	-9.517051	-9.743576	-9.836221	-9.813071	-9.499421	-9.474793	-9.036423	-6.595645	-8.402948	-8.542552	-9.015257	-8.051944	-8.0784445	-5.1010237	-8.442476	-8.324768	-8.137162	-7.554662	-8.272924	-8.019076	-8.290699	-8.27906	-7.6796246	-7.7712917	-8.090477	-6.8634896	-6.0715322	-6.291713	-7.644928	-8.079614	-7.916627
osa-miR156b_3'seq-1	-6.9116893	-7.179291	-7.1428766	-6.9340897	-7.0766993	-7.386343	-8.701754	-8.258181	-8.644436	-9.06219	-10.2904415	-7.339155	-7.06402	-8.665215	-8.238043	-7.341567	-9.529295	-8.770211	-8.405838	-9.035755	-8.547282	-9.628931	-6.9229665	-9.557021	-7.0531993	-5.915902	-7.0893803	-9.315369	-9.053808	-7.5507307	-5.07968	-6.316402	-5.9144707	-5.384707	-6.4193454	-4.6953545	-3.952598	-3.5506887	-4.566082	-4.092643	-3.9967527	-4.60096	-8.357107	-9.440097	-8.349393	-7.929764	-9.982305	-9.024112	-9.4918375	-9.808133	-8.423849	-9.706252	-8.05901	-6.786735	-8.723978	-9.984294	-8.339127	-6.441895	-9.126318	-8.232134	-8.866783	-10.4536	-8.1436	-7.173388	-7.1826563	-9.004813	-9.328916	-7.246406	-8.044755	-7.9654446	-8.107719	-9.67107	-9.495817	-7.9837556	-8.548559	-7.9982004	-8.173761	-7.740316	-7.7531004	-8.204798	-9.264351	-8.5234995	-8.250227	-8.207903	-8.750895	-7.848932	-7.9411826	-8.747082	-5.8500957	-8.691898	-8.440558	-8.026268	-7.8088093	-8.517935	-8.469574	-8.346305	-9.198547	-8.86409	-8.478161	-9.275714	-8.831877	-8.27714	-7.9656982	-7.087233	-7.242179	-6.093625	-9.167796	-9.559586	-9.110921	-9.880119	-8.848812	-7.458811	-4.626186	-5.751843	-6.6197433	-8.19986	-4.59572	-6.597091	-7.042407	-7.7015624	-7.908495	-6.856355	-6.529269	-7.223147	-7.0804415	-5.3652797	-5.461632	-6.520441	-8.384363	-7.8280516	-8.632925	-6.1200056	-6.058146	-7.3641944	-7.606097	-8.072414	-7.717683	-7.06312	-7.2643566	-6.993826	-7.867915	-8.297215	-8.1414385
osa-miR156b_3'seq-2	-8.742215	-8.044115	-7.420688	-9.555941	-8.842255	-7.64935	-8.622259	-7.6018243	-8.11596	-9.026847	-9.810493	-8.509706	-8.051223	-9.202833	-4.167418	-8.248703	-9.880506	-8.8018	-9.474168	-9.7200165	-8.497536	-9.443705	-9.727322	-9.47669	-6.8246117	-5.6946554	-6.8761997	-8.312725	-9.454088	-7.322076	-6.348089	-6.6370153	-6.26989	-6.0474057	-6.32924	-4.927087	-4.156324	-3.6360173	-4.584491	-4.2922053	-4.3329163	-4.4290705	-9.143086	-9.664759	-8.142281	-9.751657	-9.93697	-8.799006	-9.441046	-9.796751	-8.214424	-8.96896	-9.685772	-6.7164197	-9.149315	-9.797729	-8.092798	-9.111799	-9.421085	-8.027989	-7.9547863	-9.41565	-7.922447	-8.923152	-7.349284	-8.661348	-8.502365	-7.384128	-8.728785	-9.527412	-8.269636	-9.509591	-9.722	-8.086312	-7.552187	-8.39803	-8.610319	-8.096947	-7.8053093	-8.236511	-8.02566	-8.502174	-8.245046	-7.9983606	-8.546345	-8.310636	-6.541024	-8.504606	-6.9102745	-8.41916	-7.7828965	-7.919278	-7.451012	-8.271582	-8.435172	-9.107309	-8.957872	-9.309338	-9.331864	-9.338698	-9.07152	-9.35296	-7.922421	-7.049359	-8.291197	-8.770685	-8.971267	-9.352601	-8.870716	-9.633685	-8.610081	-7.2299867	-7.934001	-6.0458694	-6.3832374	-7.980461	-6.460065	-6.6768684	-7.6615467	-7.489938	-8.6056385	-7.2030187	-7.823498	-8.482838	-7.484222	-5.107573	-6.4347258	-7.36588	-8.1579895	-7.6028495	-8.407508	-8.029453	-8.310203	-8.277027	-7.7224293	-7.8325586	-7.5939083	-6.8859015	-6.520355	-7.316063	-7.7487507	-8.096101	-7.9264183
osa-miR156b_5'seq-1	-8.930501	-8.28402	-7.63746	-8.339953	-9.319235	-7.8180075	-8.74175	-9.387276	-4.975636	-9.085002	-8.807571	-7.946149	-8.289064	-9.356915	-8.279319	-8.485753	-10.098447	-8.84603	-8.303318	-6.871954	-8.606404	-6.526981	-6.327849	-9.601692	-5.8875685	-5.264099	-7.0823426	-7.967675	-9.46973	-6.0074425	-4.1669073	-4.147823	-7.1097884	-5.260762	-3.0963717	-4.3126984	-3.5210729	-2.9968147	-5.4291763	-5.5087028	-3.6313138	-5.708025	-10.044821	-5.878906	-8.355743	-9.651335	-9.997294	-9.024047	-9.512867	-7.952696	-8.416801	-8.643068	-8.880569	-9.003622	-9.569454	-9.247434	-8.343869	-9.906318	-9.614688	-8.227791	-8.861701	-10.457649	-8.140192	-7.847777	-8.878832	-10.427282	-9.708653	-7.561624	-8.346975	-9.776414	-8.895277	-9.6575165	-9.137332	-9.782847	-8.764246	-9.53501	-9.023731	-7.948818	-8.803349	-8.405063	-9.554754	-10.493968	-9.32907	-8.208752	-8.736498	-6.9823513	-7.9529138	-8.735305	-7.1210523	-8.705559	-9.576923	-9.207168	-8.798637	-8.519649	-8.753459	-9.989662	-9.268717	-8.687312	-9.580361	-10.406075	-9.376499	-8.792784	-8.9948	-7.5183187	-8.495375	-9.978701	-9.159698	-9.555257	-9.108032	-5.830652	-8.850521	-7.225516	-5.528194	-10.029505	-9.291769	-9.1343155	-9.298567	-9.688601	-9.424738	-8.637627	-8.837775	-8.900946	-8.362524	-8.720701	-8.313767	-5.3561153	-8.678973	-6.721421	-8.382852	-7.823593	-8.618743	-8.308024	-8.5136795	-8.1683655	-7.72475	-8.067291	-8.358362	-7.142452	-7.265832	-5.209814	-7.950758	-8.307272	-8.128674
osa-miR156b_5'seq-2	-8.619686	-8.6867485	-7.4862146	-9.106655	-9.101181	-7.71638	-8.445719	-9.157122	-7.35458	-8.828251	-9.7339325	-7.4859533	-8.107408	-8.309718	-8.020704	-8.31237	-8.545232	-8.648014	-7.9162054	-7.2125525	-8.309793	-6.887741	-6.241497	-9.292332	-5.270259	-5.7142453	-6.89891	-8.395115	-8.038931	-5.7508025	-5.1753244	-4.1826744	-7.1528997	-5.4160805	-3.1323662	-4.20993	-3.7122598	-3.0903912	-5.651726	-5.8789854	-3.7047052	-5.621473	-10.051295	-7.725432	-8.192957	-9.593904	-9.794808	-8.878271	-9.271764	-9.638618	-4.639627	-8.298397	-9.952257	-8.826353	-9.358725	-9.821282	-7.7566247	-9.7275095	-9.441175	-8.08836	-8.730656	-10.1015005	-7.9874067	-9.513701	-8.953868	-10.232113	-8.726503	-7.8894863	-9.604225	-9.640013	-9.768095	-9.540944	-9.409826	-9.129948	-9.194576	-8.925206	-9.413713	-8.490281	-8.259232	-8.876397	-9.101545	-9.181084	-8.848409	-8.056763	-8.569887	-8.343279	-7.1310225	-8.492552	-7.2189407	-8.5142565	-9.733603	-9.268498	-9.757357	-8.312405	-8.639135	-10.28779	-9.079049	-9.338743	-9.426564	-10.294244	-9.110715	-9.080047	-9.227299	-8.167001	-8.282182	-9.755422	-9.01555	-9.394215	-8.906047	-9.68836	-8.640134	-9.174825	-9.250527	-7.565005	-7.5474973	-9.478877	-8.3679495	-9.506599	-9.11261	-8.179329	-8.555229	-8.703275	-9.142478	-8.56387	-8.11147	-5.1960864	-8.147541	-8.266502	-8.19483	-7.6537657	-8.44122	-8.089069	-8.366396	-8.328443	-7.7530746	-7.916778	-8.241459	-6.90895	-7.0672507	-7.361827	-7.7568645	-8.171152	-8.022715
